first_word	n	median_within_consistency	dominant_quadrant	HP_n	LP_n	HN_n	LN_n	NB_n
(・ө・)	3	0.9999998807907104	NB	0	0	0	0	3
(≧▽≦)	3	0.9994184374809265	HP	3	0	0	0	0
(｡˃‿˂)	10	0.9993553757667542	HP	10	0	0	0	0
(⊙﹏⊙)	16	0.9986802935600281	HN-S	0	0	0	0	0
(｡・ω・｡)	3	0.9986264109611511	LP	0	3	0	0	0
(ﾉ◕ヮ◕)	15	0.9985702633857727	HP	15	0	0	0	0
(˘▽˘)	6	0.9982444047927856	HP	5	0	0	0	1
(｡・̀‿-)	8	0.9981580376625061	NB	0	0	0	0	8
(´▽`)	17	0.9977802634239197	LP	0	17	0	0	0
(˘ω˘)	10	0.9975404739379883	LP	0	9	0	0	1
(｡╯︵╰｡)	27	0.9974294304847717	LN	0	0	0	27	0
(｡>﹏<｡)	5	0.9973850846290588	HN-S	0	0	0	0	0
(｡‿‿‿｡)	17	0.9969025254249573	LP	0	17	0	0	0
(╥﹏╥)	12	0.9968768954277039	HP	8	0	0	1	0
(✿◠‿◠)	23	0.9968379139900208	LP	1	19	0	0	3
(・_・)	17	0.9967967867851257	NB	0	0	0	0	17
(˙꒳˙)	7	0.9967796206474304	NB	0	0	0	0	7
(╯°□°)	136	0.9966149926185608	HN-D	2	0	0	0	0
(˘ڡ˘)	9	0.996494472026825	LP	0	8	0	0	1
(๑˃‿˂)	123	0.9964277744293213	HP	100	16	0	0	7
(˘̩╭╮˘̩)	8	0.995962917804718	LN	0	0	0	6	0
(｡◕‿◕｡)	99	0.9959227442741394	NB	0	9	0	0	90
(´ω`)	7	0.9952459335327148	LN	0	1	0	5	0
(｡♥‿♥｡)	55	0.9952104687690735	LP	7	46	0	0	2
(｡・́︿・̀｡)	192	0.9926134943962097	LN	0	0	0	119	0
(⊙_⊙)	99	0.9903967976570129	HN-S	0	0	0	0	15
