axis	r	p	p_bonf	n
warmth	0.05380835852179438	0.33960906472523583	1.0	317
energy	0.03062360322878214	0.5869843439294378	1.0	317
confidence	0.11189417307930732	0.046524399445601584	0.9770123883576333	317
playfulness	0.15476626040998545	0.005757070442133661	0.12089847928480688	317
empathy	0.07097136929696815	0.20759462411142843	1.0	317
technicality	0.15725307317673257	0.005012475396181358	0.10526198331980853	317
positivity	0.12945680082136551	0.02113761956212673	0.44389001080466134	317
curiosity	0.17838629956611554	0.0014269261857552252	0.02996544990085973	317
approval	0.04109850519343124	0.46590650962997054	1.0	317
apologeticness	0.14738209772630073	0.00858723047173114	0.18033183990635393	317
decisiveness	-0.03676523420872777	0.5142585788138869	1.0	317
wryness	0.011549989840788519	0.8377001106030572	1.0	317
wetness	0.08993702676866686	0.10999894609914615	1.0	317
surprise	0.19433727985484184	0.0005020873954748284	0.010543835304971395	317
anger	0.039978858497595374	0.4781538063640308	1.0	317
frustration	-0.0024525050051652994	0.9653084015391814	1.0	317
hatefulness	0.04588820257524784	0.41552025273808985	1.0	317
sadness	0.09226682789580097	0.10105213455594196	1.0	317
hope	0.07246773043094461	0.19814769342546057	1.0	317
aggression	0.03241540571184324	0.5652837922830467	1.0	317
exhaustion	-0.11256935488737356	0.04521029354591361	0.9494161644641859	317
