model	kind	n_prompts	rep	r2_face	r2_quad	face_gain
gemma	bootstrap	120	0	0.59507	0.58894	0.00613
gemma	bootstrap	120	1	0.60352	0.61701	-0.01349
gemma	bootstrap	120	2	0.63427	0.62634	0.00793
gemma	bootstrap	120	3	0.59139	0.56660	0.02479
gemma	bootstrap	120	4	0.60863	0.60363	0.00500
gemma	bootstrap	120	5	0.60212	0.60151	0.00061
gemma	bootstrap	120	6	0.61155	0.61987	-0.00832
gemma	bootstrap	120	7	0.59069	0.57107	0.01962
gemma	bootstrap	120	8	0.56299	0.55550	0.00749
gemma	bootstrap	120	9	0.61861	0.59986	0.01875
gemma	bootstrap	120	10	0.61722	0.62459	-0.00737
gemma	bootstrap	120	11	0.61285	0.63113	-0.01829
gemma	bootstrap	120	12	0.60084	0.61966	-0.01883
gemma	bootstrap	120	13	0.61551	0.61908	-0.00357
gemma	bootstrap	120	14	0.56012	0.57406	-0.01394
gemma	bootstrap	120	15	0.58960	0.60008	-0.01048
gemma	bootstrap	120	16	0.62829	0.61736	0.01093
gemma	bootstrap	120	17	0.57147	0.60044	-0.02896
gemma	bootstrap	120	18	0.61522	0.60955	0.00568
gemma	bootstrap	120	19	0.61025	0.63153	-0.02128
gemma	bootstrap	120	20	0.63225	0.59114	0.04111
gemma	bootstrap	120	21	0.61357	0.60129	0.01229
gemma	bootstrap	120	22	0.59830	0.60911	-0.01081
gemma	bootstrap	120	23	0.58293	0.62202	-0.03909
gemma	bootstrap	120	24	0.60807	0.62046	-0.01239
gemma	bootstrap	120	25	0.60459	0.62015	-0.01556
gemma	bootstrap	120	26	0.62684	0.63087	-0.00403
gemma	bootstrap	120	27	0.60054	0.60062	-0.00008
gemma	bootstrap	120	28	0.55513	0.58529	-0.03015
gemma	bootstrap	120	29	0.57761	0.59949	-0.02188
gemma	bootstrap	120	30	0.62239	0.60687	0.01551
gemma	bootstrap	120	31	0.61968	0.61008	0.00960
gemma	bootstrap	120	32	0.60522	0.59014	0.01508
gemma	bootstrap	120	33	0.60018	0.61183	-0.01166
gemma	bootstrap	120	34	0.64577	0.62764	0.01813
gemma	bootstrap	120	35	0.61797	0.60509	0.01288
gemma	bootstrap	120	36	0.60300	0.62959	-0.02659
gemma	bootstrap	120	37	0.59122	0.61390	-0.02268
gemma	bootstrap	120	38	0.60714	0.59203	0.01512
gemma	bootstrap	120	39	0.61753	0.64103	-0.02350
gemma	bootstrap	120	40	0.60315	0.61184	-0.00869
gemma	bootstrap	120	41	0.62729	0.61143	0.01586
gemma	bootstrap	120	42	0.59295	0.60968	-0.01674
gemma	bootstrap	120	43	0.58667	0.57600	0.01067
gemma	bootstrap	120	44	0.61892	0.62007	-0.00114
gemma	bootstrap	120	45	0.61200	0.59538	0.01662
gemma	bootstrap	120	46	0.60275	0.60740	-0.00465
gemma	bootstrap	120	47	0.58582	0.58298	0.00285
gemma	bootstrap	120	48	0.59300	0.57622	0.01679
gemma	bootstrap	120	49	0.62215	0.60061	0.02154
gemma	bootstrap	120	50	0.60518	0.58603	0.01915
gemma	bootstrap	120	51	0.60259	0.60354	-0.00095
gemma	bootstrap	120	52	0.60869	0.61790	-0.00921
gemma	bootstrap	120	53	0.58398	0.57879	0.00519
gemma	bootstrap	120	54	0.59175	0.59784	-0.00609
gemma	bootstrap	120	55	0.61797	0.60975	0.00822
gemma	bootstrap	120	56	0.60157	0.61421	-0.01264
gemma	bootstrap	120	57	0.60938	0.62256	-0.01319
gemma	bootstrap	120	58	0.58337	0.60689	-0.02352
gemma	bootstrap	120	59	0.61006	0.58158	0.02848
gemma	bootstrap	120	60	0.60964	0.60977	-0.00014
gemma	bootstrap	120	61	0.63193	0.61470	0.01723
gemma	bootstrap	120	62	0.61058	0.59376	0.01681
gemma	bootstrap	120	63	0.59299	0.59271	0.00029
gemma	bootstrap	120	64	0.60565	0.60438	0.00126
gemma	bootstrap	120	65	0.59917	0.59847	0.00071
gemma	bootstrap	120	66	0.59110	0.58984	0.00126
gemma	bootstrap	120	67	0.57233	0.58247	-0.01014
gemma	bootstrap	120	68	0.57995	0.57588	0.00406
gemma	bootstrap	120	69	0.60559	0.60786	-0.00228
gemma	bootstrap	120	70	0.57347	0.59087	-0.01740
gemma	bootstrap	120	71	0.59762	0.58783	0.00979
gemma	bootstrap	120	72	0.60636	0.60731	-0.00095
gemma	bootstrap	120	73	0.62538	0.59433	0.03105
gemma	bootstrap	120	74	0.58943	0.60466	-0.01522
gemma	bootstrap	120	75	0.61186	0.60138	0.01048
gemma	bootstrap	120	76	0.61010	0.60021	0.00989
gemma	bootstrap	120	77	0.57695	0.57872	-0.00177
gemma	bootstrap	120	78	0.59071	0.58404	0.00666
gemma	bootstrap	120	79	0.56766	0.59823	-0.03057
gemma	bootstrap	120	80	0.57883	0.59205	-0.01322
gemma	bootstrap	120	81	0.60565	0.60860	-0.00295
gemma	bootstrap	120	82	0.61799	0.60708	0.01092
gemma	bootstrap	120	83	0.57256	0.57708	-0.00452
gemma	bootstrap	120	84	0.63214	0.61777	0.01437
gemma	bootstrap	120	85	0.60179	0.60880	-0.00702
gemma	bootstrap	120	86	0.61284	0.58786	0.02497
gemma	bootstrap	120	87	0.63005	0.63590	-0.00585
gemma	bootstrap	120	88	0.59433	0.58261	0.01172
gemma	bootstrap	120	89	0.60697	0.61281	-0.00584
gemma	bootstrap	120	90	0.59340	0.63063	-0.03723
gemma	bootstrap	120	91	0.56257	0.58277	-0.02020
gemma	bootstrap	120	92	0.61575	0.60114	0.01461
gemma	bootstrap	120	93	0.61028	0.61927	-0.00899
gemma	bootstrap	120	94	0.59331	0.60111	-0.00781
gemma	bootstrap	120	95	0.59303	0.58424	0.00879
gemma	bootstrap	120	96	0.62435	0.59315	0.03120
gemma	bootstrap	120	97	0.58758	0.59983	-0.01224
gemma	bootstrap	120	98	0.58958	0.57643	0.01315
gemma	bootstrap	120	99	0.60862	0.59983	0.00879
gemma	bootstrap	120	100	0.62623	0.63074	-0.00451
gemma	bootstrap	120	101	0.59084	0.61734	-0.02649
gemma	bootstrap	120	102	0.60287	0.59741	0.00546
gemma	bootstrap	120	103	0.58969	0.61389	-0.02420
gemma	bootstrap	120	104	0.60536	0.59624	0.00912
gemma	bootstrap	120	105	0.61401	0.61970	-0.00569
gemma	bootstrap	120	106	0.60952	0.58822	0.02130
gemma	bootstrap	120	107	0.60185	0.59592	0.00593
gemma	bootstrap	120	108	0.62204	0.59255	0.02949
gemma	bootstrap	120	109	0.61811	0.60338	0.01473
gemma	bootstrap	120	110	0.60968	0.60111	0.00857
gemma	bootstrap	120	111	0.57491	0.55778	0.01713
gemma	bootstrap	120	112	0.60796	0.60094	0.00702
gemma	bootstrap	120	113	0.59237	0.59663	-0.00426
gemma	bootstrap	120	114	0.58997	0.59508	-0.00511
gemma	bootstrap	120	115	0.58673	0.61498	-0.02824
gemma	bootstrap	120	116	0.62473	0.61729	0.00744
gemma	bootstrap	120	117	0.59661	0.59904	-0.00244
gemma	bootstrap	120	118	0.60107	0.60208	-0.00101
gemma	bootstrap	120	119	0.61244	0.59207	0.02038
gemma	bootstrap	120	120	0.62860	0.60670	0.02190
gemma	bootstrap	120	121	0.63027	0.63047	-0.00020
gemma	bootstrap	120	122	0.61007	0.61520	-0.00513
gemma	bootstrap	120	123	0.60730	0.59554	0.01175
gemma	bootstrap	120	124	0.58306	0.57613	0.00693
gemma	bootstrap	120	125	0.59850	0.57994	0.01857
gemma	bootstrap	120	126	0.57002	0.59560	-0.02558
gemma	bootstrap	120	127	0.59005	0.59574	-0.00569
gemma	bootstrap	120	128	0.60219	0.62492	-0.02273
gemma	bootstrap	120	129	0.63958	0.61969	0.01990
gemma	bootstrap	120	130	0.61779	0.57559	0.04219
gemma	bootstrap	120	131	0.61965	0.59706	0.02259
gemma	bootstrap	120	132	0.59160	0.61251	-0.02091
gemma	bootstrap	120	133	0.61882	0.60725	0.01157
gemma	bootstrap	120	134	0.62769	0.62489	0.00280
gemma	bootstrap	120	135	0.61144	0.60169	0.00976
gemma	bootstrap	120	136	0.62190	0.63170	-0.00981
gemma	bootstrap	120	137	0.59235	0.59132	0.00102
gemma	bootstrap	120	138	0.58369	0.59076	-0.00707
gemma	bootstrap	120	139	0.61003	0.59319	0.01685
gemma	bootstrap	120	140	0.60012	0.59613	0.00399
gemma	bootstrap	120	141	0.61909	0.61358	0.00551
gemma	bootstrap	120	142	0.61624	0.61205	0.00419
gemma	bootstrap	120	143	0.59430	0.60360	-0.00929
gemma	bootstrap	120	144	0.58595	0.57950	0.00645
gemma	bootstrap	120	145	0.62192	0.59434	0.02759
gemma	bootstrap	120	146	0.61512	0.62326	-0.00814
gemma	bootstrap	120	147	0.59181	0.60267	-0.01085
gemma	bootstrap	120	148	0.59987	0.60090	-0.00103
gemma	bootstrap	120	149	0.60990	0.62253	-0.01263
gemma	bootstrap	120	150	0.60930	0.59968	0.00962
gemma	bootstrap	120	151	0.58280	0.59037	-0.00757
gemma	bootstrap	120	152	0.62377	0.61620	0.00757
gemma	bootstrap	120	153	0.58874	0.59148	-0.00274
gemma	bootstrap	120	154	0.59931	0.61618	-0.01687
gemma	bootstrap	120	155	0.59607	0.59745	-0.00138
gemma	bootstrap	120	156	0.61077	0.60255	0.00822
gemma	bootstrap	120	157	0.57420	0.60096	-0.02676
gemma	bootstrap	120	158	0.57083	0.58805	-0.01721
gemma	bootstrap	120	159	0.58135	0.59402	-0.01268
gemma	bootstrap	120	160	0.61673	0.63364	-0.01691
