encoder	origin	n	similarity	mean_jsd	n_correct	accuracy	kappa
gemma	gemma_only	14	0.8211273293224983	0.12398508735933789	12	0.8571428571428571	0.8169934640522876
gemma	qwen_only	24	0.6823121086397357	0.2202044661944014	16	0.6666666666666666	0.5704697986577181
gemma	ministral_only	2	0.9994881993968916	0.0003547531450534873	2	1.0	1.0
gemma	shared_2	17	0.6998622517656153	0.20803963396827443	10	0.5882352941176471	0.47807017543859653
gemma	shared_3	8	0.8763032360912655	0.08574006314772854	7	0.875	0.8431372549019608
gemma_v7primed	gemma_only	14	0.8220568760623892	0.12334077465738387	10	0.7142857142857143	0.629139072847682
gemma_v7primed	qwen_only	24	0.6146388816720121	0.2671119726664723	13	0.5416666666666666	0.4358974358974359
gemma_v7primed	ministral_only	2	0.9945532418638184	0.003775405045286173	2	1.0	1.0
gemma_v7primed	shared_2	17	0.6957853409665689	0.21086553319402784	10	0.5882352941176471	0.47111111111111104
gemma_v7primed	shared_3	8	0.9069450926416456	0.06450074667271029	7	0.875	0.8431372549019608
gpt_oss_20b	gemma_only	14	0.5082250171890995	0.3408724428052912	6	0.42857142857142855	0.2727272727272727
gpt_oss_20b	qwen_only	24	0.5301641471480607	0.3256653967302991	8	0.3333333333333333	0.21472392638036808
gpt_oss_20b	ministral_only	2	0.5972957100036647	0.27913334321035443	2	1.0	1.0
gpt_oss_20b	shared_2	17	0.6825529568147323	0.22003752296095952	11	0.6470588235294118	0.5466666666666666
gpt_oss_20b	shared_3	8	0.832014697302564	0.1164385389402367	6	0.75	0.6799999999999999
granite	gemma_only	14	0.4658251298422421	0.37026180517582474	6	0.42857142857142855	0.2432432432432432
granite	qwen_only	24	0.4423044643977473	0.38656508811357004	8	0.3333333333333333	0.20331950207468874
granite	ministral_only	2	0.7839437188368259	0.14975880213052098	2	1.0	1.0
granite	shared_2	18	0.5787043514153606	0.2920198909986163	8	0.4444444444444444	0.3258426966292134
granite	shared_3	8	0.714740011270623	0.19772715691432938	4	0.5	0.3846153846153846
haiku	gemma_only	14	0.5866604545963487	0.2865051405104704	7	0.5	0.3194444444444444
haiku	qwen_only	24	0.6365216324808636	0.25194400564042096	13	0.5416666666666666	0.41721854304635775
haiku	ministral_only	2	0.5049139522045705	0.3431674981639683	1	0.5	0.33333333333333337
