first_word	ensemble_pred	ensemble_conf	majority_pred	vote_strength	n_encoders_voting	empirical	total_emit_count	is_claude	ensemble_p_HP	ensemble_p_LP	ensemble_p_HN-D	ensemble_p_HN-S	ensemble_p_LN	ensemble_p_NB	gemma_pred	gemma_conf	ministral_pred	ministral_conf	qwen_pred	qwen_conf	gpt_oss_20b_pred	gpt_oss_20b_conf	granite_pred	granite_conf
(	LN	0.2861		2-1-1-1	5	LP	30	False	0.1253	0.1509	0.1445	0.1384	0.2861	0.1549	LN	0.167	NB	0.184	HN-D	0.173	HN-S	0.174	LN	0.758
(((;°д°)))	HN-S	0.3636		2-1-1-1	5	HN-S	2	True	0.0473	0.1479	0.1176	0.3636	0.2656	0.0579	HN-S	0.888	LP	0.632	LN	0.431	HN-D	0.332	LN	0.711
(((o(*°▽°*)o)))	HP	0.3932	HP	3-1-1	5	HP	1	True	0.3932	0.1526	0.0501	0.1541	0.0981	0.1518	HP	0.649	HP	0.778	LN	0.345	HP	0.441	NB	0.62
((⊂(`ω´∩)	HN-S	0.2898		2-1-1-1	5	nan	0	False	0.0401	0.1952	0.0556	0.2898	0.1851	0.2341	HN-S	0.881	NB	0.389	LN	0.494	LP	0.271	NB	0.69
((✿◕‿◕))	NB	0.3442		2-2-1	5	nan	0	False	0.2856	0.1261	0.0297	0.0899	0.1245	0.3442	HP	0.775	NB	0.595	LN	0.537	HP	0.445	NB	0.908
(-_-;)	HN-S	0.302		2-2-1	5	nan	0	False	0.0184	0.0552	0.2365	0.302	0.2889	0.099	HN-S	0.863	HN-D	0.358	LN	0.311	HN-S	0.305	LN	0.702
(-‸–)	LN	0.3522	LN	3-2	5	LN	1	False	0.028	0.1916	0.1183	0.0894	0.3522	0.2206	LN	0.662	LP	0.432	LN	0.343	LP	0.254	LN	0.419
(..)	LN	0.3612	LN	3-2	5	nan	0	False	0.0613	0.109	0.0729	0.1853	0.3612	0.2104	LN	0.391	NB	0.273	LN	0.407	NB	0.224	LN	0.591
(._.)	LN	0.5082	LN	4-1	5	LN	1	False	0.0362	0.0854	0.1159	0.1262	0.5082	0.1281	LN	0.969	LN	0.317	LP	0.191	LN	0.337	LN	0.752
(/≧▽≦)	LP	0.2658		2-1-1-1	5	LP	1	False	0.1755	0.2658	0.2039	0.0887	0.134	0.1321	HN-D	0.734	HP	0.426	LN	0.398	HP	0.262	LP	0.842
(/▽＼)	LN	0.2135		2-2-1	5	nan	0	False	0.1878	0.155	0.1467	0.1137	0.2135	0.1833	HP	0.449	HP	0.288	LN	0.292	LN	0.214	HN-D	0.4
(;'ω';)	LN	0.4402	LN	3-1-1	5	HN-S	1	False	0.0692	0.0991	0.0956	0.2034	0.4402	0.0925	HN-S	0.531	LN	0.726	LP	0.27	LN	0.313	LN	0.924
(;;)	HN-S	0.305		2-1-1-1	5	LN	6	False	0.0583	0.1219	0.0931	0.305	0.2854	0.1363	HN-S	0.98	NB	0.375	LP	0.208	HN-S	0.285	LN	0.914
(;;_;;)	HN-S	0.409	LN	3-1-1	5	HN-S	2	False	0.0509	0.0694	0.1083	0.409	0.3067	0.0558	HN-S	0.955	LN	0.467	LP	0.206	LN	0.321	LN	0.575
(;_;)	LN	0.5925	LN	4-1	5	LN	3	False	0.0227	0.0707	0.0716	0.1647	0.5925	0.0778	LN	0.791	LN	0.611	LN	0.427	NB	0.281	LN	0.955
(;`ﾉωﾉ´)	LN	0.3445		2-2-1	5	LP	1	False	0.0763	0.0861	0.0944	0.3424	0.3445	0.0563	HN-S	0.958	HN-S	0.299	LN	0.413	HP	0.272	LN	0.959
(;´д`)	LN	0.4213	LN	3-2	5	LN	38	False	0.0312	0.039	0.2187	0.2332	0.4213	0.0565	HN-S	0.47	LN	0.598	LN	0.42	HN-S	0.215	LN	0.663
(;´༎ຶд༎ຶ`)	LN	0.5759	LN	5	5	LN	12	False	0.0409	0.0305	0.0861	0.2153	0.5759	0.0514	LN	0.6	LN	0.601	LN	0.495	LN	0.208	LN	0.975
(;´∀`)	LN	0.394	LN	3-2	5	LN	2	False	0.0557	0.0762	0.0911	0.1078	0.394	0.2753	NB	0.926	LN	0.481	LN	0.479	NB	0.205	LN	0.809
(;´꒳`)	LN	0.4409	LN	4-1	5	LN	1	False	0.0519	0.098	0.1343	0.1237	0.4409	0.1512	NB	0.422	LN	0.586	LN	0.449	LN	0.216	LN	0.671
(;ω;)	LN	0.3173		2-2-1	5	LN	47	False	0.041	0.1685	0.0714	0.2852	0.3173	0.1165	HN-S	0.81	LN	0.392	LN	0.594	LP	0.296	LP	0.449
(;д;)	LN	0.4143	LN	3-1-1	5	HN-S	1	False	0.0273	0.0776	0.0822	0.3087	0.4143	0.0898	HN-S	0.956	LN	0.522	LN	0.446	NB	0.261	LN	0.94
(;′⌒`)	LN	0.4461	LN	4-1	5	HN-S	25	False	0.0464	0.0362	0.1855	0.23	0.4461	0.0558	HN-S	0.456	LN	0.371	LN	0.518	LN	0.231	LN	0.975
(;⁎_⁎)	LN	0.3035		2-2-1	5	HN-S	1	False	0.0524	0.0698	0.2333	0.2677	0.3035	0.0733	HN-S	0.579	HN-S	0.423	LN	0.537	LP	0.237	LN	0.593
(;╹⌓╹)	LN	0.3598	LN	3-1-1	5	LN	1	True	0.054	0.0586	0.1445	0.3373	0.3598	0.0458	HN-S	0.912	LN	0.378	LN	0.467	HP	0.234	LN	0.733
(;へ:)	LN	0.3844	LN	3-1-1	5	HP	1	False	0.0384	0.0972	0.1568	0.248	0.3844	0.0752	HN-S	0.58	LN	0.368	LN	0.533	LP	0.283	LN	0.87
(;・`O・´)	HN-S	0.2537		2-1-1-1	5	HN-S	1	False	0.0506	0.2084	0.1155	0.2537	0.2156	0.1562	HN-S	0.718	LN	0.317	LN	0.585	NB	0.283	LP	0.662
(;・∀・)	NB	0.3545		2-2-1	5	nan	0	False	0.0435	0.2484	0.0457	0.106	0.2019	0.3545	NB	0.897	LN	0.296	LN	0.581	LP	0.304	LP	0.761
(;一_一)	LN	0.3658		2-2-1	5	HN-S	2	False	0.0253	0.0513	0.1499	0.3162	0.3658	0.0914	HN-S	0.628	HN-S	0.592	LN	0.526	NB	0.265	LN	0.836
(;︵;)	LN	0.5827	LN	4-1	5	HN-D	1	True	0.0209	0.0615	0.1022	0.1511	0.5827	0.0816	LN	0.922	HN-S	0.351	LN	0.551	LN	0.254	LN	0.933
(;﹏;)	LN	0.4672	LN	3-1-1	5	HN-S	1	False	0.0179	0.0491	0.13	0.2843	0.4672	0.0515	HN-S	0.797	LN	0.614	LN	0.501	HN-D	0.242	LN	0.799
(;￣д￣)	LN	0.3856	LN	3-1-1	5	nan	0	False	0.0456	0.1104	0.1406	0.2523	0.3856	0.0656	HN-S	0.69	LN	0.571	LN	0.549	NB	0.203	LN	0.649
(=^-^=)	NB	0.3113		2-1-1-1	5	LP	6	False	0.1066	0.179	0.1109	0.0833	0.209	0.3113	LN	0.665	LP	0.349	HN-S	0.198	LP	0.286	NB	0.913
(=^-ω-^=)	NB	0.2615		2-2-1	5	NB	22	False	0.144	0.1707	0.1399	0.0864	0.1976	0.2615	LN	0.51	HP	0.408	HP	0.2	NB	0.231	NB	0.788
(=^-ω^-=)	NB	0.279	LP	3-1-1	5	LP	1	False	0.1071	0.1793	0.0862	0.0832	0.2652	0.279	LN	0.754	LP	0.32	LP	0.234	LP	0.3	NB	0.76
(=^_^=)	LP	0.3051	LP	3-1-1	5	LP	2	False	0.1703	0.3051	0.0562	0.0765	0.1684	0.2235	LN	0.513	LP	0.35	HP	0.224	LP	0.264	LP	0.734
(=^・^=)	LP	0.36	LP	3-2	5	LP	1	False	0.1109	0.36	0.06	0.0681	0.0766	0.3244	NB	0.753	LP	0.515	NB	0.188	LP	0.252	LP	0.881
(=^・ω・^=)	LP	0.3762		2-1-1-1	5	LP	19	False	0.1423	0.3762	0.1744	0.083	0.0924	0.1318	HN-D	0.593	LP	0.528	HP	0.193	NB	0.219	LP	0.957
