first_word	n_prompts_HP	mean_log_prob_HP	n_prompts_LP	mean_log_prob_LP	n_prompts_HN-D	mean_log_prob_HN-D	n_prompts_HN-S	mean_log_prob_HN-S	n_prompts_LN	mean_log_prob_LN	n_prompts_NB	mean_log_prob_NB	softmax_HP	softmax_LP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP	total_emit_LP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	argmax_matches_empirical
(	20	-0.0010527368021939765	20	-4.223431233185693e-05	20	-0.00015741843608338968	20	-0.0008912404377042549	20	-3.9701714013062886e-05	20	-5.3886661135038594e-05	0.16655337873930423	0.16672176640696537	0.16670256381232973	0.1665802786765267	0.16672218864676536	0.1667198237181086	LN	0.16672218864676536	1	False	30	LP	5	18	0	0	2	5	False
(((;°д°)))	20	-39.09766597747803	20	-42.72361717224121	20	-32.347253227233885	20	-30.271471977233887	20	-41.340582275390624	20	-42.028761863708496	0.0001304475752063281	3.473005053109739e-06	0.11145588860782739	0.8883893861136096	1.3846813383972657e-05	6.957884919344033e-06	HN-S	0.8883893861136096	6	True	2	HN-S	0	0	0	2	0	0	True
(((o(*°▽°*)o)))	20	-27.684490585327147	20	-35.64545116424561	20	-33.634648132324216	20	-28.308705806732178	20	-38.453671836853026	20	-33.95255537033081	0.6491176266704818	0.00022642384048687667	0.0016912305435074551	0.3477204046104992	1.3656122702298e-05	0.001230658212322316	HP	0.6491176266704818	9	True	1	HP	1	0	0	0	0	0	True
((⊂(`ω´∩)	20	-82.98547744750977	20	-83.71591262817383	20	-82.22361221313477	20	-79.03945541381836	20	-81.77756080627441	20	-89.58618240356445	0.01703548127611406	0.008205979716624323	0.036494572002967185	0.8812314784982141	0.057009330313112005	2.3158192968187278e-05	HN-S	0.8812314784982141	7	False	0		0	0	0	0	0	0	
((✿◕‿◕))	20	-33.94263105392456	20	-38.931434631347656	20	-39.47140598297119	20	-35.28111381530762	20	-39.81928024291992	20	-38.16049518585205	0.774856133457695	0.005279723877644048	0.00307683800786525	0.2032007926411906	0.002172825053604924	0.011413686962000156	HP	0.774856133457695	6	False	0		0	0	0	0	0	0	
(-_-;)	20	-56.37790927886963	20	-48.95513916015625	20	-22.289101696014406	20	-20.446207427978514	20	-27.695838260650635	20	-41.74474840164184	2.142648444102101e-16	3.5860721478178845e-13	0.13662555770267906	0.8627615044527889	0.0006129373588267562	4.853465441479709e-10	HN-S	0.8627615044527889	3	False	0		0	0	0	0	0	0	
(-‸–)	20	-62.82848587036133	20	-65.15591926574707	20	-56.72570724487305	20	-57.99069442749023	20	-55.80138301849365	20	-62.67540283203125	0.0005874359805903451	5.7301905357891364e-05	0.2626416662421962	0.07412874914783815	0.6619002360557396	0.0006846106682780404	LN	0.6619002360557396	4	False	1	LN	0	0	0	0	1	0	True
(..)	20	-26.26481885910034	20	-26.11114559173584	20	-23.869277954101562	20	-20.809203243255617	20	-20.699419021606445	20	-21.193167304992677	0.001497283417400137	0.0017459968939485882	0.016431386488410377	0.35046751732954523	0.39113479647546956	0.238723019395226	LN	0.39113479647546956	2	False	0		0	0	0	0	0	0	
(._.)	20	-23.427766227722167	20	-19.509320402145384	20	-19.935488796234132	20	-14.582452583312989	20	-10.733659195899964	20	-15.252380990982056	2.972646650993985e-06	0.00014959004360051665	9.768325142687317e-05	0.02063546195057401	0.9685541932260192	0.010560098881728316	LN	0.9685541932260192	3	False	1	LN	0	0	0	0	1	0	True
(/≧▽≦)	20	-29.996943283081055	20	-32.06271591186523	20	-28.276075077056884	20	-30.813305568695068	20	-31.110844612121582	20	-32.01980886459351	0.13125619883099138	0.016632830792559956	0.7336406532966713	0.058020061805124604	0.043088226834581245	0.017362028440071498	HN-D	0.7336406532966713	5	False	1	LP	0	1	0	0	0	0	False
