first_word	n_prompts_HP	mean_log_prob_HP	n_prompts_LP	mean_log_prob_LP	n_prompts_HN-D	mean_log_prob_HN-D	n_prompts_HN-S	mean_log_prob_HN-S	n_prompts_LN	mean_log_prob_LN	n_prompts_NB	mean_log_prob_NB	softmax_HP	softmax_LP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP	total_emit_LP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	argmax_matches_empirical
(	20	-0.0002804196865326958	20	-4.067312556799152e-05	20	-0.0002172357348172227	20	-0.007550757179160428	20	-6.938273636478698e-05	20	-4.783140211657155e-05	0.16684734389558326	0.16688734976793188	0.1668578863031558	0.1656387063210733	0.16688255856585021	0.16688615514640548	LP	0.16688734976793188	1	False	30	LP	5	18	0	0	2	5	True
(((;°д°)))	20	-37.840462875366214	20	-43.90281314849854	20	-32.367267799377444	20	-30.879641723632812	20	-40.296257209777835	20	-42.756394386291504	0.0007729082262094523	1.8000420832777866e-06	0.1841222822584161	0.8150310332401292	6.631167551357008e-05	5.664557648494529e-06	HN-S	0.8150310332401292	6	True	2	HN-S	0	0	0	2	0	0	True
(((o(*°▽°*)o)))	20	-27.779899215698244	20	-39.45009346008301	20	-32.815524864196775	20	-29.03790521621704	20	-39.349806213378905	20	-36.513687705993654	0.7746525219623905	6.619207201194822e-06	0.005036890470569389	0.22017189221701614	7.3174569130028855e-06	0.00012475868590976878	HP	0.7746525219623905	9	True	1	HP	1	0	0	0	0	0	True
((⊂(`ω´∩)	20	-83.22747268676758	20	-84.98385162353516	20	-80.72940063476562	20	-79.33655853271485	20	-81.61433296203613	20	-91.92537002563476	0.014857510302549358	0.002565431126267589	0.18065290416916507	0.7273586144322717	0.07456305970967582	2.4802600704547004e-06	HN-S	0.7273586144322717	7	False	0		0	0	0	0	0	0	
((✿◕‿◕))	20	-32.28024282455444	20	-37.09941692352295	20	-37.873100471496585	20	-34.388961696624754	20	-40.061099243164065	20	-38.21107406616211	0.8800762847648869	0.0071052538692432735	0.0032777294571216895	0.10683544130239694	0.0003675676749857321	0.002337722931365519	HP	0.8800762847648869	6	False	0		0	0	0	0	0	0	
(-_-;)	20	-58.582920455932616	20	-48.286319732666016	20	-18.725321769714355	20	-17.97711181640625	20	-26.46608362197876	20	-36.18721227645874	1.5732408883402568e-18	4.661783513257391e-14	0.3211666165368832	0.6786937510330258	0.0001396240522884979	8.377755967451307e-09	HN-S	0.6786937510330258	3	False	0		0	0	0	0	0	0	
(-‸–)	20	-62.806500625610354	20	-61.256441307067874	20	-51.16635284423828	20	-52.32033786773682	20	-52.61533699035645	20	-56.763948631286624	5.666474002316382e-06	2.6699007001548436e-05	0.6435241513766946	0.20295302211551036	0.1511050683132275	0.002385392713563619	HN-D	0.6435241513766946	4	False	1	LN	0	0	0	0	1	0	False
(..)	20	-26.378067302703858	20	-25.913470649719237	20	-21.149246311187746	20	-18.956832218170167	20	-17.21564574241638	20	-19.515449047088623	8.098321077307242e-05	0.00012887442901144197	0.015109256531208894	0.13533073406503382	0.7719410137815987	0.077409137982374	LN	0.7719410137815987	2	False	0		0	0	0	0	0	0	
(._.)	20	-22.055105113983153	20	-17.440092468261717	20	-15.958811163902283	20	-12.416379642486572	20	-6.988614273071289	20	-11.813713932037354	2.8266951234837005e-07	2.8546541233723096e-05	0.0001255641879313174	0.004338346687165507	0.9875811763454873	0.007926083568669993	LN	0.9875811763454873	3	False	1	LN	0	0	0	0	1	0	True
(/≧▽≦)	20	-32.82189855575562	20	-34.91355533599854	20	-30.960361671447753	20	-33.94032669067383	20	-33.78666000366211	20	-34.027105522155765	0.11675973394617868	0.01441777019505374	0.7511873977932546	0.03815627141007745	0.04449410993668839	0.034984716718747026	HN-D	0.7511873977932546	5	False	1	LP	0	1	0	0	0	0	False
(/▽＼)	20	-20.163122844696044	20	-18.631727027893067	20	-24.14085865020752	20	-23.443771839141846	20	-25.285927486419677	20	-18.996419048309328	0.1123809110652393	0.5197198463940674	0.002104669162123384	0.004225954270771904	0.0006697099645396577	0.3608989091432584	LP	0.5197198463940674	4	False	0		0	0	0	0	0	0	
