first_word	n_prompts_HP	mean_log_prob_HP	n_prompts_LP	mean_log_prob_LP	n_prompts_HN-D	mean_log_prob_HN-D	n_prompts_HN-S	mean_log_prob_HN-S	n_prompts_LN	mean_log_prob_LN	n_prompts_NB	mean_log_prob_NB	softmax_HP	softmax_LP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP	total_emit_LP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	argmax_matches_empirical
(	20	-0.1926484487950802	20	-0.17732372228056192	20	-0.11544832419604063	20	-0.11457675285637378	20	-0.1553313285112381	20	-0.21136329509317875	0.16138448515870638	0.16387670578312047	0.17433692006373425	0.17448893336230184	0.1675206697005829	0.15839228593155424	HN-S	0.17448893336230184	1	False	30	LP	5	18	0	0	2	5	False
(((;°д°)))	20	-24.522356224060058	20	-25.286707878112793	20	-23.176753520965576	20	-23.27701930999756	20	-23.76403942108154	20	-24.952563095092774	0.08646557791115558	0.04026146215901154	0.33207109734128143	0.3003905032102828	0.18457634916458115	0.05623501021368735	HN-D	0.33207109734128143	6	True	2	HN-S	0	0	0	2	0	0	False
(((o(*°▽°*)o)))	20	-12.766369581222534	20	-14.12182903289795	20	-14.143923616409301	20	-14.256513452529907	20	-13.899007272720336	20	-14.32897663116455	0.44108534125493426	0.11372450747834999	0.11123936701917927	0.09939427366531846	0.14210989728407258	0.09244661329814527	HP	0.44108534125493426	9	True	1	HP	1	0	0	0	0	0	True
((⊂(`ω´∩)	20	-34.87252941131592	20	-32.98487243652344	20	-33.87254333496094	20	-33.162423324584964	20	-32.99050350189209	20	-34.19086608886719	0.04099095080215533	0.2706992172378294	0.11142340526601487	0.2266614324112717	0.2691791759926942	0.08104581829003445	LP	0.2706992172378294	9	False	0		0	0	0	0	0	0	
((✿◕‿◕))	20	-15.415630388259888	20	-16.04582028388977	20	-18.212968158721925	20	-18.063346481323244	20	-17.390507984161378	20	-16.222506999969482	0.44458204717500305	0.23673579383892338	0.027107131561843047	0.03148208103463025	0.06169833993315504	0.19839460645644522	HP	0.44458204717500305	10	False	0		0	0	0	0	0	0	
(-_-;)	20	-18.05485143661499	20	-15.604792594909668	20	-15.54815902709961	20	-14.821211910247802	20	-15.225619316101074	20	-15.276087045669556	0.01201104146051909	0.1391963032103496	0.14730698726642216	0.3047421090431771	0.2033764039879178	0.1933671550316142	HN-S	0.3047421090431771	3	False	0		0	0	0	0	0	0	
(-‸–)	20	-28.781326580047608	20	-26.494351387023926	20	-27.415076732635498	20	-27.03776159286499	20	-26.58556032180786	20	-26.558785152435302	0.025839079596534916	0.2543886592301698	0.1013052165887887	0.14773986319768417	0.2322128289229922	0.2385143524638302	LP	0.2543886592301698	5	False	1	LN	0	0	0	0	1	0	False
(..)	20	-16.17432165145874	20	-16.23178653717041	20	-16.641020631790163	20	-16.22134747505188	20	-16.3572781085968	20	-15.9421142578125	0.1779526507581117	0.16801489265282635	0.1115885590922713	0.1697779971215841	0.14819975368128327	0.22446614669392329	NB	0.22446614669392329	2	False	0		0	0	0	0	0	0	
(._.)	20	-12.729926252365113	20	-11.577527904510498	20	-9.406801557540893	20	-9.377306032180787	20	-9.202140378952027	20	-10.86759819984436	0.009903204813906233	0.03135133253207526	0.2747833909874221	0.28300898422451326	0.33718923358385605	0.06376385385822714	LN	0.33718923358385605	3	False	1	LN	0	0	0	0	1	0	True
(/≧▽≦)	20	-12.152200937271118	20	-12.699098443984985	20	-13.177441596984863	20	-12.906764507293701	20	-12.764226293563842	20	-12.290328884124756	0.26171794771177126	0.15146731842559769	0.09388087850806318	0.12306391055137123	0.14191695067937293	0.22795299412382355	HP	0.26171794771177126	7	False	1	LP	0	1	0	0	0	0	False
