first_word	n_prompts_HP	mean_log_prob_HP	n_prompts_LP	mean_log_prob_LP	n_prompts_HN-D	mean_log_prob_HN-D	n_prompts_HN-S	mean_log_prob_HN-S	n_prompts_LN	mean_log_prob_LN	n_prompts_NB	mean_log_prob_NB	softmax_HP	softmax_LP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP	total_emit_LP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	argmax_matches_empirical
(	20	-8.973163962364197	20	-4.14161167666316	20	-5.210504209995269	20	-5.839534956216812	20	-2.0526523917913435	20	-4.093803018331528	0.0007480494628917113	0.09380949804559131	0.032213112045152995	0.017173076365277283	0.7576529220020487	0.09840334207903788	LN	0.7576529220020487	1	False	30	LP	5	18	0	0	2	5	False
(((;°д°)))	20	-44.92366371154785	20	-43.0219648361206	20	-40.99154491424561	20	-38.97223320007324	20	-37.91280937194824	20	-42.98508262634277	0.0006416158378969623	0.004297069753343422	0.03273200218990531	0.24657469594893788	0.7112961021771139	0.0044585140928025445	LN	0.7112961021771139	6	True	2	HN-S	0	0	0	2	0	0	False
(((o(*°▽°*)o)))	20	-37.99995594024658	20	-34.986058139801024	20	-43.161377906799316	20	-44.2184326171875	20	-39.69634227752685	20	-34.43996791839599	0.017630317139152148	0.35907015430956185	0.00010108414585746643	3.512448925962009e-05	0.003232428290729154	0.6199308916254399	NB	0.6199308916254399	10	True	1	HP	1	0	0	0	0	0	False
((⊂(`ω´∩)	20	-71.93955459594727	20	-60.834886741638186	20	-65.63908195495605	20	-65.90943717956543	20	-62.874197006225586	20	-59.89793014526367	4.068926547073097e-06	0.27050532729555254	0.0022168706382637523	0.001691712542174422	0.03519772774278478	0.6903842928546775	NB	0.6903842928546775	10	False	0		0	0	0	0	0	0	
((✿◕‿◕))	20	-32.23741493225098	20	-27.196835136413576	20	-33.40596523284912	20	-32.701383113861084	20	-31.398313903808592	20	-24.87833776473999	0.0005783020452879531	0.08938213399377168	0.00017974622613146218	0.0003636268193866937	0.0013383560753060892	0.908157834840116	NB	0.908157834840116	10	False	0		0	0	0	0	0	0	
(-_-;)	20	-29.639020204544067	20	-21.60927004814148	20	-11.231269431114196	20	-14.519378685951233	20	-10.15875186920166	20	-12.828494882583618	2.4336429174708796e-09	7.473654889356425e-06	0.24023785455636654	0.008966722622790387	0.7021499990980813	0.048637947634229406	LN	0.7021499990980813	3	False	0		0	0	0	0	0	0	
(-‸–)	20	-37.32387104034424	20	-33.165766906738284	20	-36.70991973876953	20	-37.90577774047851	20	-32.43983535766601	20	-32.56849012374878	0.003167287410045427	0.2025485576284113	0.005852253592374827	0.0017699810048743454	0.41859806926191	0.36806385110238393	LN	0.41859806926191	5	False	1	LN	0	0	0	0	1	0	True
(..)	20	-30.618076229095458	20	-21.792769050598146	20	-18.39050421714783	20	-21.667106294631957	20	-17.032491207122803	20	-17.909040451049805	7.439465282868557e-07	0.005062020855878812	0.15202281612263424	0.005739823944477775	0.5911345317974871	0.2460400633329938	LN	0.5911345317974871	2	False	0		0	0	0	0	0	0	
(._.)	20	-27.446398639678954	20	-23.8013484954834	20	-23.368355464935302	20	-21.4512601852417	20	-19.103250360488893	20	-20.661030721664428	0.00017902256026152322	0.00685382368065456	0.010567674102923112	0.07187259289029391	0.7521267295487748	0.158400157217092	LN	0.7521267295487748	3	False	1	LN	0	0	0	0	1	0	True
(/≧▽≦)	20	-30.547469425201417	20	-22.961307716369628	20	-31.529078102111818	20	-30.75658540725708	20	-30.015211582183838	20	-24.64860897064209	0.0004274883135056248	0.8424660637702628	0.00016018321826769935	0.000346821753439003	0.0007279153720037013	0.15587152757252115	LP	0.8424660637702628	8	False	1	LP	0	1	0	0	0	0	True
