first_word	n_prompts_HP	n_prompts_LP	n_prompts_HN-D	n_prompts_HN-S	n_prompts_LN	n_prompts_NB	mean_log_prob_HP	mean_log_prob_LP	mean_log_prob_HN-D	mean_log_prob_HN-S	mean_log_prob_LN	mean_log_prob_NB	softmax_HP	softmax_LP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP	total_emit_LP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	argmax_matches_empirical
(	0	0	0	0	0	0	-2.995732273553991	-2.3025850929940455	-2.995732273553991	-2.3025850929940455	-0.4307829160924542	-2.995732273553991	0.05	0.1	0.05	0.1	0.65	0.05	LN	0.65	1	False	30	LP	5	18	0	0	2	5	False
(((;°д°)))	0	0	0	0	0	0	-3.912023005428146	-4.605170185988091	-2.995732273553991	-0.12783337150988489	-3.506557897319982	-4.605170185988091	0.02	0.01	0.05	0.88	0.03	0.01	HN-S	0.88	1	True	2	HN-S	0	0	0	2	0	0	True
(((o(*°▽°*)o)))	0	0	0	0	0	0	-0.16251892949777494	-2.3025850929940455	-4.605170185988091	-4.605170185988091	-3.912023005428146	-4.605170185988091	0.85	0.1	0.01	0.01	0.02	0.01	HP	0.85	1	True	1	HP	1	0	0	0	0	0	True
((⊂(`ω´∩)	0	0	0	0	0	0	-0.2876820724517809	-1.8971199848858813	-2.995732273553991	-3.912023005428146	-3.912023005428146	-4.605170185988091	0.75	0.15	0.05	0.02	0.02	0.01	HP	0.75	1	False	0		0	0	0	0	0	0	False
((✿◕‿◕))	0	0	0	0	0	0	-0.2876820724517809	-1.6094379124341003	-4.605170185988091	-4.605170185988091	-3.912023005428146	-4.605170185988091	0.75	0.2	0.01	0.01	0.02	0.01	HP	0.75	1	False	0		0	0	0	0	0	0	False
(-_-;)	0	0	0	0	0	0	-2.995732273553991	-2.3025850929940455	-2.995732273553991	-1.8971199848858813	-1.6094379124341003	-0.7985076962177716	0.05	0.1	0.05	0.15	0.2	0.45	NB	0.45	1	False	0		0	0	0	0	0	0	False
(-‸–)	0	0	0	0	0	0	-3.912023005428146	-2.995732273553991	-3.506557897319982	-2.5257286443082556	-0.2231435513142097	-3.912023005428146	0.02	0.05	0.03	0.08	0.8	0.02	LN	0.8	1	False	1	LN	0	0	0	0	1	0	True
(..)	0	0	0	0	0	0	-2.9444389791664407	-2.2512917986064953	-2.9444389791664407	-2.9444389791664407	-2.9444389791664407	-0.3794896217049037	0.05263157894736842	0.10526315789473684	0.05263157894736842	0.05263157894736842	0.05263157894736842	0.6842105263157895	NB	0.6842105263157895	1	False	0		0	0	0	0	0	0	False
(._.)	0	0	0	0	0	0	-2.995732273553991	-2.3025850929940455	-2.995732273553991	-2.3025850929940455	-2.3025850929940455	-0.5108256237659907	0.05	0.1	0.05	0.1	0.1	0.6	NB	0.6	1	False	1	LN	0	0	0	0	1	0	False
(/≧▽≦)	0	0	0	0	0	0	-0.16251892949777494	-2.120263536200091	-4.605170185988091	-4.605170185988091	-4.605170185988091	-1000000000.0	0.85	0.12	0.01	0.01	0.01	0.0	HP	0.85	1	False	1	LP	0	1	0	0	0	0	False
