first_word	n_prompts_HP	mean_log_prob_HP	n_prompts_LP	mean_log_prob_LP	n_prompts_HN-D	mean_log_prob_HN-D	n_prompts_HN-S	mean_log_prob_HN-S	n_prompts_LN	mean_log_prob_LN	n_prompts_NB	mean_log_prob_NB	softmax_HP	softmax_LP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP	total_emit_LP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	argmax_matches_empirical
(	20	-0.5755974084138871	20	-0.37929063513875005	20	-0.2856622219085693	20	-0.33719156980514525	20	-0.27022913545370103	20	-0.2468781478703022	0.13212172906220676	0.16077895330487643	0.17655966666431758	0.16769209435141927	0.17930566235558723	0.18354189426159287	NB	0.18354189426159287	1	False	30.0	LP	5.0	18.0	0.0	0.0	2.0	5.0	False
((((;°д°))))	20	-41.86254196166992	20	-41.997552490234376	20	-42.5746337890625	20	-41.10694541931152	20	-41.154594802856444	20	-42.49861087799072	0.14179581983328737	0.12388795962995794	0.06956741670664585	0.3018664426597013	0.28782000242374367	0.07506235874666378	HN-S	0.3018664426597013	8	True	3.0	HN-S	0.0	0.0	0.0	3.0	0.0	0.0	True
(((;°д°)))	20	-38.752669715881346	20	-36.95861759185791	20	-40.4641529083252	20	-40.28572807312012	20	-43.53665008544922	20	-38.01371555328369	0.10512648044940204	0.6322066540593794	0.01898560401395204	0.022694119628089683	0.0008791355633947081	0.22010800628578228	LP	0.6322066540593794	6	True	11.0	HN-S	0.0	0.0	0.0	11.0	0.0	0.0	False
(((;꒪д꒪)))	20	-47.84665241241455	20	-46.580665016174315	20	-49.212937927246095	20	-48.91133441925049	20	-52.53991565704346	20	-47.64118537902832	0.15664802708169562	0.5555667806932425	0.03995348522381071	0.054018112989199535	0.0014343878577776504	0.19237920615427404	LP	0.5555667806932425	10	True	2.0	HN-S	0.0	0.0	0.0	2.0	0.0	0.0	False
(((o(*°▽°*)o)))	20	-28.723091697692873	20	-30.15468235015869	20	-37.32786350250244	20	-36.58199062347412	20	-36.841674613952634	20	-31.809203147888184	0.7779223872040976	0.18586788160303006	0.0001425382285129373	0.0003005106255823656	0.00023178242828844552	0.03553489991048881	HP	0.7779223872040976	10	True	3.0	HP	3.0	0.0	0.0	0.0	0.0	0.0	True
(((o(*ﾟ▽ﾟ	20	-24.591986846923827	20	-26.027323532104493	20	-32.34480428695679	20	-31.8166974067688	20	-32.12550859451294	20	-27.46566562652588	0.7714747639158199	0.1836381555828755	0.00033137206243809535	0.0005619139251072737	0.00041262429939395147	0.04358117021436502	HP	0.7714747639158199	11	True	5.0	HP	5.0	0.0	0.0	0.0	0.0	0.0	True
(((o(°▽°)o)))	20	-26.079361629486083	20	-25.78739414215088	20	-35.27701816558838	20	-33.84764709472656	20	-34.66852216720581	20	-27.197709178924562	0.37501089285540085	0.5021618913836109	3.797977632347378e-05	0.0001586062771480475	6.979412341245448e-05	0.1225608355841043	LP	0.5021618913836109	10	True	2.0	HP	2.0	0.0	0.0	0.0	0.0	0.0	False
((⊂(`ω´∩)	20	-53.73505897521973	20	-52.06367816925049	20	-54.179287147521975	20	-53.53934173583984	20	-53.67082500457764	20	-51.9606107711792	0.06604854858154477	0.35134577838526654	0.04235819394154096	0.08032711984998674	0.07043033229447714	0.3894900269471839	NB	0.3894900269471839	10	False	0.0		0.0	0.0	0.0	0.0	0.0	0.0	
((✿◕‿◕))	20	-19.546015357971193	20	-19.004030227661133	20	-22.57897529602051	20	-22.576732635498047	20	-21.452674388885498	20	-18.074491882324217	0.1366061868595379	0.23488296486020352	0.006580707746814767	0.00659548260158763	0.02029639343562883	0.5950382644962274	NB	0.5950382644962274	11	False	0.0		0.0	0.0	0.0	0.0	0.0	0.0	
()	20	-11.274034976959229	20	-10.944915628433227	20	-11.29503698348999	20	-10.987191534042358	20	-11.160854148864747	20	-11.389065742492676	0.1489791322998662	0.20704281196847105	0.14588289895431356	0.19847232849768906	0.1668319590437168	0.1327908692359433	LP	0.20704281196847105	1	False	13.0	HN-D	1.0	0.0	5.0	5.0	1.0	1.0	False
