first_word	n_prompts_HP	mean_log_prob_HP	n_prompts_LP	mean_log_prob_LP	n_prompts_HN-D	mean_log_prob_HN-D	n_prompts_HN-S	mean_log_prob_HN-S	n_prompts_LN	mean_log_prob_LN	n_prompts_NB	mean_log_prob_NB	softmax_HP	softmax_LP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP	total_emit_LP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	argmax_matches_empirical
(	20	-0.12035094425082207	20	-0.10052379369735717	20	-0.07874287459999323	20	-0.12035110220313072	20	-0.1616321202367544	20	-0.11215120255947113	0.16582913524457954	0.1691498660042928	0.17287452151169627	0.16582910905148684	0.15912288677651473	0.16719448141142979	HN-D	0.17287452151169627	1	False	30.0	LP	5.0	18.0	0.0	0.0	2.0	5.0	False
((((;°д°))))	20	-20.806259059906004	20	-24.055149650573732	20	-16.977764797210693	20	-15.517858791351319	20	-17.089784717559816	20	-21.870689582824706	0.003490127024485708	0.0001354771268542994	0.1605222231450586	0.6911372303594386	0.14351111298408264	0.0012038293600800417	HN-S	0.6911372303594386	6	True	3.0	HN-S	0.0	0.0	0.0	3.0	0.0	0.0	True
(((;°д°)))	20	-33.99226875305176	20	-33.63665800094604	20	-33.24504117965698	20	-31.891347026824953	20	-31.710428619384764	20	-35.610046195983884	0.044043322067718944	0.06285210922122295	0.09298157129211017	0.3599969172431467	0.431390570426028	0.008735509749773131	LN	0.431390570426028	6	True	11.0	HN-S	0.0	0.0	0.0	11.0	0.0	0.0	False
(((;꒪д꒪)))	20	-22.9967903137207	20	-23.603240489959717	20	-18.375578594207763	20	-17.126669073104857	20	-17.84520893096924	20	-24.448725605010985	0.0015863125156881572	0.0008649894004193273	0.16119646003908983	0.5620177263133141	0.27396312937664125	0.0003713823548473055	HN-S	0.5620177263133141	10	True	2.0	HN-S	0.0	0.0	0.0	2.0	0.0	0.0	True
(((o(*°▽°*)o)))	20	-24.852880859375	20	-24.593272590637206	20	-24.31913642883301	20	-23.46209936141968	20	-23.39615478515625	20	-26.93576784133911	0.08041059559734416	0.10424607627037137	0.1371246524550873	0.3230888786575482	0.3451130442166778	0.01001675280297108	LN	0.3451130442166778	9	True	3.0	HP	3.0	0.0	0.0	0.0	0.0	0.0	False
(((o(*ﾟ▽ﾟ	20	-12.092928743362426	20	-11.943154191970825	20	-18.460941648483278	20	-15.353578090667725	20	-17.116906261444093	20	-12.65588870048523	0.3600035351749973	0.4181701481635891	0.0006176094039476234	0.013810987955865798	0.0023682145889528934	0.20502950471264722	LP	0.4181701481635891	6	True	5.0	HP	5.0	0.0	0.0	0.0	0.0	0.0	False
(((o(°▽°)o)))	20	-26.510590267181396	20	-24.91520013809204	20	-27.98809700012207	20	-26.995514392852783	20	-30.264804458618165	20	-25.40029125213623	0.10169953449208871	0.5014043467274442	0.02320843970336642	0.06262086943519037	0.0023816857477703367	0.30868512389414005	LP	0.5014043467274442	9	True	2.0	HP	2.0	0.0	0.0	0.0	0.0	0.0	False
((⊂(`ω´∩)	20	-46.365522384643555	20	-46.37793140411377	20	-46.250384140014646	20	-45.14414806365967	20	-44.49985275268555	20	-48.45600852966309	0.07642087614466885	0.07547842752971638	0.08574640418316881	0.25920784437115946	0.49369876254600975	0.009447685225276536	LN	0.49369876254600975	10	False	0.0		0.0	0.0	0.0	0.0	0.0	0.0	
((✿◕‿◕))	20	-28.349816226959227	20	-28.454521656036377	20	-27.904605102539062	20	-27.280924701690672	20	-26.331855964660644	20	-30.550705909729004	0.07139171215857293	0.06429464570968976	0.11142958991149035	0.20790335071019914	0.5370773089629906	0.007903392547057181	LN	0.5370773089629906	10	False	0.0		0.0	0.0	0.0	0.0	0.0	0.0	
()	20	-11.848475885391235	20	-11.742711067199707	20	-13.330305433273315	20	-11.792226123809815	20	-12.57413215637207	20	-12.485588645935058	0.2267847403951872	0.25208494286445543	0.051530390452516804	0.2399069282003637	0.10976536217297639	0.11992763591450038	LP	0.25208494286445543	1	False	13.0	HN-D	1.0	0.0	5.0	5.0	1.0	1.0	False
(-_-;)	20	-23.464385414123534	20	-22.321463108062744	20	-21.166736030578612	20	-22.436854076385497	20	-21.13197135925293	20	-21.68722982406616	0.03021454786569032	0.09475037785403771	0.3006578506327699	0.08442426527484626	0.3112939307122516	0.1786590276604042	LN	0.3112939307122516	3	False	0.0		0.0	0.0	0.0	0.0	0.0	0.0	
(-‸–)	20	-31.669502544403077	20	-30.90243272781372	20	-29.92681188583374	20	-30.281865215301515	20	-29.289704990386962	20	-29.617574882507324	0.031789304288142396	0.06845658212104999	0.1816025573949331	0.12732809994321898	0.3434108157671432	0.24741264048551234	LN	0.3434108157671432	5	False	3.0	HN-D	0.0	0.0	1.0	1.0	1.0	0.0	False
(..)	20	-11.757347249984742	20	-10.609959268569947	20	-11.63446683883667	20	-9.755325984954833	20	-9.467793416976928	20	-11.237923574447631	0.04126042107359738	0.1299684455399034	0.046655187619908084	0.3054924235045551	0.40726233924594163	0.06936118301609448	LN	0.40726233924594163	2	False	0.0		0.0	0.0	0.0	0.0	0.0	0.0	
(._.)	20	-13.630422067642211	20	-13.267059183120727	20	-13.35501184463501	20	-13.426783990859985	20	-13.403230905532837	20	-13.365454244613648	0.13263405621901572	0.19074868256359953	0.1746884500692304	0.1625900424654484	0.16646499400771522	0.17287377467499074	LP	0.19074868256359953	3	False	1.0	LN	0.0	0.0	0.0	0.0	1.0	0.0	False
(/≧▽≦)	20	-26.096037673950196	20	-25.66659469604492	20	-25.513172817230224	20	-24.928361797332762	20	-24.17964162826538	20	-25.092144775390626	0.05859129505745775	0.09001975218261647	0.10494653119685633	0.18834248112774332	0.39821106656809035	0.1598888738672357	LN	0.39821106656809035	7	False	1.0	LP	0.0	1.0	0.0	0.0	0.0	0.0	False
(/▽＼)	20	-24.209015941619874	20	-23.580836963653564	20	-23.481516075134277	20	-22.8026554107666	20	-22.63481512069702	20	-23.230451583862305	0.06055950195655533	0.11350028672101782	0.12535205914256856	0.24714789335888407	0.29231360218538105	0.1611266566355931	LN	0.29231360218538105	5	False	0.0		0.0	0.0	0.0	0.0	0.0	0.0	
(;'ω';)	20	-28.262002563476564	20	-27.668850135803222	20	-28.443989753723145	20	-28.388985252380373	20	-28.42622661590576	20	-27.980296325683593	0.14929859972733914	0.2701833366662255	0.12445710710954458	0.13149458034709868	0.1266876075501804	0.19787876859961168	LP	0.2701833366662255	5	False	1.0	HN-S	0.0	0.0	0.0	1.0	0.0	0.0	False
(;;)	20	-16.617487144470214	20	-16.159247303009032	20	-16.18509097099304	20	-16.32808051109314	20	-16.719893074035646	20	-16.413251161575317	0.1318023340027309	0.20841747760777435	0.20310021030460065	0.17603977502383714	0.11897309808194582	0.1616671049791113	LP	0.20841747760777435	3	False	6.0	LN	0.0	0.0	0.0	0.0	6.0	0.0	False
(;;_;;)	20	-22.190001487731934	20	-21.743295860290527	20	-21.745696830749512	20	-21.837149143218994	20	-22.222948169708253	20	-22.124767589569093	0.1319142980999677	0.20620237353402446	0.20570788159441422	0.18773000733763978	0.12763897524932225	0.1408064641846316	LP	0.20620237353402446	5	False	2.0	HN-S	0.0	0.0	0.0	2.0	0.0	0.0	False
