first_word	n_prompts_HP	mean_log_prob_HP	n_prompts_LP	mean_log_prob_LP	n_prompts_HN-D	mean_log_prob_HN-D	n_prompts_HN-S	mean_log_prob_HN-S	n_prompts_LN	mean_log_prob_LN	n_prompts_NB	mean_log_prob_NB	softmax_HP	softmax_LP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP	total_emit_LP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	argmax_matches_empirical
(	20	-6.325351905822754	20	-7.847521185874939	20	-6.864738512039184	20	-6.859359884262085	20	-6.421327900886536	20	-7.122600364685058	0.2669053025905156	0.05824886710942592	0.15563403431031406	0.15647338710994563	0.24247968374089315	0.1202587251389057	HP	0.2669053025905156	2	False	30	LP	5	18	0	0	2	5	False
(((;°д°)))	20	-31.82441806793213	20	-37.299242210388186	20	-36.679826164245604	20	-34.146744632720946	20	-35.25545387268066	20	-36.75307273864746	0.8698587185750973	0.0036455478777549038	0.006772854988052284	0.08528548204390718	0.028142897150431462	0.006294499364756721	HP	0.8698587185750973	11	True	2	HN-S	0	0	0	2	0	0	False
(((o(*°▽°*)o)))	20	-39.78560619354248	20	-45.46264019012451	20	-44.629485511779784	20	-43.23429088592529	20	-42.86555137634277	20	-45.84423542022705	0.9162653200132821	0.0031370158344001305	0.0072169083524441825	0.029125709759685103	0.04211318146451531	0.0021418645756732854	HP	0.9162653200132821	15	True	1	HP	1	0	0	0	0	0	True
((⊂(`ω´∩)	20	-43.86125469207764	20	-48.8145658493042	20	-48.31969146728515	20	-46.68558292388916	20	-46.88020076751709	20	-48.04674663543701	0.8756135331664281	0.006181825796602379	0.010140000487088246	0.05196636017854962	0.0427760662310298	0.01332221414030184	HP	0.8756135331664281	11	False	0		0	0	0	0	0	0	
((✿◕‿◕))	20	-47.11785125732422	20	-54.31247138977051	20	-52.137353515625	20	-52.315601921081544	20	-51.12419204711914	20	-53.147901725769046	0.9675927467524371	0.0007262878538304778	0.0063936737458255245	0.005349807713330943	0.017610062872792865	0.0023274210617833593	HP	0.9675927467524371	8	False	0		0	0	0	0	0	0	
(-_-;)	20	-19.209692859649657	20	-23.29470624923706	20	-20.558718490600587	20	-20.13814115524292	20	-19.541594123840333	20	-22.418991088867188	0.4116199620146649	0.006924647247413989	0.10681249033721191	0.1626583852870561	0.2953612658733227	0.01662324924033047	HP	0.4116199620146649	7	False	0		0	0	0	0	0	0	
(-‸–)	20	-39.34783458709717	20	-43.36766605377197	20	-40.04203472137451	20	-40.58601303100586	20	-40.81947193145752	20	-43.01256160736084	0.4848479896133512	0.008705926073554684	0.2421688679021401	0.14056316692906975	0.1112965292404808	0.012417520241403468	HP	0.4848479896133512	6	False	1	LN	0	0	0	0	1	0	False
(..)	20	-16.578804540634156	20	-18.577851057052612	20	-16.969899129867553	20	-17.15696725845337	20	-16.833901786804198	20	-18.133865118026733	0.29773191081681993	0.04033207011789843	0.20136090882132604	0.16700616629320023	0.23069493437175995	0.06287400957899549	HP	0.29773191081681993	5	False	0		0	0	0	0	0	0	
(._.)	20	-18.854137325286864	20	-20.68752007484436	20	-19.416383075714112	20	-19.968533992767334	20	-18.817225646972656	20	-20.17139539718628	0.2973197030181263	0.047533049661152856	0.16945073753502315	0.09755451339604523	0.30849933239518657	0.07964266399446579	LN	0.30849933239518657	5	False	1	LN	0	0	0	0	1	0	True
(/≧▽≦)	20	-29.155112934112548	20	-33.855128383636476	20	-30.985045433044434	20	-31.353386878967285	20	-31.408809471130372	20	-33.12025671005249	0.7120023481852449	0.006475758605642535	0.11422254682039346	0.07902839865882837	0.07476760271707265	0.01350334501281825	HP	0.7120023481852449	7	False	1	LP	0	1	0	0	0	0	False
