first_word	n_prompts_HP	mean_log_prob_HP	n_prompts_LP	mean_log_prob_LP	n_prompts_HN-D	mean_log_prob_HN-D	n_prompts_HN-S	mean_log_prob_HN-S	n_prompts_LN	mean_log_prob_LN	n_prompts_NB	mean_log_prob_NB	softmax_HP	softmax_LP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP	total_emit_LP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	argmax_matches_empirical
(	5	-6.666270923614502	5	-7.446708297729492	5	-6.830376815795899	5	-7.0488731384277346	5	-6.681065273284912	5	-7.345681190490723	0.2231558926734994	0.10225127081907283	0.18938172843602682	0.15221110145707598	0.21987874775314542	0.11312125886117953	HP	0.2231558926734994	2	False	30	LP	5	18	0	0	2	5	False
(((;°д°)))	5	-29.254689407348632	5	-31.97314796447754	5	-30.228168869018553	5	-29.500430297851562	5	-30.743764877319336	5	-30.721339797973634	0.37283583605200515	0.024598356894758804	0.1408448237094708	0.29160417408064804	0.08410472386069756	0.08601208540241968	HP	0.37283583605200515	11	True	2	HN-S	0	0	0	2	0	0	False
(((o(*°▽°*)o)))	5	-35.11504592895508	5	-39.720734405517575	5	-40.64351577758789	5	-40.153193664550784	5	-40.77023544311523	5	-39.10690078735352	0.9593086475725383	0.009588115757674969	0.003810433711165814	0.00622183656372837	0.0033569182046243	0.017714048190268224	HP	0.9593086475725383	15	True	1	HP	1	0	0	0	0	0	True
((⊂(`ω´∩)	5	-40.7282829284668	5	-42.06257705688476	5	-39.696886444091795	5	-41.68009262084961	5	-41.20504455566406	5	-42.67958068847656	0.1916720037081145	0.050475671552049434	0.5376361775798881	0.07399340035183911	0.11898815733642237	0.027234589471686232	HN-D	0.5376361775798881	11	False	0		0	0	0	0	0	0	
((✿◕‿◕))	5	-48.33412475585938	5	-50.454183197021486	5	-48.95528793334961	5	-49.507223510742186	5	-49.62383117675781	5	-47.539109802246095	0.22438750737394314	0.026932023942951452	0.12056768824195278	0.0694269934136512	0.06178546112820741	0.49690032589929395	NB	0.49690032589929395	8	False	0		0	0	0	0	0	0	
(-_-;)	5	-17.550826263427734	5	-18.464012145996094	5	-15.557419204711914	5	-17.32236728668213	5	-15.422286224365234	5	-18.589335632324218	0.05331917486486694	0.02139399205396895	0.39138944165463163	0.06700417941567151	0.4480191867660651	0.018874025244796064	LN	0.4480191867660651	7	False	0		0	0	0	0	0	0	
(-‸–)	5	-42.92835998535156	5	-41.22642364501953	5	-39.57749786376953	5	-41.558686065673825	5	-40.79911651611328	5	-41.15530014038086	0.018781709501265315	0.10300935792317786	0.5357917818904386	0.07388851602816089	0.15792606281470598	0.11060257184225142	HN-D	0.5357917818904386	6	False	1	LN	0	0	0	0	1	0	False
(..)	5	-16.776691436767578	5	-16.56191482543945	5	-15.372917366027831	5	-15.862069702148437	5	-14.847404479980469	5	-16.702770233154297	0.05963999791998183	0.07392884424503722	0.24276660918057003	0.14885135486531167	0.41059749831321507	0.064215695475884	LN	0.41059749831321507	5	False	0		0	0	0	0	0	0	
(._.)	5	-19.030644989013673	5	-19.69842529296875	5	-17.833050537109376	5	-18.572734832763672	5	-17.800223541259765	5	-18.400344467163087	0.08542190526305508	0.043808254821000855	0.28292929394715294	0.13503212675138665	0.2923711385301718	0.16043728068723273	LN	0.2923711385301718	5	False	1	LN	0	0	0	0	1	0	True
(/≧▽≦)	5	-25.945935440063476	5	-29.88365592956543	5	-30.540306091308594	5	-30.36305389404297	5	-30.380842208862305	5	-29.382822036743164	0.9210724029328566	0.017954093822816833	0.009310734625427506	0.011116385517306242	0.010920392116290952	0.0296259909853017	HP	0.9210724029328566	7	False	1	LP	0	1	0	0	0	0	False
