first_word	n_prompts_HP	mean_log_prob_HP	n_prompts_LP	mean_log_prob_LP	n_prompts_HN-D	mean_log_prob_HN-D	n_prompts_HN-S	mean_log_prob_HN-S	n_prompts_LN	mean_log_prob_LN	n_prompts_NB	mean_log_prob_NB	softmax_HP	softmax_LP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP	total_emit_LP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	argmax_matches_empirical
(	20	-6.912400937080383	20	-7.7334415197372435	20	-6.489775490760803	20	-7.466616797447204	20	-7.112106657028198	20	-7.500847911834716	0.20347455699515096	0.08952343077245443	0.31049457094294963	0.1169007295950985	0.16663990886706345	0.1129668028272831	HN-D	0.31049457094294963	2	False	30	LP	5	18	0	0	2	5	False
(((;°д°)))	20	-29.88147668838501	20	-31.95576753616333	20	-29.42794828414917	20	-29.660560512542723	20	-30.78532075881958	20	-31.691599082946777	0.22146609461837954	0.027826217680037645	0.3485556529592745	0.2762166942908339	0.0896959336833996	0.03623940676807485	HN-D	0.3485556529592745	11	True	2	HN-S	0	0	0	2	0	0	False
(((o(*°▽°*)o)))	20	-35.50752983093262	20	-39.495499229431154	20	-40.114762496948245	20	-41.42783603668213	20	-40.515093612670896	20	-39.97444038391113	0.9529518125600299	0.0176651706291922	0.009509883939312784	0.002558082956068101	0.006372555437320501	0.010942494478076392	HP	0.9529518125600299	15	True	1	HP	1	0	0	0	0	0	True
((⊂(`ω´∩)	20	-41.46086311340332	20	-42.60058460235596	20	-39.97231502532959	20	-42.18038787841797	20	-41.56488819122315	20	-43.51138916015625	0.1376004222444898	0.04401949065108635	0.6096604008392045	0.06700915347686831	0.12400587162667372	0.017704661161677314	HN-D	0.6096604008392045	11	False	0		0	0	0	0	0	0	
((✿◕‿◕))	20	-48.49295787811279	20	-50.5907205581665	20	-48.96975154876709	20	-50.607795333862306	20	-49.90723934173584	20	-48.42394790649414	0.31459388498444035	0.03861033060630303	0.19529063450917997	0.03795666435514706	0.07647784487282172	0.3370706406721079	NB	0.3370706406721079	8	False	0		0	0	0	0	0	0	
(-_-;)	20	-18.701317596435548	20	-18.86885509490967	20	-15.01782193183899	20	-17.25290455818176	20	-16.424951124191285	20	-19.235164213180543	0.01778888035441259	0.015044854881831916	0.7077346444732672	0.07571578060652279	0.1732854154127223	0.01043042427124322	HN-D	0.7077346444732672	7	False	0		0	0	0	0	0	0	
(-‸–)	20	-43.01471176147461	20	-41.6328311920166	20	-39.0850341796875	20	-41.74760131835937	20	-41.100473403930664	20	-41.657267570495605	0.01426705532536944	0.056816889134079424	0.726058534616439	0.05065629458563966	0.09675590982674642	0.05544531651172617	HN-D	0.726058534616439	6	False	1	LN	0	0	0	0	1	0	False
(..)	20	-16.777035236358643	20	-16.788005924224855	20	-14.991046810150147	20	-16.2434024810791	20	-15.31372275352478	20	-16.83224391937256	0.06699623310010681	0.06626525533445374	0.3996642507980989	0.11423630463707002	0.2894402479375477	0.0633977081927229	HN-D	0.3996642507980989	5	False	0		0	0	0	0	0	0	
(._.)	20	-18.96305274963379	20	-19.63591504096985	20	-17.55845375061035	20	-18.86566219329834	20	-18.15257320404053	20	-19.20799493789673	0.10290007821718376	0.052504354637384225	0.41920388557628613	0.11342580914884935	0.23142085790165887	0.08054501451863777	HN-D	0.41920388557628613	5	False	1	LN	0	0	0	0	1	0	False
(/≧▽≦)	20	-26.861202716827393	20	-30.23283863067627	20	-29.210107707977294	20	-30.94676294326782	20	-29.93406925201416	20	-30.68767890930176	0.8232517104700883	0.028265050735226248	0.07859884524664615	0.013841921434395008	0.0381069036458423	0.017935568467801945	HP	0.8232517104700883	7	False	1	LP	0	1	0	0	0	0	False
(/▽＼)	20	-29.276147747039794	20	-30.399086570739748	20	-29.283080768585204	20	-30.758468532562254	20	-29.980228900909424	20	-31.376799201965333	0.31620925765937863	0.10286993039448217	0.3140245541125146	0.0718142853581769	0.15638533353108028	0.03869663894436742	HP	0.31620925765937863	6	False	0		0	0	0	0	0	0	
(;'ω';)	20	-32.54076881408692	20	-34.30717887878418	20	-31.738206958770753	20	-33.50216798782348	20	-32.9131362915039	20	-35.26113586425781	0.22028836464665189	0.03765732053131152	0.4915183589464246	0.08422891431612635	0.15180092508521825	0.014506116474267385	HN-D	0.4915183589464246	7	False	1	HN-S	0	0	0	1	0	0	False
(;;)	20	-22.433795547485353	20	-24.681691551208495	20	-22.338686370849608	20	-23.233354377746583	20	-22.808800601959227	20	-24.817607498168947	0.2911706887969537	0.030753802677919356	0.3202233852922421	0.13088915557735345	0.20011748121719208	0.02684548643833918	HN-D	0.3202233852922421	5	False	6	LN	0	0	0	0	6	0	False
(;;_;;)	20	-34.74947080612183	20	-37.21271190643311	20	-33.531583595275876	20	-34.21601305007935	20	-35.27705841064453	20	-37.3876371383667	0.14638002458893565	0.01246550273438778	0.4947701736033211	0.24955114999894568	0.08636811286533833	0.010465036209071384	HN-D	0.4947701736033211	8	False	2	HN-S	0	0	0	2	0	0	False
(;_;)	20	-16.045950841903686	20	-16.895214557647705	20	-15.002531099319459	20	-15.552161693572998	20	-14.778171014785766	20	-17.67289295196533	0.10357717439719301	0.04430303857049601	0.2940461488162752	0.16971255101614122	0.36800510424985394	0.020355982950040517	LN	0.36800510424985394	6	False	3	LN	0	0	0	1	2	0	True
(;`ﾉωﾉ´)	20	-58.224459648132324	20	-58.37279739379883	20	-54.4325870513916	20	-57.30113544464111	20	-57.36722984313965	20	-60.678514671325686	0.01954586910258912	0.016851273276894316	0.8666511763548307	0.0492095725449786	0.04606225126535475	0.0016798574553525069	HN-D	0.8666511763548307	10	False	1	LP	0	1	0	0	0	0	False
(;´д`)	20	-20.409380149841308	20	-20.65423822402954	20	-18.230131530761717	20	-19.887609004974365	20	-19.40667896270752	20	-22.287338161468504	0.06585002451793864	0.05154842856695475	0.582091946889203	0.11095791057404537	0.17948308825732837	0.01006860119452985	HN-D	0.582091946889203	8	False	38	LN	0	0	5	6	27	0	False
(;´༎ຶд༎ຶ`)	20	-60.10337371826172	20	-60.55224800109863	20	-56.82431812286377	20	-58.8032262802124	20	-58.642286491394046	20	-61.3767692565918	0.027435298672745717	0.017513222624625915	0.7284260076622722	0.10068309341966836	0.11826379543651777	0.007678582184169939	HN-D	0.7284260076622722	10	False	12	LN	0	0	0	5	7	0	False
(;´∀`)	20	-22.86744155883789	20	-23.552909660339356	20	-24.085655975341798	20	-26.45032482147217	20	-25.26051731109619	20	-25.85319776535034	0.507805699057273	0.2558600948863232	0.15018749432925071	0.014114683374503065	0.046387180558116914	0.025644847794532997	HP	0.507805699057273	8	False	2	LN	0	0	0	0	2	0	False
(;´꒳`)	20	-48.22508773803711	20	-47.28922176361084	20	-44.1816104888916	20	-46.26761665344238	20	-46.26705055236816	20	-47.587548828125	0.01304932303497476	0.033268208196067565	0.7441283302499976	0.0924074259001667	0.09245975265295277	0.024686959965840707	HN-D	0.7441283302499976	8	False	1	LN	0	0	0	0	1	0	False
(;ω;)	20	-21.507015037536622	20	-23.635275268554686	20	-21.096751976013184	20	-22.0469557762146	20	-21.951304626464843	20	-24.26448221206665	0.2555079073644706	0.03041674036455175	0.3851051520780083	0.14890561056625332	0.1638520307171737	0.016212558909542187	HN-D	0.3851051520780083	6	False	47	LN	2	0	0	8	37	0	False
(;д;)	20	-21.97390661239624	20	-22.926552486419677	20	-19.435052394866943	20	-20.144079303741456	20	-20.413350772857665	20	-22.688815307617187	0.03916287879080623	0.0151058706720518	0.4960037791968686	0.2440947909056825	0.18647275974242863	0.019159920692162262	HN-D	0.4960037791968686	6	False	1	HN-S	0	0	0	1	0	0	False
(;′⌒`)	20	-60.286124801635744	20	-60.902051544189455	20	-57.252573776245114	20	-59.24448471069336	20	-60.25001564025879	20	-60.853926467895505	0.03738541404412991	0.020193360999156317	0.7765271875525211	0.1059450666335464	0.03876003891062161	0.021188931860024483	HN-D	0.7765271875525211	7	False	25	HN-S	0	0	6	14	5	0	False
(;⁎_⁎)	20	-46.02656269073486	20	-46.05763454437256	20	-42.87418079376221	20	-43.80081691741943	20	-44.19535865783691	20	-45.250000381469725	0.02323587966328149	0.022524999191205302	0.5435270732989629	0.21517322352370755	0.14502434924113045	0.050514475081712334	HN-D	0.5435270732989629	7	False	1	HN-S	0	0	0	1	0	0	False
(;╹⌓╹)	20	-37.00362701416016	20	-36.37349662780762	20	-33.223236846923825	20	-35.08526849746704	20	-35.54087734222412	20	-35.56022577285766	0.01610989295438868	0.030252049639245288	0.7061472038065059	0.10970468449955907	0.06955955029244715	0.06822661880785395	HN-D	0.7061472038065059	5	True	1	LN	0	0	0	0	1	0	False
(;へ:)	20	-23.90113248825073	20	-24.680023384094238	20	-22.500095272064208	20	-24.432868480682373	20	-22.958399391174318	20	-25.202405548095705	0.11179330173395416	0.05130359102162868	0.45381465336265936	0.06568796013749872	0.28697202670094085	0.03042846704331837	HN-D	0.45381465336265936	6	False	1	HP	1	0	0	0	0	0	False
(;・`O・´)	20	-45.19777336120605	20	-47.49877490997314	20	-44.029876136779784	20	-45.08611488342285	20	-44.988129425048825	20	-46.99822864532471	0.14637052569926565	0.014660249351740904	0.4706141192472976	0.16366141186021244	0.18050982171473323	0.02418387212675006	HN-D	0.4706141192472976	10	False	1	HN-S	0	0	0	1	0	0	False
(;・∀・)	20	-23.22243490219116	20	-24.393539714813233	20	-23.26378297805786	20	-25.037416076660158	20	-24.226066493988036	20	-24.526404857635498	0.3256949002028809	0.10097331172518434	0.3125026591231367	0.05303647475279279	0.11938212255511114	0.08841053164089423	HP	0.3256949002028809	7	False	0		0	0	0	0	0	0	
(;一_一)	20	-23.608008575439452	20	-23.94424715042114	20	-22.706500244140624	20	-23.531874656677246	20	-22.701579570770264	20	-23.95643663406372	0.11850954257372966	0.08466945495941185	0.2919264294780123	0.12788448610293388	0.2933664441008615	0.08364364278505097	LN	0.2933664441008615	7	False	2	HN-S	0	0	0	1	1	0	False
(;︵;)	20	-26.527817153930663	20	-28.464725685119628	20	-25.957014274597167	20	-26.93804759979248	20	-27.25925130844116	20	-27.998153305053712	0.2331871964702452	0.03361367634182626	0.41266842631502765	0.1547190827851764	0.11221395874189552	0.053597659345828906	HN-D	0.41266842631502765	6	True	1	HN-D	0	0	1	0	0	0	True
(;﹏;)	20	-16.045950841903686	20	-16.895214557647705	20	-15.002531099319459	20	-15.552161693572998	20	-14.778171014785766	20	-17.67289295196533	0.10357717439719301	0.04430303857049601	0.2940461488162752	0.16971255101614122	0.36800510424985394	0.020355982950040517	LN	0.36800510424985394	6	False	1	HN-S	0	0	0	1	0	0	False
(;￣д￣)	20	-27.007029914855956	20	-29.515278339385986	20	-23.582385444641112	20	-26.009678649902344	20	-26.7717716217041	20	-29.80163860321045	0.027909105345627155	0.002272100121679751	0.857136739837846	0.07566413400944719	0.035311591643665236	0.0017063290417344587	HN-D	0.857136739837846	9	False	0		0	0	0	0	0	0	
(=^-^=)	20	-28.378888607025146	20	-29.41281681060791	20	-27.9456036567688	20	-30.726975536346437	20	-30.27534646987915	20	-29.96141481399536	0.298593964746035	0.10618219819587973	0.46052614223410443	0.028531186259808793	0.04481876037836375	0.06134774818580856	HN-D	0.46052614223410443	8	False	6	LP	0	2	0	1	2	1	False
