first_word	n_prompts_HP	mean_log_prob_HP	n_prompts_LP	mean_log_prob_LP	n_prompts_HN-D	mean_log_prob_HN-D	n_prompts_HN-S	mean_log_prob_HN-S	n_prompts_LN	mean_log_prob_LN	n_prompts_NB	mean_log_prob_NB	softmax_HP	softmax_LP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP	total_emit_LP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	argmax_matches_empirical
(	20	-5.5610894680023195	20	-5.568464636802673	20	-6.0526590824127195	20	-5.630770945549012	20	-5.635772919654846	20	-5.457673335075379	0.17940442989275568	0.17808615914879491	0.10973551129818261	0.16732887121091858	0.166493986307015	0.19895104214233322	NB	0.19895104214233322	1	False	30	LP	5	18	0	0	2	5	False
(((;°д°)))	20	-19.91284809112549	20	-22.64287214279175	20	-23.929921436309815	20	-23.575571155548097	20	-23.194785499572752	20	-21.194009685516356	0.7021703717433562	0.04579395143702448	0.012642987633346803	0.018019472972595468	0.026370307490729415	0.19500290872294773	HP	0.7021703717433562	10	True	2	HN-S	0	0	0	2	0	0	False
(((o(*°▽°*)o)))	20	-78.38371772766114	20	-80.76327247619629	20	-81.43422470092773	20	-81.70441665649415	20	-80.67219772338868	20	-79.46370353698731	0.6184004546283768	0.057258808101793	0.02927193652251409	0.02234130715091787	0.06271848599962344	0.21000900759677493	HP	0.6184004546283768	14	True	1	HP	1	0	0	0	0	0	True
((⊂(`ω´∩)	20	-83.47579154968261	20	-88.09221649169922	20	-87.00121765136718	20	-87.19340629577637	20	-87.15968551635743	20	-84.67909469604493	0.7199708623431831	0.00711913194537432	0.021195409824849236	0.017489417716856956	0.018089230759753376	0.21613594740998307	HP	0.7199708623431831	10	False	0		0	0	0	0	0	0	
((✿◕‿◕))	20	-39.57136611938476	20	-42.25488052368164	20	-42.165696144104004	20	-41.96597957611084	20	-42.29298076629639	20	-41.45398635864258	0.6886171497903307	0.047048126768223786	0.05143688032273741	0.06280734336296107	0.04528930033901846	0.10480119941672866	HP	0.6886171497903307	5	False	0		0	0	0	0	0	0	
(-_-;)	20	-15.720919609069824	20	-17.288905906677247	20	-18.183689975738524	20	-17.38153133392334	20	-17.361174488067626	20	-16.26533622741699	0.4429096936398966	0.09233096799684684	0.037735282448676195	0.08416289713944608	0.0858937458012581	0.2569674129738761	HP	0.4429096936398966	6	False	0		0	0	0	0	0	0	
(-‸–)	20	-52.828264236450195	20	-54.76711578369141	20	-54.424950981140135	20	-54.03262004852295	20	-54.62939052581787	20	-53.91908130645752	0.4656847446175994	0.06699763660721615	0.0943321577422247	0.13965192537158141	0.07689052078381527	0.15644301487756307	HP	0.4656847446175994	5	False	1	LN	0	0	0	0	1	0	False
(..)	20	-14.71414680480957	20	-14.526067876815796	20	-14.804594135284423	20	-14.75904688835144	20	-14.317628574371337	20	-14.653291416168212	0.15092223331094104	0.1821523857260668	0.1378708479454199	0.14429569179208493	0.2243669594776904	0.16039188174779695	LN	0.2243669594776904	4	False	0		0	0	0	0	0	0	
(._.)	20	-17.461278438568115	20	-18.70026731491089	20	-19.094518661499023	20	-19.29297227859497	20	-18.66823868751526	20	-17.760374450683592	0.37234128085702434	0.10785869372687455	0.07271666823191886	0.05962750824530462	0.11136917753621292	0.2760866714026647	HP	0.37234128085702434	5	False	1	LN	0	0	0	0	1	0	False
(/≧▽≦)	20	-38.07409439086914	20	-39.0230525970459	20	-39.48623428344727	20	-39.37665939331055	20	-39.28888168334961	20	-38.26424789428711	0.3304469323262805	0.12793059270691964	0.08050394472132923	0.08982659378903922	0.0980677715480305	0.27322416490840096	HP	0.3304469323262805	4	False	1	LP	0	1	0	0	0	0	False
(/▽＼)	20	-44.43424034118652	20	-46.464630889892575	20	-46.35974006652832	20	-46.858663177490236	20	-46.578250885009766	20	-45.39842414855957	0.5364534823867089	0.0704278867893049	0.07821646124554392	0.047491797707998884	0.06286372628838126	0.20454664558206218	HP	0.5364534823867089	5	False	0		0	0	0	0	0	0	
(;'ω';)	20	-29.914616584777832	20	-31.674499702453613	20	-31.36339387893677	20	-31.702559375762938	20	-31.43690252304077	20	-30.92093915939331	0.4633921214133415	0.07973355332364572	0.10883101041389046	0.07752735324387222	0.10111795148069196	0.16939801012455832	HP	0.4633921214133415	7	False	1	HN-S	0	0	0	1	0	0	False
(;;)	20	-12.49482855796814	20	-12.419967365264892	20	-13.170769834518433	20	-13.181877851486206	20	-12.695693731307983	20	-13.170906448364258	0.22644410614306004	0.2440466352679297	0.11518699668865191	0.1139145776843264	0.18523642259114834	0.11517126162488349	LP	0.2440466352679297	4	False	6	LN	0	0	0	0	6	0	False
(;;_;;)	20	-21.60411605834961	20	-23.27818374633789	20	-23.725686454772948	20	-23.653113746643065	20	-23.081885528564452	20	-23.19285831451416	0.5351833730388088	0.10033772576636066	0.06413813039914634	0.06896587059842271	0.12209994996117937	0.10927495023608202	HP	0.5351833730388088	7	False	2	HN-S	0	0	0	2	0	0	False
(;_;)	20	-13.033817434310913	20	-14.221382188796998	20	-14.575651359558105	20	-14.742143678665162	20	-13.963925886154176	20	-13.51746916770935	0.3688459576759671	0.11248437729601765	0.07892872047930576	0.06682336893047144	0.14551375906544575	0.22740381655279235	HP	0.3688459576759671	5	False	3	LN	0	0	0	1	2	0	False
(;`ﾉωﾉ´)	20	-40.34495124816895	20	-42.899774169921876	20	-43.496860122680665	20	-43.435129928588864	20	-43.19119129180908	20	-41.502936935424806	0.6501313472700211	0.050519100548089516	0.027806381388037038	0.029576961624397352	0.03774807086814761	0.20421813830130728	HP	0.6501313472700211	9	False	1	LP	0	1	0	0	0	0	False
(;´д`)	20	-11.87954592704773	20	-13.242009353637695	20	-13.990981769561767	20	-13.929309701919555	20	-13.458234310150146	20	-12.355960321426391	0.4286124264916609	0.10973733528317232	0.05188954025351415	0.05519041522409398	0.08839935672327506	0.2661709260242836	HP	0.4286124264916609	7	False	38	LN	0	0	5	6	27	0	False
(;´༎ຶд༎ຶ`)	20	-81.02184410095215	20	-83.33451843261719	20	-83.83584480285644	20	-83.65869750976563	20	-83.81275863647461	20	-81.33286170959472	0.4939215618147792	0.048896332377567714	0.02961781448260182	0.03535795187539026	0.030309530084590263	0.36189680936507074	HP	0.4939215618147792	9	False	12	LN	0	0	0	5	7	0	False
(;´∀`)	20	-15.965245723724365	20	-17.406261682510376	20	-18.421459197998047	20	-18.327279376983643	20	-17.755465507507324	20	-16.744854593276976	0.4896719710627896	0.11589907407659927	0.041993810813480456	0.04614100651399411	0.08173774876389173	0.2245563887692448	HP	0.4896719710627896	7	False	2	LN	0	0	0	0	2	0	False
(;´꒳`)	20	-56.06487274169922	20	-58.07621593475342	20	-58.8886043548584	20	-58.741502380371095	20	-58.418914031982425	20	-56.98582763671875	0.5697646682408398	0.07623953954547284	0.03383486567526829	0.03919674760797867	0.05411882665086238	0.22684535227957808	HP	0.5697646682408398	7	False	1	LN	0	0	0	0	1	0	False
(;ω;)	20	-14.212939548492432	20	-14.907089233398438	20	-15.61520071029663	20	-15.564133834838866	20	-14.923186874389648	20	-14.504927635192871	0.3083783418798043	0.1540346730812463	0.07587340669268439	0.07984866259141078	0.15157492936612965	0.23028998638872458	HP	0.3083783418798043	5	False	47	LN	2	0	0	8	37	0	False
(;д;)	20	-10.712171745300292	20	-11.124208736419678	20	-11.913650274276733	20	-11.517406988143922	20	-11.26409845352173	20	-11.218502378463745	0.27866221377414985	0.18455792187065315	0.08380744248655074	0.12455720672850139	0.16046464481661532	0.16795057032352953	HP	0.27866221377414985	5	False	1	HN-S	0	0	0	1	0	0	False
(;′⌒`)	20	-63.59564437866211	20	-65.3537826538086	20	-65.45823574066162	20	-65.21751918792725	20	-65.1919563293457	20	-64.74428958892823	0.48902821945314257	0.08429157515434309	0.0759312886249084	0.09659677803987944	0.09909789952674558	0.1550542392009809	HP	0.48902821945314257	6	False	25	HN-S	0	0	6	14	5	0	False
(;⁎_⁎)	20	-68.09743003845215	20	-70.15873527526855	20	-69.88659744262695	20	-69.4073371887207	20	-69.57359657287597	20	-69.6104606628418	0.49677454975179947	0.06323330019021588	0.08301064866819266	0.13405218315589434	0.11351894809149482	0.10941037014240286	HP	0.49677454975179947	6	False	1	HN-S	0	0	0	1	0	0	False
(;╹⌓╹)	20	-42.30923023223877	20	-43.292446517944335	20	-43.6232328414917	20	-43.29254417419433	20	-43.0625503540039	20	-43.72929744720459	0.3663787191861052	0.13706445156536068	0.09846143424834689	0.13705106701856565	0.17249140834306245	0.08855291963855917	HP	0.3663787191861052	4	True	1	LN	0	0	0	0	1	0	False
(;へ:)	20	-26.720019149780274	20	-27.602562046051027	20	-28.4443639755249	20	-28.542797088623047	20	-27.519496822357176	20	-27.710538959503175	0.3884184617356525	0.16070017661957667	0.06925105934373772	0.0627592093149595	0.1746188494532158	0.14425224353285787	HP	0.3884184617356525	5	False	1	HP	1	0	0	0	0	0	True
(;・`O・´)	20	-37.32293548583984	20	-38.376430130004884	20	-38.92811546325684	20	-38.79363098144531	20	-38.76087989807129	20	-38.397908210754395	0.4240777151495213	0.14788309821455115	0.08517745204631873	0.09743848280438679	0.1006825317698479	0.14474072001537402	HP	0.4240777151495213	9	False	1	HN-S	0	0	0	1	0	0	False
(;・∀・)	20	-16.765003776550294	20	-17.62046585083008	20	-18.81553406715393	20	-18.664486789703368	20	-17.94531645774841	20	-17.129885292053224	0.3697047752974833	0.1571565917978565	0.04756867669206357	0.05532482757721628	0.11356690122121497	0.25667822741416546	HP	0.3697047752974833	6	False	0		0	0	0	0	0	0	
(;一_一)	20	-24.90648956298828	20	-28.034227657318116	20	-27.681691646575928	20	-28.35395097732544	20	-27.406120777130127	20	-26.931364727020263	0.7395872047017233	0.03240634071521979	0.046103557465788036	0.023538344793635452	0.060731407435082485	0.09763314488855097	HP	0.7395872047017233	6	False	2	HN-S	0	0	0	1	1	0	False
(;︵;)	20	-19.094730377197266	20	-19.796450710296632	20	-20.059612560272218	20	-20.13861265182495	20	-19.62000789642334	20	-20.280693912506102	0.3199295733106529	0.15859924599638447	0.1219021538220353	0.11264244669468261	0.1892035404047885	0.09772303977145608	HP	0.3199295733106529	5	True	1	HN-D	0	0	1	0	0	0	False
