first_word	n_prompts_HP	mean_log_prob_HP	n_prompts_LP	mean_log_prob_LP	n_prompts_HN-D	mean_log_prob_HN-D	n_prompts_HN-S	mean_log_prob_HN-S	n_prompts_LN	mean_log_prob_LN	n_prompts_NB	mean_log_prob_NB	softmax_HP	softmax_LP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP	total_emit_LP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	argmax_matches_empirical
(	5	-6.968260097503662	5	-6.625410461425782	5	-7.411852073669434	5	-7.279481029510498	5	-6.537137413024903	5	-6.164612293243408	0.13234700317439027	0.1864712219555375	0.08493067275642231	0.09695106369621997	0.20367996637260705	0.2956200720448229	NB	0.2956200720448229	1	False	30	LP	5	18	0	0	2	5	False
(((;°д°)))	5	-17.903239059448243	5	-19.90911808013916	5	-19.447894668579103	5	-18.142952537536623	5	-19.471989822387695	5	-18.92970504760742	0.37018435870232447	0.04980533603644481	0.07899191766354359	0.2912807766560715	0.07711134261425197	0.13262626832736388	HP	0.37018435870232447	10	True	2	HN-S	0	0	0	2	0	0	False
(((o(*°▽°*)o)))	5	-76.77984313964843	5	-78.44276275634766	5	-78.77874145507812	5	-79.41686248779297	5	-79.32936553955078	5	-76.88837432861328	0.42160057229666864	0.07992899978853454	0.05712032679617207	0.03017576161267103	0.032935001076024255	0.3782393384299294	HP	0.42160057229666864	14	True	1	HP	1	0	0	0	0	0	True
((⊂(`ω´∩)	5	-82.88395233154297	5	-85.55487823486328	5	-83.8414794921875	5	-84.7277618408203	5	-84.05384368896485	5	-84.68202056884766	0.47909659350156447	0.03314779936747507	0.18389686295125046	0.07579957792667034	0.1487118998623858	0.07934726639065384	HP	0.47909659350156447	10	False	0		0	0	0	0	0	0	
((✿◕‿◕))	5	-42.54223098754883	5	-44.06525497436523	5	-43.36102142333984	5	-43.79339752197266	5	-43.9518325805664	5	-42.54761734008789	0.31406485916906973	0.0684823149227685	0.13849151866138043	0.08987618383917145	0.07670738050965609	0.3123777428979538	HP	0.31406485916906973	5	False	0		0	0	0	0	0	0	
(-_-;)	5	-15.644571304321289	5	-16.863944244384765	5	-13.70511474609375	5	-15.576234436035156	5	-13.906366157531739	5	-15.558648872375489	0.06211967187468292	0.018351104732284802	0.43204047430389764	0.06651314414407825	0.35328244445418416	0.06769316049087216	HN-D	0.43204047430389764	6	False	0		0	0	0	0	0	0	
(-‸–)	5	-54.46602020263672	5	-54.035639953613284	5	-52.49203262329102	5	-54.377526092529294	5	-52.51170959472656	5	-54.356468963623044	0.05261904636093414	0.08091978872159268	0.3788217325128693	0.05748777189122144	0.37144052615147455	0.05871113436190791	HN-D	0.3788217325128693	5	False	1	LN	0	0	0	0	1	0	False
(..)	5	-17.725948333740234	5	-17.26557273864746	5	-18.379007720947264	5	-17.35150890350342	5	-16.67265853881836	5	-16.086754608154298	0.07950782396073479	0.12599358922760506	0.04137993262902434	0.11561837092577056	0.2279543127820246	0.4095459704748407	NB	0.4095459704748407	4	False	0		0	0	0	0	0	0	
(._.)	5	-17.76539192199707	5	-17.915179443359374	5	-17.68565254211426	5	-18.05552558898926	5	-16.68646240234375	5	-17.11115608215332	0.11685983337704095	0.10060356454884282	0.1265597579105383	0.0874302685072367	0.3437465906919747	0.2247999849643665	LN	0.3437465906919747	5	False	1	LN	0	0	0	0	1	0	True
(/≧▽≦)	5	-41.175682830810544	5	-39.41360855102539	5	-39.722782897949216	5	-40.61634750366211	5	-39.69086456298828	5	-37.79146118164063	0.02138639420200514	0.12456519265804554	0.09143742584045032	0.037415694746650366	0.09440303307811541	0.6307922594747333	NB	0.6307922594747333	4	False	1	LP	0	1	0	0	0	0	False
(/▽＼)	5	-45.689965057373044	5	-46.24676361083984	5	-45.60708999633789	5	-46.35503005981445	5	-45.54641418457031	5	-44.81749038696289	0.1487900974927623	0.0852627800561473	0.16164646442023625	0.07651383457771632	0.171758160513312	0.35602866293982577	NB	0.35602866293982577	5	False	0		0	0	0	0	0	0	
(;'ω';)	5	-28.02894706726074	5	-30.06179008483887	5	-30.033416748046875	5	-29.695789337158203	5	-28.918750381469728	5	-29.737310791015624	0.4886545791138378	0.06399550458997362	0.06583727563233786	0.09227872234482433	0.20070828660801243	0.08852563171101381	HP	0.4886545791138378	7	False	1	HN-S	0	0	0	1	0	0	False
(;;)	5	-12.549799346923828	5	-13.152802276611329	5	-13.96931324005127	5	-12.94627857208252	5	-11.890116119384766	5	-12.599813842773438	0.18701806475521987	0.10232993864005915	0.045226867412681705	0.12580410690023222	0.3617265149341776	0.17789450735762952	LN	0.3617265149341776	4	False	6	LN	0	0	0	0	6	0	True
(;;_;;)	5	-19.620485687255858	5	-21.54555435180664	5	-20.571641540527345	5	-20.446459197998045	5	-19.206348419189453	5	-20.908934783935546	0.26604720795861586	0.03880717305185796	0.10277251087188718	0.11647774862330877	0.4025466676582701	0.07334869183606006	LN	0.4025466676582701	7	False	2	HN-S	0	0	0	2	0	0	False
(;_;)	5	-10.813785552978516	5	-12.23633861541748	5	-11.905250358581544	5	-11.349918365478516	5	-9.602764320373534	5	-11.456546974182128	0.1654375288703897	0.0398866065480884	0.05554140890188105	0.09678198213581195	0.5553590753197912	0.08699339822403766	LN	0.5553590753197912	5	False	3	LN	0	0	0	1	2	0	True
(;`ﾉωﾉ´)	5	-39.6735336303711	5	-41.774147033691406	5	-39.723046112060544	5	-41.079531860351565	5	-41.28567047119141	5	-39.72634048461914	0.28841541896367523	0.03529666432650174	0.2744830158806744	0.07069703525141974	0.05752761117958169	0.27358025439814715	HP	0.28841541896367523	9	False	1	LP	0	1	0	0	0	0	False
(;´д`)	5	-10.971623039245605	5	-11.158504104614257	5	-11.788559341430664	5	-11.304296875	5	-10.341246223449707	5	-10.557651901245118	0.15675305063145417	0.13003330054857432	0.06925084442820886	0.11239256699474516	0.29443211196758295	0.2371381254294345	LN	0.29443211196758295	7	False	38	LN	0	0	5	6	27	0	True
(;´༎ຶд༎ຶ`)	5	-80.67088928222657	5	-81.90783233642578	5	-80.8464340209961	5	-80.46795806884765	5	-79.64594421386718	5	-80.23721008300781	0.13013844409207537	0.03777531262682211	0.10918613644055224	0.15941805871100986	0.3626883431611913	0.20079370496834903	LN	0.3626883431611913	9	False	12	LN	0	0	0	5	7	0	True
(;´∀`)	5	-14.841563034057618	5	-15.036285400390625	5	-16.985515785217284	5	-16.27118797302246	5	-16.2160982131958	5	-14.742076301574707	0.28270840914590223	0.23268686991110912	0.03313079654140477	0.06768002408213819	0.07151311296154221	0.3122807873579035	NB	0.3122807873579035	7	False	2	LN	0	0	0	0	2	0	False
(;´꒳`)	5	-55.04673461914062	5	-55.32955627441406	5	-55.941976165771486	5	-55.92983627319336	5	-54.564448547363284	5	-55.45060653686524	0.20562743813215192	0.15497197953035236	0.08400064118728248	0.08502661495306246	0.3330697909336032	0.13730353526354763	LN	0.3330697909336032	7	False	1	LN	0	0	0	0	1	0	True
