first_word	n_prompts_HP	mean_log_prob_HP	n_prompts_LP	mean_log_prob_LP	n_prompts_HN-D	mean_log_prob_HN-D	n_prompts_HN-S	mean_log_prob_HN-S	n_prompts_LN	mean_log_prob_LN	n_prompts_NB	mean_log_prob_NB	softmax_HP	softmax_LP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP	total_emit_LP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	argmax_matches_empirical
(	20	-6.914968180656433	20	-6.826168489456177	20	-6.683414030075073	20	-6.877754759788513	20	-6.471960830688476	20	-6.653728294372558	0.1379832448708331	0.15079660695264832	0.1739358258773105	0.14321481196315852	0.21489286761442933	0.17917664272162026	LN	0.21489286761442933	1	False	30	LP	5	18	0	0	2	5	False
(((;°д°)))	20	-18.576893520355224	20	-20.55826106071472	20	-18.034166431427003	20	-18.02698278427124	20	-18.80887141227722	20	-20.15888395309448	0.17888444467425196	0.02466468581559617	0.3078052032248452	0.31002432836038957	0.14184886289537735	0.03677247502953973	HN-S	0.31002432836038957	10	True	2	HN-S	0	0	0	2	0	0	True
(((o(*°▽°*)o)))	20	-76.43632926940919	20	-78.84237174987793	20	-77.30605926513672	20	-78.80876884460449	20	-78.09034461975098	20	-78.19410247802735	0.5085958329405664	0.0458608209866508	0.2131345516225897	0.04742806227146024	0.09728436711385136	0.08769636506488142	HP	0.5085958329405664	14	True	1	HP	1	0	0	0	0	0	True
((⊂(`ω´∩)	20	-84.24988479614258	20	-86.27629318237305	20	-83.33577499389648	20	-83.98543701171874	20	-83.7510196685791	20	-85.22909164428711	0.1438531568004462	0.018961007784611045	0.35884941263895354	0.18739914723094406	0.23690475018644763	0.05403252535859755	HN-D	0.35884941263895354	10	False	0		0	0	0	0	0	0	
((✿◕‿◕))	20	-43.18315830230713	20	-44.27211570739746	20	-42.29813804626465	20	-43.5653356552124	20	-43.38626937866211	20	-43.235589790344235	0.16110630757901556	0.05422310111733776	0.39036597582352955	0.10993475898491854	0.13149296686250045	0.15287688963269805	HN-D	0.39036597582352955	5	False	0		0	0	0	0	0	0	
(-_-;)	20	-16.394154453277586	20	-17.072663688659667	20	-13.19116382598877	20	-14.845287752151489	20	-14.17593035697937	20	-16.69181799888611	0.024538035081395744	0.012449931621692945	0.6037830793822977	0.11547927390741462	0.22552893427277534	0.018220745734423557	HN-D	0.6037830793822977	6	False	0		0	0	0	0	0	0	
(-‸–)	20	-55.32797470092773	20	-54.47631340026855	20	-51.73927555084229	20	-53.38716564178467	20	-53.0139123916626	20	-55.208617782592775	0.017319887061701095	0.04058979511171142	0.6267542590772173	0.12062233203489166	0.1751981627203231	0.019515563994155542	HN-D	0.6267542590772173	5	False	1	LN	0	0	0	0	1	0	False
(..)	20	-18.066793155670165	20	-17.743073081970216	20	-17.462932872772218	20	-17.489220142364502	20	-16.605888080596923	20	-16.646444082260132	0.06924460180381746	0.09571406558200124	0.1266598912684187	0.12337372989664001	0.29843443629686617	0.2865732751522564	LN	0.29843443629686617	4	False	0		0	0	0	0	0	0	
(._.)	20	-18.145754623413087	20	-18.175954341888428	20	-17.156248092651367	20	-17.774332427978514	20	-16.876488780975343	20	-17.95318021774292	0.09190703809245312	0.08917296335165116	0.2472213629226561	0.13324636806311038	0.32702723441946635	0.11142503315066282	LN	0.32702723441946635	5	False	1	LN	0	0	0	0	1	0	True
(/≧▽≦)	20	-41.25991687774658	20	-39.88732757568359	20	-39.339240646362306	20	-40.05483837127686	20	-39.4984733581543	20	-39.27282848358154	0.035431785629881044	0.1397980132718454	0.2418422242929233	0.11823661432747494	0.20624253611175314	0.2584488263661221	NB	0.2584488263661221	4	False	1	LP	0	1	0	0	0	0	False
(/▽＼)	20	-46.101979637145995	20	-46.682884216308594	20	-44.99086780548096	20	-45.718685150146484	20	-45.30018768310547	20	-46.30787677764893	0.1097973798158649	0.0614197894140252	0.3335352300848416	0.16108483514060995	0.2447968344993197	0.08936593104533878	HN-D	0.3335352300848416	5	False	0		0	0	0	0	0	0	
(;'ω';)	20	-28.64141845703125	20	-30.825120830535887	20	-28.955912113189697	20	-29.520576763153077	20	-28.69920644760132	20	-30.79236946105957	0.30137385023231067	0.03394186295358428	0.22005067599580416	0.12510998310636157	0.2844517179848023	0.03507190972713708	HP	0.30137385023231067	7	False	1	HN-S	0	0	0	1	0	0	False
(;;)	20	-13.138617372512817	20	-13.692739391326905	20	-13.06151795387268	20	-12.56468415260315	20	-11.966209173202515	20	-13.564788389205933	0.12029745891002061	0.0691200937617017	0.1299392350458381	0.2135563473208055	0.38853206396300466	0.07855480099862955	LN	0.38853206396300466	4	False	6	LN	0	0	0	0	6	0	True
(;;_;;)	20	-20.425810718536376	20	-22.205442428588867	20	-19.857614707946777	20	-20.003903675079346	20	-19.36770839691162	20	-22.067706680297853	0.13274644499011062	0.022394360638958038	0.23430809405762462	0.20242064303353907	0.3824290713348104	0.025701385944957356	LN	0.3824290713348104	7	False	2	HN-S	0	0	0	2	0	0	False
(;_;)	20	-11.349895524978638	20	-12.746587705612182	20	-11.27685980796814	20	-10.95611801147461	20	-9.876922178268433	20	-12.363038969039916	0.11721933681477933	0.029001706491428796	0.1261009239961414	0.17378594954942048	0.511332569847728	0.04255951330050197	LN	0.511332569847728	5	False	3	LN	0	0	0	1	2	0	True
(;`ﾉωﾉ´)	20	-39.89721412658692	20	-42.108616256713866	20	-39.617512702941895	20	-41.22818775177002	20	-40.820001220703126	20	-41.050808143615725	0.29330567911114036	0.03213074013424658	0.38796563350025026	0.07749719277299494	0.11656257397619071	0.09253818050517705	HN-D	0.38796563350025026	9	False	1	LP	0	1	0	0	0	0	False
(;´д`)	20	-11.513515377044678	20	-11.581344699859619	20	-11.013935899734497	20	-10.973590898513795	20	-10.179015254974365	20	-11.613938236236573	0.09999123002207669	0.093433799571075	0.16478835600557473	0.17157267896611839	0.3797763794742749	0.09043755596088025	LN	0.3797763794742749	7	False	38	LN	0	0	5	6	27	0	True
(;´༎ຶд༎ຶ`)	20	-81.85953330993652	20	-82.05877113342285	20	-80.08176116943359	20	-79.87319717407226	20	-79.9345085144043	20	-81.87690353393555	0.04373899598326824	0.03583776541669059	0.2587887783287137	0.3188039052387453	0.29984475468057326	0.042985800352008954	HN-S	0.3188039052387453	9	False	12	LN	0	0	0	5	7	0	False
(;´∀`)	20	-15.325320959091187	20	-15.399220752716065	20	-16.233564329147338	20	-16.32477788925171	20	-15.516699361801148	20	-15.637296056747436	0.23485779267690465	0.21812764082217959	0.09470216137993048	0.0864462871507526	0.19395027091604874	0.171915847054184	HP	0.23485779267690465	7	False	2	LN	0	0	0	0	2	0	False
(;´꒳`)	20	-55.762077522277835	20	-56.167090034484865	20	-55.25035762786865	20	-55.515359497070314	20	-54.676453590393066	20	-56.50121936798096	0.12416568655325859	0.0828145974354746	0.20712795657554744	0.15890950365691478	0.36769021900383064	0.05929203677497377	LN	0.36769021900383064	7	False	1	LN	0	0	0	0	1	0	True
(;ω;)	20	-13.444602060317994	20	-14.44333519935608	20	-13.349749517440795	20	-12.959844017028809	20	-12.068029356002807	20	-13.913954305648804	0.1152294950778062	0.042444299235620146	0.12669445125729734	0.18710758877299768	0.4564588043008231	0.07206536135545552	LN	0.4564588043008231	5	False	47	LN	2	0	0	8	37	0	True
(;д;)	20	-11.528747844696046	20	-12.333973026275634	20	-10.49034080505371	20	-10.381769752502441	20	-9.966882991790772	20	-11.72854790687561	0.07688189736785336	0.03436522879629969	0.21716935427405532	0.24207522770945225	0.36655013166326234	0.062958160189077	LN	0.36655013166326234	5	False	1	HN-S	0	0	0	1	0	0	False
(;′⌒`)	20	-64.2001543045044	20	-65.80082511901855	20	-62.88501968383789	20	-64.31309852600097	20	-63.44029083251953	20	-65.79158821105958	0.12252151573931186	0.02472007925607405	0.45642357637490094	0.1094362766824766	0.26194907777547877	0.024949474171757788	HN-D	0.45642357637490094	6	False	25	HN-S	0	0	6	14	5	0	False
(;⁎_⁎)	20	-70.40774726867676	20	-70.55363311767579	20	-66.79136219024659	20	-67.28606834411622	20	-67.11538543701172	20	-69.63988990783692	0.011011638197153771	0.009516878271931293	0.40966420414610094	0.2497927704639641	0.2962828472451908	0.02373166167565895	HN-D	0.40966420414610094	6	False	1	HN-S	0	0	0	1	0	0	False
(;╹⌓╹)	20	-44.566185569763185	20	-44.585611534118655	20	-42.89483222961426	20	-43.34286613464356	20	-42.92242774963379	20	-44.22954139709473	0.057892508255865054	0.056778743456406267	0.3079511988925364	0.19674479267464048	0.29956930863163067	0.08106344808892113	HN-D	0.3079511988925364	4	True	1	LN	0	0	0	0	1	0	False
(;へ:)	20	-24.3276216506958	20	-25.237936115264894	20	-24.27523889541626	20	-24.6526668548584	20	-23.060912799835204	20	-26.115893745422362	0.14503110100668362	0.058360176299904774	0.15283072928541105	0.10478420081704316	0.5147374989718603	0.024256293619097227	LN	0.5147374989718603	5	False	1	HP	1	0	0	0	0	0	False
(;・`O・´)	20	-37.68965187072754	20	-37.65496711730957	20	-38.273505973815915	20	-38.19064083099365	20	-38.36189708709717	20	-38.61550998687744	0.24356256321573955	0.2521586860969196	0.13584570770834112	0.14758213708438633	0.12435353855719487	0.09649736733741848	LP	0.2521586860969196	9	False	1	HN-S	0	0	0	1	0	0	False
(;・∀・)	20	-16.542922019958496	20	-16.758415126800536	20	-17.47094330787659	20	-17.620489645004273	20	-17.11690034866333	20	-16.841602993011474	0.2599443221159035	0.20955251066751188	0.10276513835609985	0.08849091021724242	0.14642145387753144	0.19282566476571086	HP	0.2599443221159035	6	False	0		0	0	0	0	0	0	
(;一_一)	20	-21.91664562225342	20	-23.22095708847046	20	-20.695537662506105	20	-21.91227674484253	20	-20.959154033660887	20	-23.98863306045532	0.11907924387320358	0.03231326154686445	0.403790890478948	0.11960062458677498	0.31021970584500075	0.01499627366920819	HN-D	0.403790890478948	6	False	2	HN-S	0	0	0	1	1	0	False
(;︵;)	20	-19.253245258331297	20	-20.097773265838622	20	-18.379851245880126	20	-17.819379329681396	20	-17.86151933670044	20	-19.454379749298095	0.07776497987438302	0.03342028971995324	0.18624913484981429	0.32621514847920585	0.3127540570130204	0.06359639006362325	HN-S	0.32621514847920585	5	True	1	HN-D	0	0	1	0	0	0	False
(;﹏;)	20	-11.349895524978638	20	-12.746587705612182	20	-11.27685980796814	20	-10.95611801147461	20	-9.876922178268433	20	-12.363038969039916	0.11721933681477933	0.029001706491428796	0.1261009239961414	0.17378594954942048	0.511332569847728	0.04255951330050197	LN	0.511332569847728	5	False	1	HN-S	0	0	0	1	0	0	False
