size	encoders	weighted_correct	weighted_acc	weighted_kappa	majority_correct	majority_resolved	majority_acc_resolved	majority_kappa_resolved	abstain_rate
5	gemma,gpt_oss_20b,granite,qwen,rinna_jp_3_6b	93	0.5602409638554217	0.4663084647229808	47	75	0.6266666666666667	0.5493562231759657	0.5481927710843373
6	gemma,gpt_oss_20b,granite,qwen,rinna_jp_3_6b,rinna_jp_3_6b_jp	93	0.5602409638554217	0.4665903688704991	20	25	0.8	0.7484909456740443	0.8493975903614458
5	gemma,gpt_oss_20b,ministral,rinna_jp_3_6b,rinna_jp_3_6b_jpfull	93	0.5602409638554217	0.46892803926724513	36	63	0.5714285714285714	0.4686035613870665	0.6204819277108433
6	gemma,gpt_oss_20b,ministral,qwen,rinna_jp_3_6b,rinna_jp_3_6b_jpfull	93	0.5602409638554217	0.4693466456472237	20	28	0.7142857142857143	0.6521739130434783	0.8313253012048193
6	gemma,gpt_oss_20b,granite,qwen,rinna_bilingual_4b,rinna_jp_3_6b	92	0.5542168674698795	0.4589976217739805	19	28	0.6785714285714286	0.5961538461538463	0.8313253012048193
5	gemma,gpt_oss_20b,granite,rinna_bilingual_4b,rinna_jp_3_6b_jpfull	92	0.5542168674698795	0.4584251829644652	46	76	0.6052631578947368	0.5172559813677747	0.5421686746987953
6	gemma,gpt_oss_20b,granite,rinna_bilingual_4b,rinna_jp_3_6b,rinna_jp_3_6b_jpfull	92	0.5542168674698795	0.45909291061206514	20	28	0.7142857142857143	0.6521739130434783	0.8313253012048193
6	gemma,gpt_oss_20b,ministral,rinna_bilingual_4b,rinna_jp_3_6b,rinna_jp_3_6b_jpfull	92	0.5542168674698795	0.4616294867861682	18	28	0.6428571428571429	0.5618153364632237	0.8313253012048193
7	gemma,haiku,ministral,qwen,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b_jpfull,rinna_jp_3_6b_jpfull30	91	0.5481927710843374	0.4531078409839665	37	61	0.6065573770491803	0.5128119800332778	0.6325301204819277
8	gemma,gpt_oss_20b,haiku,ministral,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b,rinna_jp_3_6b_jpfull,rinna_jp_3_6b_jpfull30	91	0.5481927710843374	0.45334796926454435	21	29	0.7241379310344828	0.6447166921898928	0.8253012048192772
6	gemma,gpt_oss_20b,granite,qwen,rinna_jp_3_6b,rinna_jp_3_6b_jpfull	91	0.5481927710843374	0.45183163085593525	24	31	0.7741935483870968	0.7192755498059509	0.8132530120481928
7	gemma,gpt_oss_20b,haiku,ministral,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b,rinna_jp_3_6b_jpfull	91	0.5481927710843374	0.4533719704952581	42	59	0.711864406779661	0.6499127399650959	0.6445783132530121
6	gemma,gpt_oss_20b,haiku,ministral,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b_jpfull	91	0.5481927710843374	0.4530838165524511	30	41	0.7317073170731707	0.6656782802075611	0.7530120481927711
7	gemma,gpt_oss_20b,haiku,ministral,qwen,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b_jpfull	91	0.5481927710843374	0.4530597900101042	39	60	0.65	0.5629552549427679	0.6385542168674698
7	gemma,gpt_oss_20b,haiku,ministral,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b_jpfull,rinna_jp_3_6b_jpfull30	91	0.5481927710843374	0.45315588351561464	39	62	0.6290322580645161	0.5350505379850017	0.6265060240963856
4	gemma,ministral,qwen,rinna_jp_3_6b	91	0.5481927710843374	0.45332396592605606	19	28	0.6785714285714286	0.6134969325153374	0.8313253012048193
8	gemma,gpt_oss_20b,haiku,ministral,qwen,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b_jpfull,rinna_jp_3_6b_jpfull30	91	0.5481927710843374	0.4530838165524512	32	43	0.7441860465116279	0.6764705882352942	0.7409638554216867
6	gemma,gpt_oss_20b,granite,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b,rinna_jp_3_6b_jpfull	91	0.5481927710843374	0.45262695097823713	23	29	0.7931034482758621	0.7448680351906158	0.8253012048192772
8	gemma,gpt_oss_20b,haiku,ministral,qwen,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b,rinna_jp_3_6b_jpfull	91	0.5481927710843374	0.45334796926454457	22	30	0.7333333333333333	0.6707818930041152	0.8192771084337349
4	gemma,gpt_oss_20b,granite,qwen	91	0.5481927710843374	0.4512517630465446	38	57	0.6666666666666666	0.5917828872973991	0.6566265060240963
7	gemma,gpt_oss_20b,granite,haiku,ministral,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b_jpfull30	90	0.5421686746987951	0.44422907488986785	41	65	0.6307692307692307	0.5473012188044108	0.608433734939759
5	gemma,gpt_oss_20b,granite,qwen,rinna_bilingual_4b	90	0.5421686746987951	0.4443514644351465	51	81	0.6296296296296297	0.5446026986506747	0.5120481927710843
