size	encoders	mean_jsd	similarity	mean_jsd_weighted	similarity_weighted	accuracy	n_correct	kappa
3	gemma,gemma_intro_v7_primed,opus	0.14315773587988428	0.7934670443811989	0.1303225018436939	0.81198437287386	0.65	26	0.5631825273010921
2	gemma_intro_v7_primed,opus	0.14408279055939965	0.792132472582511	0.1249469619336891	0.8197396376441246	0.725	29	0.6507936507936508
1	gemma_intro_v7_primed	0.145235903277999	0.7904688825818017	0.14016569506575977	0.7977836468258738	0.7	28	0.6235294117647059
2	gemma,gemma_intro_v7_primed	0.15053097455748715	0.7828297095057306	0.1516565421420726	0.7812058587332638	0.7	28	0.6252927400468384
3	gemma,gemma_intro_v7_primed,haiku	0.15066860885299363	0.7826311451901471	0.1386980821263445	0.7999009647355126	0.65	26	0.5631825273010921
4	gemma,gemma_intro_v7_primed,haiku,opus	0.15127487286804406	0.7817564911021644	0.13406984323621013	0.8065781020303588	0.75	30	0.6835443037974684
2	gemma,opus	0.15376051429177404	0.778170468546721	0.13689995032921826	0.8024951205620914	0.7	28	0.6229379418695994
2	gemma_intro_v7_primed,haiku	0.1567195556571534	0.773901474243103	0.14021507605358477	0.7977124051196244	0.75	30	0.6794871794871795
3	gemma_intro_v7_primed,haiku,opus	0.15882959345003098	0.7708573331832301	0.1375789710807829	0.8015155006911484	0.775	31	0.7115384615384616
4	bol,gemma,gemma_intro_v7_primed,opus	0.16042592254632554	0.7685543171123792	0.156526680760968	0.7741797338993415	0.725	29	0.6529968454258674
4	gemma,gemma_intro_v7_primed,granite,opus	0.16167249517306698	0.7667558929656714	0.14332372707128818	0.7932275697125293	0.725	29	0.6529968454258674
4	gemma,gemma_intro_v7_primed,gpt_oss_20b,opus	0.16221049083996777	0.7659797292850139	0.13956358498252186	0.7986523080570302	0.65	26	0.5631825273010921
5	gemma,gemma_intro_v7_primed,granite,haiku,opus	0.16328176424658197	0.7644342084538553	0.1421703451349435	0.7948915481123446	0.775	31	0.7142857142857143
5	bol,gemma,gemma_intro_v7_primed,haiku,opus	0.16402952384089106	0.7633554193953684	0.1549168745179372	0.7765021933829541	0.75	30	0.6797437950360288
4	gemma,gemma_intro_v7_primed,granite,haiku	0.16454540145854593	0.7626111653146721	0.14767592706341548	0.7869486723669302	0.725	29	0.6535433070866142
3	gemma,haiku,opus	0.16472475694058647	0.7623524100501761	0.1441430932829833	0.7920454741422447	0.8	32	0.744
3	gemma,gemma_intro_v7_primed,gpt_oss_20b	0.1650785287635868	0.7618420251955272	0.14601488005883945	0.7893450566431155	0.65	26	0.5652173913043479
4	bol,gemma,gemma_intro_v7_primed,haiku	0.16595291828982714	0.7605805477622151	0.1628993718482726	0.7649858840705699	0.725	29	0.6491228070175439
2	gemma,haiku	0.16661243254298783	0.7596290698197845	0.1524691615900329	0.7800334966855615	0.725	29	0.6532702915681639
