encoder	is_pilot	k	k_effective	n_eval	similarity	mean_jsd	accuracy	kappa	max_k_in_data
gemma	False	1	1	65	0.7309912672286717	0.18646264466645	0.6307692307692307	0.5423877970079203	20
gemma	False	2	2	65	0.7568302672500983	0.16855241465310974	0.6461538461538462	0.5608108108108107	20
gemma	False	3	3	65	0.7669777307451496	0.16151872894167996	0.6615384615384615	0.5786682380671775	20
gemma	False	5	5	65	0.7720537473006069	0.15800030237778911	0.676923076923077	0.6036585365853658	20
gemma	False	all	20	65	0.7504314668421247	0.1729877251148625	0.7230769230769231	0.6593886462882096	20
gemma_v7primed	False	1	1	65	0.7341452542482771	0.18427646745628778	0.676923076923077	0.6033129904097646	20
gemma_v7primed	False	2	2	65	0.7504303255008093	0.1729885162323773	0.6615384615384615	0.5858673617144512	20
gemma_v7primed	False	3	3	65	0.7546429757236341	0.17006852960774105	0.6615384615384615	0.5867052023121387	20
gemma_v7primed	False	5	5	65	0.7457877832507624	0.17620648130362776	0.676923076923077	0.6061742642815926	20
gemma_v7primed	False	all	20	65	0.7281973870361107	0.18839921484474595	0.6461538461538462	0.565785652047633	20
gpt_oss_20b	False	1	1	65	0.603937586505337	0.2745295452395929	0.4153846153846154	0.2934782608695652	20
gpt_oss_20b	False	2	2	65	0.5997434013114248	0.2774367328814994	0.4461538461538462	0.3277793737431771	20
gpt_oss_20b	False	3	3	65	0.6000721134054552	0.2772088870203063	0.47692307692307695	0.3671248568155786	20
gpt_oss_20b	False	5	5	65	0.6003762589381677	0.2769980694018267	0.49230769230769234	0.3832662449683727	20
gpt_oss_20b	False	all	20	65	0.6045111558334346	0.2741319772769663	0.5076923076923077	0.4041821827556574	20
granite	False	1	1	65	0.5597271537935692	0.30517388202508994	0.35384615384615387	0.19705882352941184	20
granite	False	2	2	65	0.5686370788617555	0.2989979925850762	0.38461538461538464	0.24506387921022077	20
granite	False	3	3	65	0.5710312951003954	0.2973384483496121	0.38461538461538464	0.24396626926432108	20
granite	False	5	5	65	0.5714729759307027	0.2970322985273772	0.4	0.26479118329466367	20
granite	False	all	20	65	0.5572819989176744	0.3068687342333488	0.4	0.26797574357493514	20
ministral	False	1	1	65	0.5854331129966321	0.28735586887989784	0.38461538461538464	0.23909862452443664	20
ministral	False	2	2	65	0.5987001776319456	0.27815984043362374	0.4153846153846154	0.28343487090223396	20
ministral	False	3	3	65	0.6009960491042481	0.2765684635956693	0.38461538461538464	0.246376811594203	20
ministral	False	5	5	65	0.6025061478282341	0.27552174292277126	0.4153846153846154	0.2840579710144928	20
ministral	False	all	20	65	0.6011206485194243	0.27648209786234046	0.38461538461538464	0.24308588064046577	20
qwen	False	1	1	65	0.5397103800881016	0.3190484522829412	0.3230769230769231	0.1598119858989423	20
qwen	False	2	2	65	0.5397801797583144	0.31900007083832926	0.38461538461538464	0.23303834808259571	20
qwen	False	3	3	65	0.5404881260174289	0.31850935988483603	0.4	0.2524329106458272	20
qwen	False	5	5	65	0.5395797013105031	0.3191390319091926	0.35384615384615387	0.1935007385524372	20
qwen	False	all	20	65	0.5315755770536357	0.32468706807069175	0.3076923076923077	0.16332951945080088	20
rinna_bilingual_4b	False	1	1	65	0.4312340179096402	0.3942385368843412	0.2153846153846154	0.04768744613616771	20
rinna_bilingual_4b	False	2	2	65	0.4562223798846955	0.3769179242345203	0.2	0.03400971706201783	20
rinna_bilingual_4b	False	3	3	65	0.4616481454688113	0.37315707011751126	0.2	0.03676261043032192	20
rinna_bilingual_4b	False	5	5	65	0.464345803694041	0.3712871959245789	0.2	0.03566333808844513	20
rinna_bilingual_4b	False	all	20	65	0.46671999547474474	0.36964153158567553	0.2	0.0416784802948682	20
rinna_bilingual_4b_jp	False	1	1	65	0.37417486401662436	0.43378892853042117	0.16923076923076924	0.039145907473309705	20
