encoder	is_pilot	k	k_effective	n_eval	similarity	mean_jsd	accuracy	kappa	max_k_in_data
gemma	False	1	1	53	0.7726232567392275	0.15760554851610697	0.6415094339622641	0.565010799136069	20
gemma	False	2	2	53	0.8052006546832366	0.13502461698123774	0.6226415094339622	0.5415224913494809	20
gemma	False	3	3	53	0.8116221705235478	0.130573561381605	0.6981132075471698	0.6319444444444444	20
gemma	False	5	5	53	0.8117728099794346	0.13046914606747598	0.7169811320754716	0.6537456445993033	20
gemma	False	all	20	53	0.7625045933021631	0.1646192715485432	0.7169811320754716	0.6540469973890339	20
gemma_intro_v7_primed	False	1	1	53	0.7758931594058484	0.15533902470203328	0.6226415094339622	0.5383275261324043	20
gemma_intro_v7_primed	False	2	2	53	0.7995197377864198	0.1389623285112616	0.6981132075471698	0.6285589137100307	20
gemma_intro_v7_primed	False	3	3	53	0.8010330253919302	0.13791339747412582	0.6792452830188679	0.6056892778993435	20
gemma_intro_v7_primed	False	5	5	53	0.796430629152558	0.14110353545126636	0.6792452830188679	0.6067219554779573	20
gemma_intro_v7_primed	False	all	20	53	0.7882448351621272	0.14677749547637797	0.6981132075471698	0.627906976744186	20
gpt_oss_20b	False	1	1	53	0.5540205832453025	0.3091293753112874	0.39622641509433965	0.256792287467134	20
gpt_oss_20b	False	2	2	53	0.572213749039823	0.29651883373535587	0.5094339622641509	0.39348591549295775	20
gpt_oss_20b	False	3	3	53	0.580769151081165	0.29058868093184287	0.5094339622641509	0.3977272727272727	20
gpt_oss_20b	False	5	5	53	0.5870197631784912	0.2862560867798073	0.5283018867924528	0.41783831282952555	20
gpt_oss_20b	False	all	20	53	0.5905672507882337	0.283797155745043	0.5849056603773585	0.49171752397558843	20
granite	False	1	1	53	0.5315566670736378	0.32470017547001173	0.37735849056603776	0.23053233611966562	20
granite	False	2	2	53	0.5426242252210192	0.3170287287444711	0.39622641509433965	0.2551602986385596	20
granite	False	3	3	53	0.5395592190182821	0.31915322915229705	0.41509433962264153	0.27557319223985877	20
granite	False	5	5	53	0.532956680756097	0.32372975993326975	0.4528301886792453	0.3267630310994307	20
granite	False	all	20	53	0.5063710266438726	0.3421575311245001	0.4339622641509434	0.3095961788970907	20
ministral	False	1	1	53	0.5488877463426153	0.3126871867386591	0.39622641509433965	0.2702237521514631	20
ministral	False	2	2	53	0.5521386329530642	0.3104338438503063	0.3584905660377358	0.2269412269412271	20
ministral	False	3	3	53	0.5522247402489588	0.3103741588209313	0.37735849056603776	0.2470942746448559	20
ministral	False	5	5	53	0.5492319348076349	0.31244861347454944	0.3584905660377358	0.23481953290870494	20
ministral	False	all	20	53	0.515033152423642	0.33615340306259733	0.2641509433962264	0.13946711074104923	20
qwen	False	1	1	53	0.5271516523158429	0.3277534990297022	0.33962264150943394	0.16965085049239037	20
qwen	False	2	2	53	0.5338318963038013	0.32312310674399636	0.4528301886792453	0.31779849090102086	20
qwen	False	3	3	53	0.5346127966898699	0.3225818278430947	0.4528301886792453	0.3147570218457423	20
qwen	False	5	5	53	0.5349003184673451	0.32238253293368824	0.4528301886792453	0.3079693831607383	20
qwen	False	all	20	53	0.526760793363197	0.3280244218107253	0.3584905660377358	0.20511689457432714	20
rinna_bilingual_4b	False	1	1	46	0.4800509922908196	0.36040118872855964	0.34782608695652173	0.1407222914072228	20
rinna_bilingual_4b	False	2	2	46	0.4887030713883369	0.3544040244961339	0.3695652173913043	0.1810926949048497	20
rinna_bilingual_4b	False	3	3	46	0.4849049702421002	0.3570366675971293	0.2826086956521739	0.07439024390243898	20
rinna_bilingual_4b	False	5	5	46	0.4816164539409784	0.35931609339947734	0.2826086956521739	0.07326007326007333	20
rinna_bilingual_4b	False	all	20	46	0.48897771953340297	0.35421365290873535	0.30434782608695654	0.08798017348203224	20
rinna_bilingual_4b_jp	False	1	1	46	0.4267825796949606	0.3973240387322832	0.2391304347826087	0.0628637951105937	20
rinna_bilingual_4b_jp	False	2	2	46	0.4265493796534867	0.3974856806835373	0.21739130434782608	0.03776873910517131	20
rinna_bilingual_4b_jp	False	3	3	46	0.42953252808633413	0.3954179197581173	0.2608695652173913	0.06682577565632464	20
