project_slug	axis	n	mean	std
Work	warmth	43	-0.013658426702022552	0.060367729514837265
Work	energy	43	0.021746356040239334	0.09204190969467163
Work	confidence	43	-0.013826344162225723	0.03832012414932251
Work	playfulness	43	0.026426825672388077	0.06404725462198257
Work	empathy	43	0.035738300532102585	0.04879956319928169
Work	technicality	43	-0.04211218282580376	0.07886901497840881
Work	positivity	43	0.015607538633048534	0.05441797152161598
Work	curiosity	43	0.060500144958496094	0.07246792316436768
Work	approval	43	0.024026721715927124	0.051955923438072205
Work	apologeticness	43	-0.04246964678168297	0.08067348599433899
Work	decisiveness	43	-0.031671345233917236	0.0721488744020462
Work	wryness	43	-0.017739225178956985	0.058823131024837494
Work	wetness	43	-0.03766946122050285	0.05318716540932655
Work	surprise	43	-0.058508556336164474	0.083795465528965
Work	anger	43	0.0028126188553869724	0.060779716819524765
Work	frustration	43	0.0017191122751682997	0.07104447484016418
Work	hatefulness	43	-0.031710680574178696	0.05813455209136009
Work	sadness	43	-0.016492260619997978	0.055039338767528534
Work	hope	43	0.02050301991403103	0.06233788654208183
Work	aggression	43	-0.03395559638738632	0.05123649165034294
Work	exhaustion	43	-0.04147189110517502	0.07076995074748993
a9lim	warmth	10	-0.0049415272660553455	0.042626626789569855
a9lim	energy	10	0.0004703685699496418	0.04843515157699585
a9lim	confidence	10	0.012073730118572712	0.03620688617229462
a9lim	playfulness	10	0.013949592597782612	0.028983645141124725
a9lim	empathy	10	0.03684983402490616	0.027094218879938126
a9lim	technicality	10	-0.02807277999818325	0.039982959628105164
a9lim	positivity	10	0.02419343963265419	0.021009081974625587
a9lim	curiosity	10	0.04888079687952995	0.04518210142850876
a9lim	approval	10	0.0018921464215964079	0.06495559960603714
a9lim	apologeticness	10	0.0033029248006641865	0.031228533014655113
a9lim	decisiveness	10	-0.016385966911911964	0.03470969200134277
a9lim	wryness	10	0.001570277614519	0.0966147854924202
a9lim	wetness	10	-0.008403735235333443	0.09508704394102097
a9lim	surprise	10	-0.051407407969236374	0.0482763834297657
a9lim	anger	10	0.051444172859191895	0.04895532503724098
a9lim	frustration	10	0.038996972143650055	0.07680744677782059
a9lim	hatefulness	10	-0.007406268268823624	0.03884473815560341
