project	quadrant	count	share_of_known	n_total	n_known	n_gt	n_pred	n_unknown
Work	HP	8	0.25	51	32	32	0	19
Work	LP	10	0.3125	51	32	32	0	19
Work	HN-D	1	0.0312	51	32	32	0	19
Work	HN-S	1	0.0312	51	32	32	0	19
Work	LN	2	0.0625	51	32	32	0	19
Work	NB	10	0.3125	51	32	32	0	19
a9lim	HP	4	0.2667	21	15	15	0	6
a9lim	LP	6	0.4	21	15	15	0	6
a9lim	HN-D	0	0.0	21	15	15	0	6
a9lim	HN-S	0	0.0	21	15	15	0	6
a9lim	LN	0	0.0	21	15	15	0	6
a9lim	NB	5	0.3333	21	15	15	0	6
a9lim.github.io	HP	28	0.2857	145	98	98	0	47
a9lim.github.io	LP	22	0.2245	145	98	98	0	47
a9lim.github.io	HN-D	4	0.0408	145	98	98	0	47
a9lim.github.io	HN-S	1	0.0102	145	98	98	0	47
a9lim.github.io	LN	12	0.1224	145	98	98	0	47
a9lim.github.io	NB	31	0.3163	145	98	98	0	47
aurora	HP	0	0.0	2	1	1	0	1
aurora	LP	1	1.0	2	1	1	0	1
aurora	HN-D	0	0.0	2	1	1	0	1
aurora	HN-S	0	0.0	2	1	1	0	1
aurora	LN	0	0.0	2	1	1	0	1
aurora	NB	0	0.0	2	1	1	0	1
brie	HP	4	0.2353	29	17	17	0	12
brie	LP	10	0.5882	29	17	17	0	12
brie	HN-D	0	0.0	29	17	17	0	12
brie	HN-S	0	0.0	29	17	17	0	12
brie	LN	1	0.0588	29	17	17	0	12
brie	NB	2	0.1176	29	17	17	0	12
claude.ai	HP	7	0.4667	34	15	15	0	19
claude.ai	LP	1	0.0667	34	15	15	0	19
claude.ai	HN-D	0	0.0	34	15	15	0	19
claude.ai	HN-S	2	0.1333	34	15	15	0	19
claude.ai	LN	2	0.1333	34	15	15	0	19
claude.ai	NB	3	0.2	34	15	15	0	19
claudedriven	HP	6	0.4286	17	14	14	0	3
claudedriven	LP	3	0.2143	17	14	14	0	3
claudedriven	HN-D	0	0.0	17	14	14	0	3
claudedriven	HN-S	0	0.0	17	14	14	0	3
claudedriven	LN	1	0.0714	17	14	14	0	3
claudedriven	NB	4	0.2857	17	14	14	0	3
data	HP	5	0.3846	14	13	13	0	1
data	LP	0	0.0	14	13	13	0	1
data	HN-D	0	0.0	14	13	13	0	1
data	HN-S	0	0.0	14	13	13	0	1
data	LN	0	0.0	14	13	13	0	1
data	NB	8	0.6154	14	13	13	0	1
faithful	HP	12	0.5217	39	23	23	0	16
faithful	LP	7	0.3043	39	23	23	0	16
faithful	HN-D	0	0.0	39	23	23	0	16
faithful	HN-S	0	0.0	39	23	23	0	16
faithful	LN	1	0.0435	39	23	23	0	16
faithful	NB	3	0.1304	39	23	23	0	16
geon	HP	2	0.2	15	10	10	0	5
geon	LP	1	0.1	15	10	10	0	5
geon	HN-D	0	0.0	15	10	10	0	5
geon	HN-S	0	0.0	15	10	10	0	5
geon	LN	1	0.1	15	10	10	0	5
geon	NB	6	0.6	15	10	10	0	5
hylic	HP	5	0.2941	29	17	17	0	12
hylic	LP	5	0.2941	29	17	17	0	12
hylic	HN-D	0	0.0	29	17	17	0	12
hylic	HN-S	0	0.0	29	17	17	0	12
hylic	LN	1	0.0588	29	17	17	0	12
hylic	NB	6	0.3529	29	17	17	0	12
introspection-via-kaomoji	HP	1	1.0	1	1	1	0	0
introspection-via-kaomoji	LP	0	0.0	1	1	1	0	0
introspection-via-kaomoji	HN-D	0	0.0	1	1	1	0	0
introspection-via-kaomoji	HN-S	0	0.0	1	1	1	0	0
introspection-via-kaomoji	LN	0	0.0	1	1	1	0	0
introspection-via-kaomoji	NB	0	0.0	1	1	1	0	0
kenoma	HP	5	0.1724	54	29	29	0	25
kenoma	LP	9	0.3103	54	29	29	0	25
kenoma	HN-D	1	0.0345	54	29	29	0	25
kenoma	HN-S	0	0.0	54	29	29	0	25
kenoma	LN	4	0.1379	54	29	29	0	25
kenoma	NB	10	0.3448	54	29	29	0	25
llmoji	HP	86	0.3333	381	258	258	0	123
llmoji	LP	60	0.2326	381	258	258	0	123
llmoji	HN-D	0	0.0	381	258	258	0	123
llmoji	HN-S	3	0.0116	381	258	258	0	123
llmoji	LN	36	0.1395	381	258	258	0	123
llmoji	NB	73	0.2829	381	258	258	0	123
llmoji-study	HP	318	0.4511	950	705	705	0	245
llmoji-study	LP	151	0.2142	950	705	705	0	245
llmoji-study	HN-D	3	0.0043	950	705	705	0	245
llmoji-study	HN-S	31	0.044	950	705	705	0	245
llmoji-study	LN	34	0.0482	950	705	705	0	245
llmoji-study	NB	168	0.2383	950	705	705	0	245
mirrors	HP	0	0.0	2	1	1	0	1
mirrors	LP	0	0.0	2	1	1	0	1
mirrors	HN-D	1	1.0	2	1	1	0	1
mirrors	HN-S	0	0.0	2	1	1	0	1
mirrors	LN	0	0.0	2	1	1	0	1
mirrors	NB	0	0.0	2	1	1	0	1
rlaif	HP	12	0.1395	153	86	86	0	67
rlaif	LP	22	0.2558	153	86	86	0	67
rlaif	HN-D	2	0.0233	153	86	86	0	67
rlaif	HN-S	5	0.0581	153	86	86	0	67
rlaif	LN	17	0.1977	153	86	86	0	67
rlaif	NB	28	0.3256	153	86	86	0	67
saklas	HP	52	0.2989	345	174	174	0	171
