project	quadrant	count	share_of_known	n_total	n_known	n_unknown
Work	HP	3	0.06	51	50	1
Work	LP	10	0.2	51	50	1
Work	HN-D	2	0.04	51	50	1
Work	HN-S	3	0.06	51	50	1
Work	LN	7	0.14	51	50	1
Work	NB	25	0.5	51	50	1
a9lim	HP	0	0.0	21	21	0
a9lim	LP	7	0.3333333333333333	21	21	0
a9lim	HN-D	0	0.0	21	21	0
a9lim	HN-S	3	0.14285714285714285	21	21	0
a9lim	LN	2	0.09523809523809523	21	21	0
a9lim	NB	9	0.42857142857142855	21	21	0
a9lim.github.io	HP	7	0.05555555555555555	129	126	3
a9lim.github.io	LP	34	0.2698412698412698	129	126	3
a9lim.github.io	HN-D	3	0.023809523809523808	129	126	3
a9lim.github.io	HN-S	14	0.1111111111111111	129	126	3
a9lim.github.io	LN	11	0.0873015873015873	129	126	3
a9lim.github.io	NB	57	0.4523809523809524	129	126	3
aurora	HP	0	0.0	2	2	0
aurora	LP	1	0.5	2	2	0
aurora	HN-D	0	0.0	2	2	0
aurora	HN-S	0	0.0	2	2	0
aurora	LN	0	0.0	2	2	0
aurora	NB	1	0.5	2	2	0
brie	HP	1	0.05555555555555555	27	18	9
brie	LP	7	0.3888888888888889	27	18	9
brie	HN-D	2	0.1111111111111111	27	18	9
brie	HN-S	1	0.05555555555555555	27	18	9
brie	LN	2	0.1111111111111111	27	18	9
brie	NB	5	0.2777777777777778	27	18	9
claudedriven	HP	1	0.06666666666666667	17	15	2
claudedriven	LP	3	0.2	17	15	2
claudedriven	HN-D	0	0.0	17	15	2
claudedriven	HN-S	0	0.0	17	15	2
claudedriven	LN	1	0.06666666666666667	17	15	2
claudedriven	NB	10	0.6666666666666666	17	15	2
data	HP	0	0.0	14	14	0
data	LP	0	0.0	14	14	0
data	HN-D	0	0.0	14	14	0
data	HN-S	1	0.07142857142857142	14	14	0
data	LN	0	0.0	14	14	0
data	NB	13	0.9285714285714286	14	14	0
faithful	HP	4	0.10256410256410256	39	39	0
faithful	LP	9	0.23076923076923078	39	39	0
faithful	HN-D	1	0.02564102564102564	39	39	0
faithful	HN-S	7	0.1794871794871795	39	39	0
faithful	LN	3	0.07692307692307693	39	39	0
faithful	NB	15	0.38461538461538464	39	39	0
geon	HP	1	0.07142857142857142	15	14	1
geon	LP	3	0.21428571428571427	15	14	1
geon	HN-D	0	0.0	15	14	1
geon	HN-S	4	0.2857142857142857	15	14	1
geon	LN	2	0.14285714285714285	15	14	1
geon	NB	4	0.2857142857142857	15	14	1
hylic	HP	2	0.06896551724137931	29	29	0
