first_word	count	n_projects	sample_projects
ʕ・ᴥ・ʔ	9	2	brie,claudedriven
＼(^	4	3	a9lim.github.io,geon,rlaif
(◕‿◕✨)	4	1	llmoji-study
(｡◕‿‿◕｡)	3	1	shoals
ʕっ・ᴥ・ʔ	3	3	Work,brie,talkie-interface
(´-_-`)	2	1	llmoji
(୧・̀‿-)	2	1	tasty-bot
(>‿<)	2	1	llmoji-study
(￣^￣ゞ	2	1	llmoji-study
ʕ ・ᴥ・ʔ	1	1	a9lim.github.io
(⊙ω⊙)	1	1	llmoji-study
(◞‸◟ㆀ)	1	1	rlaif
(╹ェ╹)	1	1	rlaif
(＾	1	1	saklas
(・ω・´)	1	1	claudedriven
(;¬_¬)	1	1	saklas
(눈‸눈)	1	1	saklas
(◞‸◟;)	1	1	talkie-interface
(｡-_-｡)	1	1	a9lim.github.io
(╭☞・̀	1	1	v3
(`∀´)	1	1	llmoji-study
(;´д`ｿ)	1	1	llmoji-study
(｡・‿-)	1	1	llmoji-study
(>‿◕)	1	1	llmoji-study
(>‿◕✨)	1	1	llmoji-study
(・̀⌄・́)	1	1	tasty-bot
(´;_;`)	1	1	llmoji-study
(´‿`)	1	1	llmoji-study
(˶◕‿◕˶)	1	1	tasty-bot
(◕‿◕｡)	1	1	tasty-bot
(・̅_・̅)	1	1	llmoji-study
(・̀‿・́;)	1	1	llmoji-study
(=^‿^=)	1	1	llmoji-study
(°_°)	1	1	llmoji-study
(・́‸・̀)	1	1	llmoji-study
(´˘`∗)	1	1	llmoji-study
✧*｡٩(ˊᗜˋ*)و✧*｡	1	1	llmoji-study
(・ｪ・)	1	1	llmoji-study
(¬_¬;)	1	1	llmoji-study
(°ㅂ°;)	1	1	llmoji-study
(`・∀・´)	1	1	llmoji-study
(;￣□￣)	1	1	llmoji-study
(°◇°;)	1	1	llmoji-study
(°﹏°)	1	1	llmoji-study
(゚ペ)	1	1	claude.ai
