first_word	count	n_projects	sample_projects
(・̀‿・́)	240	16	Work,a9lim,a9lim.github.io
(◕_◕)	88	8	a9lim.github.io,data,faithful
(◠‿◠)	59	9	Work,a9lim.github.io,brie
(๑・̀ㅂ・́)	39	9	Work,a9lim.github.io,hylic
(✿◠‿◠)	26	10	Work,a9lim.github.io,aurora
(ง・̀_・́)	24	8	Work,a9lim.github.io,kenoma
(◕ω◕)	22	3	llmoji,llmoji-study,rlaif
(◕▽◕)	20	1	llmoji-study
(￣▽￣)	18	6	Work,a9lim.github.io,claude.ai
(⌐■_■)	14	4	Work,a9lim.github.io,llmoji
(￣ー￣)	13	4	a9lim,a9lim.github.io,llmoji
(・̀ω・́)	13	6	kenoma,llmoji,llmoji-study
(=^・ω・^=)	12	5	a9lim,a9lim.github.io,brie
(눈_눈)	11	4	kenoma,llmoji,llmoji-study
(✧ω✧)	11	5	Work,a9lim.github.io,claude.ai
(＾∇＾)	10	4	a9lim.github.io,llmoji,llmoji-study
(￣ω￣)	9	5	Work,llmoji,llmoji-study
(◕‿◕✨)	9	1	llmoji-study
(๑˃‿˂)	8	2	llmoji,saklas
(⊙_⊙)	7	4	a9lim.github.io,llmoji,llmoji-study
(￣ヘ￣;)	7	4	a9lim.github.io,llmoji-study,rlaif
(◞‸◟)	7	2	llmoji,llmoji-study
(´・‿・`)	7	2	llmoji,llmoji-study
(╭ರ_・́)	6	3	llmoji,llmoji-study,saklas
(ᵔᴥᵔ)	6	2	Work,rlaif
(￣~￣;)	6	3	kenoma,llmoji-study,saklas
(˘・_・˘)	6	3	claude.ai,llmoji-study,rlaif
(˶ᵔ‿ᵔ˶)	5	4	brie,faithful,llmoji
(ﾟ▽ﾟ)	5	4	Work,kenoma,llmoji-study
(˃‿˂)	5	3	a9lim.github.io,faithful,rlaif
(・̀ㅂ・́)	5	3	kenoma,llmoji-study,rlaif
(◜‿◝)	5	3	brie,hylic,llmoji
(´ω`	5	2	a9lim.github.io,llmoji-study
(´ー`)	4	3	claude.ai,hylic,saklas
(￣ω￣;)	4	3	hylic,llmoji-study,saklas
(งᵒ̌皿ᵒ̌)	4	2	rlaif,tasty-bot
＼(^	4	3	a9lim.github.io,geon,rlaif
(╯✧∇✧)	4	2	llmoji-study,saklas
(・́⌓・̀)	4	3	brie,llmoji-study,saklas
(◠‿◠✿)	4	3	faithful,llmoji,llmoji-study
(˶˃‿˂˶)	4	2	llmoji-study,rlaif
(>‿<)	4	1	llmoji-study
(￣^￣ゞ	4	1	llmoji-study
(˶ˆᗜˆ˵)	3	3	brie,claude.ai,rlaif
(｡◕‿‿◕｡)	3	1	shoals
(/▽＼)	3	2	llmoji-study,shoals
(・̀‿-)	3	2	llmoji,llmoji-study
(ﾉωﾉ)	3	2	kenoma,llmoji
(｡´꒳`｡)	3	2	faithful,llmoji-study
(・ω・`)	3	3	kenoma,llmoji,saklas
(°ヮ°)	3	2	kenoma,llmoji-study
(・﹏・)	3	2	Work,llmoji-study
(・ε・)	3	2	claudedriven,saklas
(◕ヮ◕)	3	3	Work,a9lim.github.io,rlaif
(｡╹ω╹｡)	3	2	brie,rlaif
(´・ω・)	3	3	a9lim,llmoji-study,rlaif
(｡・̀‿・́｡)	3	1	llmoji-study
(╹ω╹)	3	2	geon,saklas
(°□°)	3	2	shoals,tasty-bot
(҂‿_‿)	3	2	llmoji-study,verify
ʕっ・ᴥ・ʔ	3	3	Work,brie,talkie-interface
(⊙ω⊙)	3	1	llmoji-study
(ᵔ‿ᵔ)	2	1	saklas
(☞ﾟヮﾟ)	2	2	Work,saklas
(ฅ́˘ฅ̀)	2	2	llmoji,saklas
(⊙‿⊙)	2	2	Work,saklas
(・ω<)	2	2	rlaif,saklas
(´∀`;)	2	2	llmoji,llmoji-study
