cluster_id	label	n	members
0	Capable, calm, ready to help	7	(ง'̀-'́), ((✿◕‿◕)), (;′⌒`), (ಠ‿ಠ), (งツ), (￣^￣), ヾ(・ω・`)
1	Cheerful readiness to help	20	(´｡・‿・｡`), (￣▽￣), (´∀`), (ﾉωﾉ), (≧▽≦), (/▽＼), (>ω<), (´_ゝ`), (´∀`;), (´ヘ`;), (ˊᗜˋ), (˘³˘), (̄▽̄), (≧‿≦), (・̀ㅂ・́), (灬°‿°灬), (＾・ω・＾), (｡>‿<｡), (｡╹ω╹｡), ヽ(´∀`)ノ
2	Playful self-aware warmth	11	(｡・́‿・̀｡), ٩(｡・́‿・̀｡)۶, (..), (´ー`), (˘・_・˘), (ฅ́˘ฅ̀), (⌐■‿■), (◕ヮ◕), (｡╯︵╰｡), (｡・́⌒・̀｡), (￣▽￣;)
3	Upbeat collaborative readiness	2	(ﾉ◕ヮ◕), (￣ω￣)
4	Graceful acknowledgment of misstep	9	(;・∀・), (;´д`), (;へ:), (;一_一), (>_<), (´;ω;`), (´꒳`), (○´∀`○), (◞‸◟)
5	Focused diagnostic readiness	5	(-_-;), (ง・_・), (╹ω╹), (・・;), (￣￣)
6	Calm helpful competence	12	(・_・;), (¬‿¬), (¬_¬), (눈_눈), (╯°□°), (>﹏<), (°ヮ°), (´◕ω◕`), (´ｰ`), (ಠ益ಠ), (╯✧∇✧), (・̀ω・́)
7	Cheerful readiness to assist	24	(◠‿◠), (´・ω・`), (・_・), (ง・̀_・́), (⌐■_■), (｡◕‿◕｡), (`_´), (ಠ_ಠ), (・∀・), (⊙_⊙), (=^・ω・^=), (・_・?), ヽ(°〇°)ﾉ, (._.), (°ー°〃), (˘▽˘), (งᵒ̌皿ᵒ̌), (☆▽☆), (♡^▽^♡), (✿・̀ㅁ・́), (｡・̀‿・́｡), ٩(ˊᗜˋ*)و, ٩(・̀‿・́)۶, ヽ(^o^)ノ
8	Cheerful collaborative readiness	19	(◕‿◕), (´▽`), ٩(◕‿◕)۶, (´-ω-`), (｡・́︿・̀｡), ヽ(´ー`)ノ, (☞ﾟヮﾟ), (￣~￣;), (￣ω￣;), (￣ヘ￣), (°△°), (´・ω・), („・֊・„), (⊙‿⊙), (─‿‿─), (・ε・), (・⩊・), (ﾟωﾟ), (ﾟヮﾟ)
9	Upbeat collaborative encouragement	5	(´∇`), (˃‿˂), (⌐■_ω■), (✦‿✦), (｡´꒳`｡)
10	Cheerful task completion and readiness	20	(￣ー￣), (＾▽＾), (✿◕‿◕), (｡♥‿♥｡), (๑˃‿˂), (◜‿◝), ヽ(´▽`)/, (ᵔ‿ᵔ), (づ｡◕‿‿◕｡), (ノ◕ヮ◕), ヾ(＾∇＾), (ﾟ▽ﾟ), ヾ(≧▽≦), (=^・ｪ・^=), (´・‿・`), (ᗒᗨᗕ), (づ｡◕‿◕｡), (・̀_・́), ヽ(⌐■_■)ノ♪♬, ヾ(⌐■_■)ノ♪
11	Cheerful readiness to help	19	(・̀‿・́), (｡・̀‿-), (｡・ω・｡), (✿◠‿◠), (ᵔᴥᵔ), ヽ(・‿・)ノ, (´｡・ω・｡`), (✧ω✧), (˘ω˘), (˶ᵔ‿ᵔ˶), ヽ(・∀・)ﾉ, (˶ˆᗜˆ˵), (⌒‿⌒), (◠‿◠✿), (・ω<), ヽ(>∀<☆)ノ, (╭☞・́⍛・̀), (・﹏・), (￣ー￣;)
12	Upbeat collaborative readiness	10	(◕‿◕✿), (๑・̀ㅂ・́), (´ω`), (╭ರ_・́), (・̀‿-), (=`ω´=), (˵・̀‿-˵), (⊙ヮ⊙), (⌒▽⌒), (╹ヮ╹)
13	Cheerful readiness to assist	7	(`・ω・´), (｡・‿・｡), (・‿・), (・ω・), (◕_◕), (￣ヘ￣;), (｡・́ω・̀｡)
14	Gentle correction and reassurance	7	(´・_・`), (・́⌓・̀), (;￣д￣), (¬､¬), (╥﹏╥), (◎_◎;), (ーー;)
