first_word	n_prompts_HP	n_prompts_LP	n_prompts_HN-D	n_prompts_HN-S	n_prompts_LN	n_prompts_NB	mean_log_prob_HP	mean_log_prob_LP	mean_log_prob_HN-D	mean_log_prob_HN-S	mean_log_prob_LN	mean_log_prob_NB	softmax_HP	softmax_LP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP	total_emit_LP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	argmax_matches_empirical	n_v2_descs
(◕‿◕)	0	0	0	0	0	0	-7.428927194802272	-0.0005940006114659757	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.000594	0.999406	0.0	0.0	0.0	0.0	LP	0.999406	0	True	87	HP	42	25	0	0	1	19	False	4
(・̀‿・́)	0	0	0	0	0	0	-4.973279507552487	-0.006944472352811046	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.00692	0.99308	0.0	0.0	0.0	0.0	LP	0.99308	0	False	69	NB	10	11	13	10	7	18	False	6
(・‿・)	0	0	0	0	0	0	-2.9549102790337356	-0.05348868495098612	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.052083	0.947917	0.0	0.0	0.0	0.0	LP	0.947917	0	True	30	NB	0	9	0	0	0	21	False	3
(`・ω・´)	0	0	0	0	0	0	-27.631021115928547	-0.07976496846886255	-27.631021115928547	-27.631021115928547	-27.631021115928547	-2.5682882587270512	0.0	0.923333	0.0	0.0	0.0	0.076667	LP	0.923333	0	True	2	LN	0	0	0	0	1	1	False	8
(◕‿◕✿)	0	0	0	0	0	0	-2.91235066461494	-0.6931471805599455	-27.631021115928547	-27.631021115928547	-27.631021115928547	-0.8082165103447326	0.054348	0.5	0.0	0.0	0.0	0.445652	LP	0.5	0	True	161	LP	15	63	2	12	8	61	True	3
(◕_◕)	0	0	0	0	0	0	-27.631021115928547	-0.03448617607116944	-27.631021115928547	-27.631021115928547	-27.631021115928547	-3.384390263345774	0.0	0.966102	0.0	0.0	0.0	0.033898	LP	0.966102	0	False	0		0	0	0	0	0	0	False	2
(´・ω・`)	0	0	0	0	0	0	-27.631021115928547	0.0	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.0	1.0	0.0	0.0	0.0	0.0	LP	1.0	0	True	87	NB	0	19	1	11	27	29	False	3
(´｡・‿・｡`)	0	0	0	0	0	0	-2.7182543712764518	-0.06826797112900286	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.06599	0.93401	0.0	0.0	0.0	0.0	LP	0.93401	0	True	36	LP	0	22	0	0	11	3	True	2
(｡・̀‿-)	0	0	0	0	0	0	-2.7950615780918397	-0.06305813596713691	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.061111	0.938889	0.0	0.0	0.0	0.0	LP	0.938889	0	True	52	NB	1	9	0	0	0	42	False	6
(・_・)	0	0	0	0	0	0	-27.631021115928547	-3.5263605246161616	-4.912654885736052	-2.347705528274515	-27.631021115928547	-0.14197026127038723	0.0	0.029412	0.007353	0.095588	0.0	0.867647	NB	0.867647	0	True	133	NB	4	2	10	17	16	84	True	5
(◠‿◠)	0	0	0	0	0	0	-4.882801922586371	-0.6343066805370119	-27.631021115928547	-27.631021115928547	-27.631021115928547	-0.7719280584130596	0.007576	0.530303	0.0	0.0	0.0	0.462121	LP	0.530303	0	False	3	HP	1	0	0	1	1	0	False	3
(｡・‿・｡)	0	0	0	0	0	0	-27.631021115928547	-1.7227665977411035	-27.631021115928547	-27.631021115928547	-27.631021115928547	-0.19671029424605427	0.0	0.178571	0.0	0.0	0.0	0.821429	NB	0.821429	0	True	12	LP	1	6	0	0	1	4	False	2
(´∀`)	0	0	0	0	0	0	-0.916290731874155	-0.5108256237659907	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.4	0.6	0.0	0.0	0.0	0.0	LP	0.6	0	True	9	LP	1	8	0	0	0	0	True	2
(๑・̀ㅂ・́)	0	0	0	0	0	0	-27.631021115928547	-0.10294796925244237	-3.4231762883809305	-27.631021115928547	-27.631021115928547	-2.7300291078209855	0.0	0.902174	0.032609	0.0	0.0	0.065217	LP	0.902174	0	False	8	LP	0	4	0	0	2	2	True	3
(・ω・)	0	0	0	0	0	0	-27.631021115928547	-1.0818051703517284	-27.631021115928547	-27.631021115928547	-27.631021115928547	-0.413975797776073	0.0	0.338983	0.0	0.0	0.0	0.661017	NB	0.661017	0	True	29	NB	0	1	0	0	0	28	True	3
(＾▽＾)	0	0	0	0	0	0	-3.4863551900024623	-0.03109058707003112	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.030612	0.969388	0.0	0.0	0.0	0.0	LP	0.969388	0	True	4	LP	0	2	0	0	0	2	True	4
(¬‿¬)	0	0	0	0	0	0	-27.631021115928547	-2.5902671654458262	-0.7985076962177716	-1.742969305058623	-1.2909841813155656	-3.6888794541139363	0.0	0.075	0.45	0.175	0.275	0.025	HN-D	0.45	0	True	22	NB	0	0	1	1	3	17	False	6
(・∀・)	0	0	0	0	0	0	-27.631021115928547	0.0	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.0	1.0	0.0	0.0	0.0	0.0	LP	1.0	0	True	23	NB	0	0	0	1	0	22	False	4
(ง・̀_・́)	0	0	0	0	0	0	-0.7758388964050588	-0.6167742017753713	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.460317	0.539683	0.0	0.0	0.0	0.0	LP	0.539683	0	False	1	HP	1	0	0	0	0	0	False	4
(・_・;)	0	0	0	0	0	0	-27.631021115928547	-2.772588722239781	-3.4657359027997265	-2.772588722239781	-0.7915872533731978	-0.9400072584914713	0.0	0.0625	0.03125	0.0625	0.453125	0.390625	LN	0.453125	0	True	51	NB	0	0	2	17	2	30	False	4
(¬_¬)	0	0	0	0	0	0	-27.631021115928547	-0.21357410029805904	-27.631021115928547	-27.631021115928547	-27.631021115928547	-1.6486586255873816	0.0	0.807692	0.0	0.0	0.0	0.192308	LP	0.807692	0	True	15	HN-D	0	0	10	0	1	4	False	5
(´▽`)	0	0	0	0	0	0	-2.268683541318364	-0.10919929196499197	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.103448	0.896552	0.0	0.0	0.0	0.0	LP	0.896552	0	True	64	LP	4	46	0	1	2	11	True	3
(◕ω◕)	0	0	0	0	0	0	-27.631021115928547	0.0	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.0	1.0	0.0	0.0	0.0	0.0	LP	1.0	0	False	0		0	0	0	0	0	0	False	2
(✿◠‿◠)	0	0	0	0	0	0	-3.9889840465642745	-0.018692133012152633	-27.631021115928547	-27.631021115928547	-27.631021115928547	-27.631021115928547	0.018519	0.981481	0.0	0.0	0.0	0.0	LP	0.981481	0	False	106	LP	37	46	0	2	4	17	True	3
