first_word	n_prompts_HP	n_prompts_LP	n_prompts_HN-D	n_prompts_HN-S	n_prompts_LN	n_prompts_NB	mean_log_prob_HP	mean_log_prob_LP	mean_log_prob_HN-D	mean_log_prob_HN-S	mean_log_prob_LN	mean_log_prob_NB	softmax_HP	softmax_LP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP	total_emit_LP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	argmax_matches_empirical
((((;°д°))))	0	0	0	0	0	0	-3.161231796964397	-4.770589714198167	-2.4680946162544544	-0.2168117649669345	-3.161231796964397	-4.077492529888513	0.042374	0.008475	0.084746	0.805081	0.042374	0.01695	HN-S	0.805081	1	True	3	HN-S	0	0	0	3	0	0	True
(((;°д°)))	0	0	0	0	0	0	-4.007288641013008	-4.700385825322662	-3.0910279080888916	-0.14660787609142903	-3.0910279080888916	-4.007288641013008	0.018183	0.009092	0.045455	0.863633	0.045455	0.018183	HN-S	0.863633	1	True	11	HN-S	0	0	0	11	0	0	True
(((;꒪д꒪)))	0	0	0	0	0	0	-4.051740166430957	-4.744837350740611	-3.1354794335068408	-0.19105940150937822	-2.4423422527968977	-4.051740166430957	0.017392	0.008696	0.043479	0.826084	0.086957	0.017392	HN-S	0.826084	1	True	2	HN-S	0	0	0	2	0	0	True
(((o(*°▽°*)o)))	0	0	0	0	0	0	-0.4019533387128807	-1.2669493288336353	-4.955731287944113	-4.2626341036344595	-4.955731287944113	-3.857185661498547	0.669012	0.28169	0.007043	0.014085	0.007043	0.021127	HP	0.669012	1	True	3	HP	3	0	0	0	0	0	True
(((o(*ﾟ▽ﾟ	0	0	0	0	0	0	-0.5280701893910156	-1.0425248499833506	-5.049759858395654	-4.3566626740859995	-5.049759858395654	-3.4404019411618836	0.589742	0.352563	0.006411	0.012821	0.006411	0.032052	HP	0.589742	1	True	5	HP	5	0	0	0	0	0	True
(((o(°▽°)o)))	0	0	0	0	0	0	-0.4019533387128807	-1.2669493288336353	-4.955731287944113	-4.2626341036344595	-4.955731287944113	-3.857185661498547	0.669012	0.28169	0.007043	0.014085	0.007043	0.021127	HP	0.669012	1	True	2	HP	2	0	0	0	0	0	True
(;´д`)	0	0	0	0	0	0	-4.310753153473002	-4.310753153473002	-1.7850705079227884	-1.1972856207929161	-0.7554536621632219	-3.394492420548886	0.013423	0.013423	0.167785	0.302013	0.469797	0.033558	LN	0.469797	1	True	40	LN	0	0	5	8	27	0	True
(;´ヮ`)	0	0	0	0	0	0	-3.2958213106388943	-1.3499283042448083	-3.2958213106388943	-1.2163972687621862	-1.5040785078830643	-1.9095419493315064	0.037038	0.259259	0.037038	0.296296	0.222222	0.148148	HN-S	0.296296	1	True	1	LN	0	0	0	0	1	0	False
(;╹⌓╹)	0	0	0	0	0	0	-4.197156460179786	-3.791708018043874	-2.5877585465457273	-0.5336435307497215	-1.671473814629573	-2.1822967717431188	0.015038	0.022557	0.075188	0.586464	0.18797	0.112782	HN-S	0.586464	1	True	1	LN	0	0	0	0	1	0	False
(;゚д゚)	0	0	0	0	0	0	-4.077492529888513	-4.770589714198167	-3.161231796964397	-0.2168117649669345	-2.4680946162544544	-3.161231796964397	0.01695	0.008475	0.042374	0.805081	0.084746	0.042374	HN-S	0.805081	1	True	1	HN-S	0	0	0	1	0	0	True
(;・∀・)	0	0	0	0	0	0	-3.2958213106388943	-2.197222355126343	-2.6026841299289516	-0.8979442194603611	-1.9095419493315064	-1.5040785078830643	0.037038	0.111111	0.074074	0.407406	0.148148	0.222222	HN-S	0.407406	1	True	2	HN-D	0	0	1	1	0	0	False
(;︵;)	0	0	0	0	0	0	-4.753495368506448	-4.060398184196794	-3.654949742060881	-2.0455384957601264	-0.23180569950180951	-3.654949742060881	0.008622	0.017242	0.025863	0.129311	0.7931	0.025863	LN	0.7931	1	True	1	HN-D	0	0	1	0	0	0	False
(;ﾟдﾟ)	0	0	0	0	0	0	-4.051740166430957	-4.744837350740611	-3.1354794335068408	-0.22314768173597258	-2.4423422527968977	-3.1354794335068408	0.017392	0.008696	0.043479	0.799997	0.086957	0.043479	HN-S	0.799997	1	True	1	HN-S	0	0	0	1	0	0	True
(;￣д￣)	0	0	0	0	0	0	-4.241281070358151	-4.241281070358151	-0.9271432462555018	-1.379127331039949	-1.245596295557327	-3.3250203374340352	0.014389	0.014389	0.395682	0.251798	0.287769	0.035972	HN-D	0.395682	1	True	1	HN-D	0	0	1	0	0	0	True
(>_<)	0	0	0	0	0	0	-4.343759319199949	-4.343759319199949	-1.2302917865198626	-0.942610269622557	-1.3480745443991242	-3.4274985862758323	0.012988	0.012988	0.292207	0.38961	0.25974	0.032468	HN-S	0.38961	1	True	45	HN-S	0	2	8	32	2	1	True
(>_<;)	0	0	0	0	0	0	-4.297239489093072	-4.297239489093072	-1.7715568435428588	-0.5477842354428467	-1.5892359534131264	-3.8917910469571595	0.013606	0.013606	0.170068	0.57823	0.204081	0.020409	HN-S	0.57823	1	True	14	HN-S	0	0	0	14	0	0	True
(>∀<☆)	0	0	0	0	0	0	-0.6007765549192837	-0.9490827589921179	-4.350231808569509	-4.350231808569509	-5.043328992879163	-3.433971075645393	0.548386	0.387096	0.012904	0.012904	0.006452	0.032259	HP	0.548386	1	True	14	HP	14	0	0	0	0	0	True
(>﹏<)	0	0	0	0	0	0	-4.350231808569509	-3.9447833664335965	-1.8245491630192956	-0.6867188791394443	-1.2367642758894235	-4.350231808569509	0.012904	0.019355	0.16129	0.503225	0.290322	0.012904	HN-S	0.503225	1	True	29	HN-S	1	0	4	17	7	0	True
(^o^)	0	0	0	0	0	0	-0.5943040655497229	-0.942610269622557	-5.036856503509602	-4.343759319199949	-5.036856503509602	-3.4274985862758323	0.551947	0.38961	0.006494	0.012988	0.006494	0.032468	HP	0.551947	1	True	9	HP	7	1	0	0	0	1	True
(^ω^)	0	0	0	0	0	0	-1.104656399395206	-0.6121806213670835	-4.418794223497856	-4.418794223497856	-4.418794223497856	-2.403934535061188	0.331325	0.542167	0.012049	0.012049	0.012049	0.090362	LP	0.542167	1	True	2	HP	2	0	0	0	0	0	False
(^‿^)	0	0	0	0	0	0	-1.4144665476057976	-0.47000668479322766	-4.969717471233653	-4.969717471233653	-4.2766202869239995	-2.261760598487332	0.243055	0.624998	0.006945	0.006945	0.01389	0.104167	LP	0.624998	1	True	16	LP	1	10	0	0	0	5	True
