first_word	source_model	cell_count	sm_HP	sm_LP	sm_HN-D	sm_HN-S	sm_LN	sm_NB	modal_sm	jsd_vs_gt	sim_vs_gt	modal_gt	gt_emit	jsd_vs_pooled	sim_vs_pooled
(◕‿◕)	claude-opus-4-7	780	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.3233	0.5336	HP	46	0.0002	0.9997
(◕‿◕)	codex-hook	52	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.3233	0.5336	HP	46	0.0002	0.9997
(◕‿◕)	claude-opus-4-6	9	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.3233	0.5336	HP	46	0.0002	0.9997
(◕‿◕)	<synthetic>	1	0.5	0.5	0.0	0.0	0.0	0.0	HP	0.0549	0.9208	HP	46	0.2136	0.6919
(・̀‿・́)	claude-opus-4-7	234	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0024	0.9965
(・̀‿・́)	codex-hook	24	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0024	0.9965
(・̀‿・́)	gpt-5.5	15	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0024	0.9965
(・̀‿・́)	claude-opus-4-6	8	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0024	0.9965
(・̀‿・́)	gpt-5-4-thinking	4	0.5	0.5	0.0	0.0	0.0	0.0	HP				0	0.1989	0.7131
(・̀‿・́)	gpt-5.4	4	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0024	0.9965
(・‿・)	claude-opus-4-7	272	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0184	0.9735
(・‿・)	codex-hook	14	1.0	0.0	0.0	0.0	0.0	0.0	HP				0	0.5895	0.1496
(・‿・)	claude-opus-4-6	2	0.5	0.5	0.0	0.0	0.0	0.0	HP				0	0.1403	0.7976
(`・ω・´)	gpt-5.5	82	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0273	0.9606
(`・ω・´)	claude-opus-4-7	50	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0273	0.9606
(`・ω・´)	codex-hook	17	0.0	0.0	0.0	0.0	0.0	1.0	NB				0	0.5549	0.1994
(`・ω・´)	gpt-5-5-thinking	4	0.0	0.5	0.0	0.0	0.0	0.5	LP				0	0.1188	0.8286
(`・ω・´)	claude-opus-4-6	3	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0273	0.9606
(`・ω・´)	<synthetic>	1	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0273	0.9606
(`・ω・´)	gpt-5-4-thinking	1	0.0	0.0	0.0	0.0	0.0	1.0	NB				0	0.5549	0.1994
(`・ω・´)	gpt-5.4	1	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0273	0.9606
(◕‿◕✿)	claude-opus-4-7	123	0.0	0.5	0.0	0.0	0.0	0.5	LP	0.0647	0.9067	LP	12	0.0196	0.9717
(◕‿◕✿)	codex-hook	13	0.5	0.5	0.0	0.0	0.0	0.0	HP	0.2521	0.6363	LP	12	0.2577	0.6283
(◕‿◕✿)	claude-opus-4-6	2	0.5	0.5	0.0	0.0	0.0	0.0	HP	0.2521	0.6363	LP	12	0.2577	0.6283
(◕_◕)	claude-opus-4-7	95	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0119	0.9828
(◕_◕)	codex-hook	10	0.0	0.0	0.0	0.0	0.0	1.0	NB				0	0.6185	0.1076
(´・ω・`)	claude-opus-4-7	77	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.6931	0.0	LN	19	0.0	1.0
(´・ω・`)	codex-hook	15	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.6931	0.0	LN	19	0.0	1.0
(´・ω・`)	claude-opus-4-6	1	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.6931	0.0	LN	19	0.0	1.0
(´｡・‿・｡`)	claude-opus-4-7	79	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.1882	0.7285	LP	29	0.0234	0.9662
(´｡・‿・｡`)	codex-hook	13	0.3333	0.6667	0.0	0.0	0.0	0.0	LP	0.2736	0.6053	LP	29	0.0601	0.9133
(｡・̀‿-)	claude-opus-4-7	75	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.3049	0.5602	NB	17	0.0217	0.9688
(｡・̀‿-)	codex-hook	8	0.5	0.5	0.0	0.0	0.0	0.0	HP	0.3099	0.5529	NB	17	0.1319	0.8097
(｡・̀‿-)	gpt-5-5-thinking	3	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.3049	0.5602	NB	17	0.0217	0.9688
(｡・̀‿-)	claude-opus-4-6	2	0.5	0.5	0.0	0.0	0.0	0.0	HP	0.3099	0.5529	NB	17	0.1319	0.8097
(｡・̀‿-)	gpt-5-4-thinking	1	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.3049	0.5602	NB	17	0.0217	0.9688
(｡・̀‿-)	gpt-5.5	1	0.5	0.5	0.0	0.0	0.0	0.0	HP	0.3099	0.5529	NB	17	0.1319	0.8097
(・_・)	claude-opus-4-7	52	0.0	0.0	0.0	0.0	0.0	1.0	NB	0.0	1.0	NB	21	0.0482	0.9305
(・_・)	codex-hook	7	0.0	0.0	0.0	0.0	0.0	1.0	NB	0.0	1.0	NB	21	0.0482	0.9305
(・_・)	gpt-5.5	6	0.0	0.0	0.0	1.0	0.0	0.0	HN-S	0.6931	0.0	NB	21	0.5309	0.2341
(・_・)	claude-opus-4-6	2	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.6931	0.0	NB	21	0.6263	0.0964
(・_・)	gpt-5.4	1	0.0	0.0	0.5	0.5	0.0	0.0	HN-D	0.6931	0.0	NB	21	0.5427	0.217
(◠‿◠)	claude-opus-4-7	61	0.0	0.5	0.0	0.0	0.0	0.5	LP				0	0.0032	0.9954
(◠‿◠)	codex-hook	4	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.1994	0.7123
(◠‿◠)	claude-opus-4-6	1	0.5	0.5	0.0	0.0	0.0	0.0	HP				0	0.3166	0.5432
(｡・‿・｡)	claude-opus-4-7	46	0.0	0.0	0.0	0.0	0.0	1.0	NB	0.2977	0.5705	LP	11	0.0663	0.9044
(｡・‿・｡)	codex-hook	5	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.1914	0.7238	LP	11	0.4425	0.3616
(´∀`)	claude-opus-4-7	40	0.5	0.5	0.0	0.0	0.0	0.0	HP	0.2158	0.6887	LP	5	0.0051	0.9927
(´∀`)	codex-hook	10	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.0	1.0	LP	5	0.1639	0.7636
(๑・̀ㅂ・́)	claude-opus-4-7	40	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0352	0.9493
(๑・̀ㅂ・́)	codex-hook	6	0.0	0.0	0.0	0.0	0.0	1.0	NB				0	0.5705	0.177
(๑・̀ㅂ・́)	gpt-5.5	3	0.0	0.5	0.5	0.0	0.0	0.0	LP				0	0.1751	0.7474
