model	kind	n_prompts	rep	r2_face	r2_quad	face_gain
gemma	bootstrap	120	0	0.59459	0.58894	0.00565
gemma	bootstrap	120	1	0.60297	0.61701	-0.01404
gemma	bootstrap	120	2	0.63372	0.62634	0.00737
gemma	bootstrap	120	3	0.59065	0.56660	0.02406
gemma	bootstrap	120	4	0.60820	0.60363	0.00456
gemma	bootstrap	120	5	0.60143	0.60151	-0.00008
gemma	bootstrap	120	6	0.61119	0.61987	-0.00868
gemma	bootstrap	120	7	0.59035	0.57107	0.01928
gemma	bootstrap	120	8	0.56272	0.55550	0.00722
gemma	bootstrap	120	9	0.61820	0.59986	0.01834
gemma	bootstrap	120	10	0.61693	0.62459	-0.00767
gemma	bootstrap	120	11	0.61253	0.63113	-0.01860
gemma	bootstrap	120	12	0.60034	0.61966	-0.01932
gemma	bootstrap	120	13	0.61482	0.61908	-0.00425
gemma	bootstrap	120	14	0.55965	0.57406	-0.01441
gemma	bootstrap	120	15	0.58929	0.60008	-0.01079
gemma	bootstrap	120	16	0.62776	0.61736	0.01040
gemma	bootstrap	120	17	0.57094	0.60044	-0.02950
gemma	bootstrap	120	18	0.61472	0.60955	0.00517
gemma	bootstrap	120	19	0.60980	0.63153	-0.02173
gemma	bootstrap	120	20	0.63185	0.59114	0.04071
gemma	bootstrap	120	21	0.61332	0.60129	0.01203
gemma	bootstrap	120	22	0.59691	0.60911	-0.01221
gemma	bootstrap	120	23	0.58250	0.62202	-0.03952
gemma	bootstrap	120	24	0.60725	0.62046	-0.01321
gemma	bootstrap	120	25	0.60391	0.62015	-0.01624
gemma	bootstrap	120	26	0.62617	0.63087	-0.00470
gemma	bootstrap	120	27	0.59990	0.60062	-0.00072
gemma	bootstrap	120	28	0.55454	0.58529	-0.03075
gemma	bootstrap	120	29	0.57688	0.59949	-0.02261
gemma	bootstrap	120	30	0.62190	0.60687	0.01502
gemma	bootstrap	120	31	0.61880	0.61008	0.00872
gemma	bootstrap	120	32	0.60470	0.59014	0.01456
gemma	bootstrap	120	33	0.59973	0.61183	-0.01210
gemma	bootstrap	120	34	0.64523	0.62764	0.01759
gemma	bootstrap	120	35	0.61716	0.60509	0.01207
gemma	bootstrap	120	36	0.60266	0.62959	-0.02694
gemma	bootstrap	120	37	0.59071	0.61390	-0.02319
gemma	bootstrap	120	38	0.60677	0.59203	0.01475
gemma	bootstrap	120	39	0.61717	0.64103	-0.02385
gemma	bootstrap	120	40	0.60262	0.61184	-0.00921
gemma	bootstrap	120	41	0.62681	0.61143	0.01538
gemma	bootstrap	120	42	0.59230	0.60968	-0.01739
gemma	bootstrap	120	43	0.58625	0.57600	0.01025
gemma	bootstrap	120	44	0.61852	0.62007	-0.00155
gemma	bootstrap	120	45	0.61135	0.59538	0.01596
gemma	bootstrap	120	46	0.60225	0.60740	-0.00515
gemma	bootstrap	120	47	0.58547	0.58298	0.00250
gemma	bootstrap	120	48	0.59223	0.57622	0.01601
gemma	bootstrap	120	49	0.62159	0.60061	0.02098
gemma	bootstrap	120	50	0.60418	0.58603	0.01815
gemma	bootstrap	120	51	0.60194	0.60354	-0.00161
gemma	bootstrap	120	52	0.60823	0.61790	-0.00967
gemma	bootstrap	120	53	0.58337	0.57879	0.00458
gemma	bootstrap	120	54	0.59112	0.59784	-0.00673
gemma	bootstrap	120	55	0.61704	0.60975	0.00728
gemma	bootstrap	120	56	0.60104	0.61421	-0.01316
gemma	bootstrap	120	57	0.60881	0.62256	-0.01375
gemma	bootstrap	120	58	0.58298	0.60689	-0.02391
gemma	bootstrap	120	59	0.60984	0.58158	0.02826
gemma	bootstrap	120	60	0.60912	0.60977	-0.00065
gemma	bootstrap	120	61	0.63128	0.61470	0.01657
gemma	bootstrap	120	62	0.60991	0.59376	0.01615
gemma	bootstrap	120	63	0.59198	0.59271	-0.00073
gemma	bootstrap	120	64	0.60485	0.60438	0.00047
gemma	bootstrap	120	65	0.59917	0.59847	0.00071
gemma	bootstrap	120	66	0.59046	0.58984	0.00062
gemma	bootstrap	120	67	0.57170	0.58247	-0.01077
gemma	bootstrap	120	68	0.57926	0.57588	0.00338
gemma	bootstrap	120	69	0.60517	0.60786	-0.00269
gemma	bootstrap	120	70	0.57319	0.59087	-0.01768
gemma	bootstrap	120	71	0.59628	0.58783	0.00845
gemma	bootstrap	120	72	0.60552	0.60731	-0.00179
gemma	bootstrap	120	73	0.62500	0.59433	0.03068
gemma	bootstrap	120	74	0.58903	0.60466	-0.01562
gemma	bootstrap	120	75	0.61125	0.60138	0.00987
gemma	bootstrap	120	76	0.60950	0.60021	0.00928
gemma	bootstrap	120	77	0.57639	0.57872	-0.00233
gemma	bootstrap	120	78	0.59016	0.58404	0.00612
gemma	bootstrap	120	79	0.56712	0.59823	-0.03111
gemma	bootstrap	120	80	0.57844	0.59205	-0.01362
gemma	bootstrap	120	81	0.60518	0.60860	-0.00342
gemma	bootstrap	120	82	0.61747	0.60708	0.01039
gemma	bootstrap	120	83	0.57256	0.57708	-0.00452
gemma	bootstrap	120	84	0.63166	0.61777	0.01389
gemma	bootstrap	120	85	0.60117	0.60880	-0.00763
gemma	bootstrap	120	86	0.61212	0.58786	0.02425
gemma	bootstrap	120	87	0.62917	0.63590	-0.00673
gemma	bootstrap	120	88	0.59367	0.58261	0.01106
gemma	bootstrap	120	89	0.60657	0.61281	-0.00624
gemma	bootstrap	120	90	0.59263	0.63063	-0.03800
gemma	bootstrap	120	91	0.56122	0.58277	-0.02155
gemma	bootstrap	120	92	0.61507	0.60114	0.01393
gemma	bootstrap	120	93	0.60941	0.61927	-0.00986
gemma	bootstrap	120	94	0.59280	0.60111	-0.00832
gemma	bootstrap	120	95	0.59235	0.58424	0.00811
gemma	bootstrap	120	96	0.62392	0.59315	0.03077
gemma	bootstrap	120	97	0.58721	0.59983	-0.01262
gemma	bootstrap	120	98	0.58906	0.57643	0.01263
gemma	bootstrap	120	99	0.60808	0.59983	0.00825
gemma	bootstrap	120	100	0.62584	0.63074	-0.00490
gemma	bootstrap	120	101	0.59022	0.61734	-0.02712
gemma	bootstrap	120	102	0.60239	0.59741	0.00498
gemma	bootstrap	120	103	0.58936	0.61389	-0.02453
gemma	bootstrap	120	104	0.60486	0.59624	0.00862
gemma	bootstrap	120	105	0.61378	0.61970	-0.00592
gemma	bootstrap	120	106	0.60852	0.58822	0.02030
gemma	bootstrap	120	107	0.60115	0.59592	0.00523
gemma	bootstrap	120	108	0.62116	0.59255	0.02861
gemma	bootstrap	120	109	0.61768	0.60338	0.01430
gemma	bootstrap	120	110	0.60968	0.60111	0.00857
gemma	bootstrap	120	111	0.57452	0.55778	0.01674
gemma	bootstrap	120	112	0.60763	0.60094	0.00669
gemma	bootstrap	120	113	0.59169	0.59663	-0.00494
gemma	bootstrap	120	114	0.58950	0.59508	-0.00558
gemma	bootstrap	120	115	0.58638	0.61498	-0.02860
gemma	bootstrap	120	116	0.62422	0.61729	0.00693
gemma	bootstrap	120	117	0.59620	0.59904	-0.00285
gemma	bootstrap	120	118	0.60039	0.60208	-0.00169
gemma	bootstrap	120	119	0.61178	0.59207	0.01971
gemma	bootstrap	120	120	0.62860	0.60670	0.02190
gemma	bootstrap	120	121	0.62997	0.63047	-0.00050
gemma	bootstrap	120	122	0.60945	0.61520	-0.00575
gemma	bootstrap	120	123	0.60696	0.59554	0.01142
gemma	bootstrap	120	124	0.58251	0.57613	0.00639
gemma	bootstrap	120	125	0.59798	0.57994	0.01804
gemma	bootstrap	120	126	0.56902	0.59560	-0.02658
gemma	bootstrap	120	127	0.58962	0.59574	-0.00612
gemma	bootstrap	120	128	0.60182	0.62492	-0.02310
gemma	bootstrap	120	129	0.63904	0.61969	0.01936
gemma	bootstrap	120	130	0.61737	0.57559	0.04178
gemma	bootstrap	120	131	0.61889	0.59706	0.02183
gemma	bootstrap	120	132	0.59114	0.61251	-0.02137
gemma	bootstrap	120	133	0.61831	0.60725	0.01107
gemma	bootstrap	120	134	0.62709	0.62489	0.00219
gemma	bootstrap	120	135	0.61076	0.60169	0.00907
gemma	bootstrap	120	136	0.62140	0.63170	-0.01031
gemma	bootstrap	120	137	0.59151	0.59132	0.00019
gemma	bootstrap	120	138	0.58338	0.59076	-0.00738
gemma	bootstrap	120	139	0.60938	0.59319	0.01619
gemma	bootstrap	120	140	0.59973	0.59613	0.00361
gemma	bootstrap	120	141	0.61909	0.61358	0.00551
gemma	bootstrap	120	142	0.61581	0.61205	0.00377
gemma	bootstrap	120	143	0.59430	0.60360	-0.00929
gemma	bootstrap	120	144	0.58526	0.57950	0.00576
gemma	bootstrap	120	145	0.62115	0.59434	0.02682
gemma	bootstrap	120	146	0.61468	0.62326	-0.00858
gemma	bootstrap	120	147	0.59133	0.60267	-0.01133
gemma	bootstrap	120	148	0.59881	0.60090	-0.00209
gemma	bootstrap	120	149	0.60958	0.62253	-0.01294
gemma	bootstrap	120	150	0.60893	0.59968	0.00925
