first_word	ensemble_pred	ensemble_conf	n_encoders_voting	gt_modal	gt_total_emits	jsd_vs_gt	similarity	argmax_matches_gt_modal	total_emit_count	is_claude	ensemble_p_HP	ensemble_p_LP	ensemble_p_HN-D	ensemble_p_HN-S	ensemble_p_LN	ensemble_p_NB	gt_p_HP	gt_p_LP	gt_p_HN-D	gt_p_HN-S	gt_p_LN	gt_p_NB	gemma_pred	gemma_conf	gemma_intro_v7_primed_pred	gemma_intro_v7_primed_conf	opus_pred	opus_conf
(	LP	0.1668	2	LP	30	0.1914	0.7239	True	30	False	0.1667	0.1668	0.1668	0.1661	0.1668	0.1668	0.1667	0.6	0.0	0.0	0.0667	0.1667	LN	0.167	LP	0.167		
((((;°д°))))	HN-S	0.9346	3	HN-S	3	0.0232	0.9665	True	3	True	0.0141	0.0028	0.0286	0.9346	0.0141	0.0057	0.0	0.0	0.0	1.0	0.0	0.0	HN-S	1.0	HN-S	0.999	HN-S	0.805
(((;°д°)))	HN-S	0.8557	3	HN-S	11	0.0528	0.9238	True	11	True	0.0064	0.003	0.1137	0.8557	0.0152	0.0061	0.0	0.0	0.0	1.0	0.0	0.0	HN-S	0.888	HN-S	0.815	HN-S	0.864
(((;꒪д꒪)))	HN-S	0.8504	3		0				2	True	0.0058	0.0029	0.1061	0.8504	0.029	0.0058							HN-S	0.932	HN-S	0.793	HN-S	0.826
(((o(*°▽°*)o)))	HP	0.6976	3	HP	3	0.1183	0.8293	True	3	True	0.6976	0.094	0.0046	0.194	0.0024	0.0075	1.0	0.0	0.0	0.0	0.0	0.0	HP	0.649	HP	0.775	HP	0.669
(((o(*ﾟ▽ﾟ	HP	0.8193	3	HP	5	0.0671	0.9032	True	5	True	0.8193	0.1177	0.0036	0.0446	0.0022	0.0126	1.0	0.0	0.0	0.0	0.0	0.0	HP	0.928	HP	0.94	HP	0.59
(((o(°▽°)o)))	HP	0.8102	3		0				2	True	0.8102	0.0992	0.0024	0.0076	0.0024	0.0784							HP	0.863	HP	0.899	HP	0.669
((⊂(`ω´∩)	HN-S	0.8043	2		0				0	False	0.0159	0.0054	0.1086	0.8043	0.0658	0.0							HN-S	0.881	HN-S	0.727		
((✿◕‿◕))	HP	0.8275	2		0				0	False	0.8275	0.0062	0.0032	0.155	0.0013	0.0069							HP	0.775	HP	0.88		
()	HN-S	0.4719	2	HN-D	13	0.1146	0.8347	False	13	False	0.1319	0.0118	0.0376	0.4719	0.2271	0.1196	0.0769	0.0	0.3846	0.3846	0.0769	0.0769	HN-S	0.404	HN-S	0.54		
(-_-;)	HN-S	0.7707	2		0				0	False	0.0	0.0	0.2289	0.7707	0.0004	0.0							HN-S	0.863	HN-S	0.679		
(-‸–)	HN-D	0.4531	2	HN-D	3	0.0278	0.96	True	3	False	0.0003	0.0	0.4531	0.1385	0.4065	0.0015	0.0	0.0	0.3333	0.3333	0.3333	0.0	LN	0.662	HN-D	0.644		
(..)	LN	0.5815	2		0				0	False	0.0008	0.0009	0.0158	0.2429	0.5815	0.1581							LN	0.391	LN	0.772		
(._.)	LN	0.9781	2		0				1	False	0.0	0.0001	0.0001	0.0125	0.9781	0.0092							LN	0.969	LN	0.988		
(/≧▽≦)	HN-D	0.7424	2		0				1	False	0.124	0.0155	0.7424	0.0481	0.0438	0.0262							HN-D	0.734	HN-D	0.751		
(/▽＼)	LP	0.4331	2		0				0	False	0.2806	0.4331	0.0023	0.0047	0.0033	0.276							HP	0.449	LP	0.52		
(;'ω';)	HN-S	0.4441	2		0				1	False	0.1799	0.1236	0.03	0.4441	0.1428	0.0795							HN-S	0.531	HN-S	0.358		
(;;)	HN-S	0.9565	2	LN	6	0.62	0.1056	False	6	False	0.0013	0.0014	0.0054	0.9565	0.0331	0.0023	0.0	0.0	0.0	0.0	1.0	0.0	HN-S	0.98	HN-S	0.933		
(;;_;;)	HN-S	0.8354	2		0				2	False	0.0	0.0	0.0021	0.8354	0.1625	0.0							HN-S	0.955	HN-S	0.715		
(;_;)	LN	0.7922	2	LN	3	0.014	0.9798	True	3	False	0.0	0.0	0.0082	0.1996	0.7922	0.0	0.0	0.0	0.0	0.3333	0.6667	0.0	LN	0.791	LN	0.794		
(;`ﾉωﾉ´)	HN-S	0.7592	2		0				1	False	0.0	0.0	0.237	0.7592	0.0	0.0037							HN-S	0.958	HN-S	0.56		
(;´д`)	HN-D	0.3579	3	LN	40	0.0933	0.8654	False	40	True	0.0045	0.0045	0.3579	0.356	0.266	0.0112	0.0	0.0	0.125	0.2	0.675	0.0	HN-S	0.47	HN-D	0.605	LN	0.47
(;´༎ຶд༎ຶ`)	LN	0.575	2	LN	12	0.0314	0.9547	True	12	False	0.0	0.0	0.085	0.3401	0.575	0.0	0.0	0.0	0.0	0.4167	0.5833	0.0	LN	0.6	LN	0.55		
(;´∀`)	NB	0.958	2		0				2	False	0.003	0.0138	0.0135	0.0095	0.0022	0.958							NB	0.926	NB	0.99		
(;´ヮ`)	NB	0.3144	3		0				1	True	0.0165	0.0875	0.0292	0.2663	0.286	0.3144							LN	0.488	NB	0.676	HN-S	0.296
(;´꒳`)	NB	0.5439	2		0				1	False	0.0019	0.1983	0.0047	0.0768	0.1744	0.5439							NB	0.422	NB	0.666		
(;ω;)	HN-S	0.7443	2	LN	47	0.2688	0.6122	False	47	False	0.0	0.0001	0.1015	0.7443	0.1483	0.0058	0.0426	0.0	0.0	0.1702	0.7872	0.0	HN-S	0.81	HN-S	0.679		
(;д;)	HN-S	0.9288	2		0				1	False	0.0	0.0	0.0677	0.9288	0.0035	0.0							HN-S	0.956	HN-S	0.902		
(;′⌒`)	HN-D	0.6029	2	HN-S	25	0.0711	0.8974	False	25	False	0.0	0.0	0.6029	0.3148	0.0812	0.0011	0.0	0.0	0.24	0.56	0.2	0.0	HN-S	0.456	HN-D	0.799		
(;⁎_⁎)	HN-D	0.5713	2		0				1	False	0.0	0.0	0.5713	0.4261	0.0024	0.0002							HN-S	0.579	HN-D	0.725		
(;╹⌓╹)	HN-S	0.7969	3		0				1	True	0.005	0.0075	0.0497	0.7969	0.1033	0.0376							HN-S	0.912	HN-S	0.892	HN-S	0.586
(;へ:)	HN-D	0.4921	2		0				1	False	0.0023	0.0006	0.4921	0.4891	0.0079	0.008							HN-S	0.58	HN-D	0.592		
(;゚д゚)	HN-S	0.9259	3		0				1	True	0.0057	0.0028	0.0226	0.9259	0.0288	0.0141							HN-S	0.99	HN-S	0.983	HN-S	0.805
(;・`O・´)	HN-S	0.5661	2		0				1	False	0.0	0.0	0.431	0.5661	0.0	0.0029							HN-S	0.718	HN-D	0.583		
(;・∀・)	NB	0.7016	3		0				2	True	0.0124	0.0371	0.0361	0.1635	0.0494	0.7016							NB	0.897	NB	0.986	HN-S	0.407
