size	encoders	mean_jsd	similarity	mean_jsd_weighted	similarity_weighted	accuracy	n_correct	kappa
4	gemma,gemma_intro_v7_primed,ministral,opus	0.11618653789010752	0.8323782579678842	0.06636291048410013	0.9042585581456305	0.7037037037037037	38	0.6298200514138818
3	gemma,gemma_intro_v7_primed,opus	0.11774506283155477	0.8301297817637565	0.08984558844282632	0.8703802151077837	0.6851851851851852	37	0.6086956521739131
2	gemma,opus	0.11812526962555883	0.8295812593075346	0.08571670712020478	0.8763369317163489	0.7037037037037037	38	0.6301369863013699
4	gemma,gemma_intro_v7_primed,gpt_oss_20b,opus	0.11892442248916978	0.8284283254342908	0.0752445991955781	0.8914449898868618	0.6851851851851852	37	0.607859888936352
2	gemma_intro_v7_primed,opus	0.1193565336889685	0.8278049207492286	0.08630248932758916	0.8754918266307145	0.7037037037037037	38	0.6293436293436294
5	gemma,gemma_intro_v7_primed,haiku,ministral,opus	0.11993840300556229	0.8269654607717334	0.06873750153062134	0.900832747418675	0.7037037037037037	38	0.6287064890416846
4	gemma,gemma_intro_v7_primed,haiku,opus	0.12114536587834322	0.8252241814206351	0.08555651845380416	0.8765680351109717	0.7037037037037037	38	0.6287064890416846
4	gemma,gemma_intro_v7_primed,haiku,ministral	0.12258262991865179	0.823150647717234	0.07055620908758445	0.8982089070454171	0.7037037037037037	38	0.6307692307692307
5	gemma,gemma_intro_v7_primed,granite,haiku,opus	0.12262561828827415	0.8230886286095639	0.08730961498576416	0.8740388514381133	0.7407407407407407	40	0.6739974126778785
4	gemma,gemma_intro_v7_primed,granite,opus	0.12281633157472915	0.8228134874969636	0.0933554806056237	0.8653165110904609	0.7777777777777778	42	0.7200863930885528
5	gemma,gemma_intro_v7_primed,gpt_oss_20b,haiku,opus	0.12382600170373348	0.8213568414089154	0.07739590182530717	0.8883413162515003	0.7222222222222222	39	0.6514629948364888
5	gemma,gemma_intro_v7_primed,granite,ministral,opus	0.12415644733738318	0.8208801091319655	0.07619522596497537	0.890073525360916	0.7407407407407407	40	0.6742783283067644
4	gemma,gemma_intro_v7_primed,opus,qwen	0.12417376232085776	0.8208551288911736	0.07249602000464404	0.8954103514551129	0.6851851851851852	37	0.6081946222791292
