first_word	n_prompts_HP	mean_log_prob_HP	n_prompts_LP	mean_log_prob_LP	n_prompts_HN-D	mean_log_prob_HN-D	n_prompts_HN-S	mean_log_prob_HN-S	n_prompts_LN	mean_log_prob_LN	n_prompts_NB	mean_log_prob_NB	softmax_HP	softmax_LP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP	total_emit_LP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	argmax_matches_empirical
(	20	-6.938426303863525	20	-6.756160867214203	20	-7.592501068115235	20	-6.856027007102966	20	-7.005169034004211	20	-7.631986355781555	0.1908042174090473	0.2289522116990764	0.09920348039865082	0.20719226101031346	0.17848510144643898	0.09536272803647307	LP	0.2289522116990764	2	False	30.0	LP	5.0	18.0	0.0	0.0	2.0	5.0	True
((((;°д°))))	20	-31.843773555755615	20	-34.496795082092284	20	-34.02624750137329	20	-33.33092193603515	20	-34.02650814056396	20	-35.48473834991455	0.6459212322292589	0.04549743899178795	0.07283551059670657	0.14598869461044975	0.07281652928191724	0.016940594289879724	HP	0.6459212322292589	13	True	3.0	HN-S	0.0	0.0	0.0	3.0	0.0	0.0	False
(((;°д°)))	20	-32.200057411193846	20	-34.68481101989746	20	-34.359274291992186	20	-33.70367298126221	20	-34.35716381072998	20	-35.667863082885745	0.637783115978389	0.05315672753894877	0.07361003791463402	0.14179505095113606	0.0737655545701326	0.019889513046759424	HP	0.637783115978389	11	True	11.0	HN-S	0.0	0.0	0.0	11.0	0.0	0.0	False
(((;꒪д꒪)))	20	-54.23630962371826	20	-55.99434623718262	20	-54.889952659606934	20	-54.631076431274415	20	-55.76934967041016	20	-56.969483375549316	0.37774927397656416	0.06511754788903093	0.19648530470456602	0.2545414959519828	0.08154790447115302	0.024558473006703104	HP	0.37774927397656416	11	True	2.0	HN-S	0.0	0.0	0.0	2.0	0.0	0.0	False
(((o(*°▽°*)o)))	20	-35.21392116546631	20	-38.61255798339844	20	-37.561520957946776	20	-37.28055324554443	20	-37.73217144012451	20	-39.93792304992676	0.7434343387919873	0.024844679634523303	0.07107109086312616	0.09412732323507263	0.05992118849327324	0.0066013789820173864	HP	0.7434343387919873	15	True	3.0	HP	3.0	0.0	0.0	0.0	0.0	0.0	True
(((o(*ﾟ▽ﾟ	20	-31.680608367919923	20	-35.16276931762695	20	-33.318754005432126	20	-33.403670406341554	20	-33.701774215698244	20	-36.12934589385986	0.6460808537171029	0.019861113148037707	0.12555940823931286	0.11533750059712058	0.0856062940208124	0.007554830277613722	HP	0.6460808537171029	9	True	5.0	HP	5.0	0.0	0.0	0.0	0.0	0.0	True
(((o(°▽°)o)))	20	-35.70194091796875	20	-38.31876106262207	20	-37.72219886779785	20	-37.08127384185791	20	-37.38591270446777	20	-39.911213874816895	0.603174584310992	0.044052695237986446	0.07999376796596165	0.15184704892448	0.11197043850583231	0.0089614650547477	HP	0.603174584310992	14	True	2.0	HP	2.0	0.0	0.0	0.0	0.0	0.0	True
((⊂(`ω´∩)	20	-45.21541194915771	20	-48.349230003356936	20	-48.42822818756103	20	-47.55188388824463	20	-47.77719631195068	20	-50.32020893096924	0.7913289964028641	0.03446332626218916	0.03184554722040136	0.07649626123277627	0.06106442431455781	0.004801444567211424	HP	0.7913289964028641	11	False	0.0		0.0	0.0	0.0	0.0	0.0	0.0	
((✿◕‿◕))	20	-48.05789489746094	20	-50.338613510131836	20	-50.256950759887694	20	-49.76164531707764	20	-50.32287731170654	20	-50.8553804397583	0.6410612943992395	0.0655233431267344	0.07109871140955842	0.11667294233600521	0.06656258688325364	0.03908112184520887	HP	0.6410612943992395	8	False	0.0		0.0	0.0	0.0	0.0	0.0	0.0	
()	20	-15.544957304000855	20	-15.592090892791749	20	-16.966962337493896	20	-15.628132581710815	20	-16.302117013931273	20	-15.968854331970215	0.2359120657673702	0.225050662634035	0.05690903406357188	0.21708388707062326	0.1106419622868878	0.15440238817751198	HP	0.2359120657673702	3	False	13.0	HN-D	1.0	0.0	5.0	5.0	1.0	1.0	False
