first_word	n_prompts_HP	mean_log_prob_HP	n_prompts_LP	mean_log_prob_LP	n_prompts_HN-D	mean_log_prob_HN-D	n_prompts_HN-S	mean_log_prob_HN-S	n_prompts_LN	mean_log_prob_LN	n_prompts_NB	mean_log_prob_NB	softmax_HP	softmax_LP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP	total_emit_LP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	argmax_matches_empirical
(	20	-8.444528317451477	20	-7.3082575559616085	20	-7.397150564193725	20	-7.063892579078674	20	-7.7068212032318115	20	-7.354254722595215	0.062465059696608705	0.1945867573956146	0.178035881034269	0.24845036668482548	0.1306228900398866	0.1858390451487955	HN-S	0.24845036668482548	1	False	30	LP	5	18	0	0	2	5	False
(((;°д°)))	20	-31.66473035812378	20	-31.760806560516357	20	-31.101482391357422	20	-30.84220418930054	20	-32.76939029693604	20	-33.03168773651123	0.15320480933563807	0.13917045084468566	0.2690840047347899	0.3487313371541794	0.050760358756988117	0.03904903917371883	HN-S	0.3487313371541794	10	True	2	HN-S	0	0	0	2	0	0	True
(((o(*°▽°*)o)))	20	-87.13691940307618	20	-86.7396255493164	20	-85.65558891296386	20	-85.64619255065918	20	-86.85054206848145	20	-87.28020668029785	0.073937103512769	0.1100031094389092	0.32523411256929324	0.32830453292488115	0.09845426384065421	0.06406687771349333	HN-S	0.32830453292488115	14	True	1	HP	1	0	0	0	0	0	False
((⊂(`ω´∩)	20	-92.50068817138671	20	-93.8709156036377	20	-93.04415855407714	20	-91.90709075927734	20	-93.63465843200683	20	-93.3358600616455	0.22723029995970181	0.05772767001398779	0.13195931531450114	0.41139813856082114	0.07311209269610804	0.09857248345488018	HN-S	0.41139813856082114	10	False	0		0	0	0	0	0	0	
((✿◕‿◕))	20	-49.56097202301025	20	-49.14215087890625	20	-47.93601360321045	20	-47.06385955810547	20	-49.04887809753418	20	-48.47205123901367	0.04100782234204168	0.06233879729231118	0.20824624655447885	0.4981370810212011	0.06843310938260626	0.12183694340736105	HN-S	0.4981370810212011	5	False	0		0	0	0	0	0	0	
(-_-;)	20	-23.523152542114257	20	-23.904790306091307	20	-24.219811820983885	20	-23.429906368255615	20	-24.375679683685302	20	-24.55543909072876	0.24622966821842213	0.16811141549400585	0.1226832011208603	0.27029417012684887	0.10497661063241207	0.08770493440745071	HN-S	0.27029417012684887	6	False	0		0	0	0	0	0	0	
(-‸–)	20	-58.70896396636963	20	-58.1051118850708	20	-57.91764373779297	20	-56.87639198303223	20	-58.46017360687256	20	-58.4504810333252	0.07213530906340974	0.13194639336123656	0.15915266144807624	0.45084140746425344	0.0925115967933943	0.0934126318696297	HN-S	0.45084140746425344	5	False	1	LN	0	0	0	0	1	0	False
(..)	20	-19.31131591796875	20	-17.839123439788818	20	-17.850824785232543	20	-17.03413815498352	20	-17.910590171813965	20	-17.932052421569825	0.036435045732124825	0.15881239254609608	0.15696490401097082	0.35520989535585	0.14785866517288318	0.14471909718207504	HN-S	0.35520989535585	4	False	0		0	0	0	0	0	0	
(._.)	20	-24.09158935546875	20	-23.422102451324463	20	-23.596067428588867	20	-23.239335441589354	20	-23.7323260307312	20	-23.605371475219727	0.10002056542079431	0.19536365577345466	0.16416922341626514	0.23454084056907987	0.1432568458224793	0.16264886899792688	HN-S	0.23454084056907987	5	False	1	LN	0	0	0	0	1	0	False
(/≧▽≦)	20	-45.43367805480957	20	-44.95601615905762	20	-45.08970394134521	20	-44.38265514373779	20	-45.46376113891601	20	-45.373236083984374	0.11215679901303481	0.1808304368431308	0.15820188916286573	0.320833017950112	0.10883302198926792	0.11914483504158874	HN-S	0.320833017950112	4	False	1	LP	0	1	0	0	0	0	False
(/▽＼)	20	-52.64503631591797	20	-52.41141681671142	20	-52.381711769104	20	-51.76251697540283	20	-52.974800491333006	20	-53.11751003265381	0.13653842974191766	0.17247039710833667	0.17767049060760173	0.33001082339422444	0.09818386910722784	0.08512599004069182	HN-S	0.33001082339422444	5	False	0		0	0	0	0	0	0	
(;'ω';)	20	-36.80977077484131	20	-37.524502182006835	20	-37.03197612762451	20	-36.687744140625	20	-37.583265495300296	20	-38.313102340698244	0.24368582956183907	0.11924120861163325	0.19513165002468164	0.2753123981255423	0.11243610350257421	0.054192810173729525	HN-S	0.2753123981255423	7	False	1	HN-S	0	0	0	1	0	0	True
(;;)	20	-19.135776805877686	20	-17.735344219207764	20	-17.85414323806763	20	-17.4095498085022	20	-18.24841685295105	20	-18.954237937927246	0.0558451540274626	0.22656125294325985	0.2011832776949869	0.3138169177874594	0.13563164344755038	0.06696175409928089	HN-S	0.3138169177874594	4	False	6	LN	0	0	0	0	6	0	False
(;;_;;)	20	-31.158645629882812	20	-31.14961709976196	20	-30.81388931274414	20	-30.14475336074829	20	-31.325260734558107	20	-32.73094606399536	0.13829123522974204	0.1395454551740032	0.19521825298368284	0.3811733012908741	0.1170670393885838	0.02870471593311405	HN-S	0.3811733012908741	7	False	2	HN-S	0	0	0	2	0	0	True
(;_;)	20	-21.15928783416748	20	-20.646028232574462	20	-20.46027774810791	20	-20.156644439697267	20	-20.947159671783446	20	-21.44890966415405	0.1064643193995972	0.17787294468153358	0.21418068601744678	0.29016603521623024	0.13162251123602386	0.07969350344916827	HN-S	0.29016603521623024	5	False	3	LN	0	0	0	1	2	0	False
(;`ﾉωﾉ´)	20	-47.37330646514893	20	-46.78787841796875	20	-47.734994888305664	20	-47.207486915588376	20	-47.74758243560791	20	-47.5658519744873	0.1616746184697476	0.29032873056055125	0.11260626620763976	0.19083426656230032	0.11119771321720971	0.1333584049825515	LP	0.29032873056055125	9	False	1	LP	0	1	0	0	0	0	True
(;´д`)	20	-19.867180252075194	20	-19.74137487411499	20	-20.229308605194092	20	-19.56378116607666	20	-20.502706241607665	20	-20.19238166809082	0.18393348382027058	0.20859187032147017	0.12805320455672148	0.24912960854136348	0.0974216243326719	0.13287020842750238	HN-S	0.24912960854136348	7	False	38	LN	0	0	5	6	27	0	False
(;´༎ຶд༎ຶ`)	20	-88.31001243591308	20	-89.2270637512207	20	-89.67636756896972	20	-88.92879447937011	20	-90.1656494140625	20	-89.8519271850586	0.3900680752760141	0.15590860350244976	0.09948094744100912	0.21009067692965905	0.06098843754301875	0.08346325930784929	HP	0.3900680752760141	9	False	12	LN	0	0	0	5	7	0	False
(;´∀`)	20	-23.057458877563477	20	-23.01698818206787	20	-23.70349359512329	20	-23.005741310119628	20	-23.800095748901366	20	-23.286530685424804	0.20451453875391346	0.21296115168137247	0.10719014887026071	0.21536981807581027	0.0973197740089885	0.1626445686096546	HN-S	0.21536981807581027	7	False	2	LN	0	0	0	0	2	0	False
(;´꒳`)	20	-64.49357681274414	20	-64.96894474029541	20	-65.56153812408448	20	-64.62551250457764	20	-65.68541088104249	20	-65.58787536621094	0.2873397812452393	0.17862658235142076	0.09876113045838089	0.2518238236300173	0.08725469355602995	0.09619398875891182	HP	0.2873397812452393	7	False	1	LN	0	0	0	0	1	0	False
(;ω;)	20	-22.49762840270996	20	-21.971299171447754	20	-22.038360595703125	20	-21.729081439971925	20	-22.420609855651854	20	-22.74667387008667	0.12060021961971489	0.20414087854640414	0.19089984377238256	0.26009008924318777	0.13025572744962274	0.09401324136868784	HN-S	0.26009008924318777	5	False	47	LN	2	0	0	8	37	0	False
(;д;)	20	-18.493187952041627	20	-18.29909586906433	20	-18.797334814071654	20	-17.948064661026002	20	-18.808387088775635	20	-19.04533429145813	0.16716431511736998	0.20297226305671168	0.12332589317105662	0.2883285252110349	0.1219703661485479	0.09623863729527896	HN-S	0.2883285252110349	5	False	1	HN-S	0	0	0	1	0	0	True
(;′⌒`)	20	-70.66432266235351	20	-70.24635963439941	20	-70.38092651367188	20	-69.503218460083	20	-71.0819522857666	20	-72.36888580322265	0.12689693475741837	0.1927392516251251	0.16847230399871344	0.4052399747639895	0.08357509727479423	0.023076437579959252	HN-S	0.4052399747639895	6	False	25	HN-S	0	0	6	14	5	0	True
(;⁎_⁎)	20	-74.04198417663574	20	-73.8838020324707	20	-74.1065902709961	20	-72.74706420898437	20	-74.59214057922364	20	-74.52565307617188	0.1257403457360745	0.14728966774736657	0.11787360875882479	0.4590407564895218	0.07253452315526367	0.0775210981129486	HN-S	0.4590407564895218	6	False	1	HN-S	0	0	0	1	0	0	True
(;╹⌓╹)	20	-48.76297111511231	20	-48.0950511932373	20	-47.80788040161133	20	-46.82504463195801	20	-48.28479194641113	20	-48.96335582733154	0.06700180945715505	0.13066535956255196	0.17413142659358788	0.465283133251992	0.10808292910482518	0.05483534202988784	HN-S	0.465283133251992	4	True	1	LN	0	0	0	0	1	0	False
(;へ:)	20	-34.37050542831421	20	-33.41748561859131	20	-33.30543298721314	20	-33.20557985305786	20	-33.547991847991945	20	-35.02761182785034	0.08003312476627411	0.2075682950472333	0.23218002710573482	0.2565609309103413	0.18217252704931297	0.0414850951211035	HN-S	0.2565609309103413	5	False	1	HP	1	0	0	0	0	0	False
(;・`O・´)	20	-43.715446853637694	20	-43.46312713623047	20	-43.1008415222168	20	-42.735843658447266	20	-43.67938232421875	20	-44.694624710083005	0.12177782120361966	0.15672896315799423	0.22515827023651822	0.3243429494543204	0.1262498368894255	0.04574215905812195	HN-S	0.3243429494543204	9	False	1	HN-S	0	0	0	1	0	0	True
(;・∀・)	20	-24.067264366149903	20	-23.341205501556395	20	-23.759887981414796	20	-23.159679889678955	20	-23.83431558609009	20	-23.97585563659668	0.10795482799335761	0.22313383422204489	0.1468026642773123	0.2675475631716539	0.1362731953791004	0.11828791495653085	HN-S	0.2675475631716539	6	False	0		0	0	0	0	0	0	
(;一_一)	20	-29.61668405532837	20	-30.624567890167235	20	-30.379401302337648	20	-30.536039733886717	20	-30.90348701477051	20	-32.173099517822266	0.3870121192995898	0.1412557636393151	0.18050144107747304	0.15433110548332582	0.10687426490131505	0.030025305598981138	HP	0.3870121192995898	6	False	2	HN-S	0	0	0	1	1	0	False
(;︵;)	20	-28.5186559677124	20	-28.257469367980956	20	-27.70485363006592	20	-27.34445791244507	20	-28.350150394439698	20	-30.011565971374512	0.10871052579420352	0.14115734957604173	0.24530220998007984	0.35173803442312457	0.12866269290286209	0.024429187323688272	HN-S	0.35173803442312457	5	True	1	HN-D	0	0	1	0	0	0	False
(;﹏;)	20	-21.15928783416748	20	-20.646028232574462	20	-20.46027774810791	20	-20.156644439697267	20	-20.947159671783446	20	-21.44890966415405	0.1064643193995972	0.17787294468153358	0.21418068601744678	0.29016603521623024	0.13162251123602386	0.07969350344916827	HN-S	0.29016603521623024	5	False	1	HN-S	0	0	0	1	0	0	True
(;￣д￣)	20	-78.79847946166993	20	-78.9927978515625	20	-79.10159339904786	20	-77.93559837341309	20	-79.57581672668456	20	-79.20367279052735	0.16506101464655387	0.13591052997168762	0.12190002650328392	0.39119113604810474	0.07586670556235378	0.11007058726801587	HN-S	0.39119113604810474	8	False	0		0	0	0	0	0	0	
(=^-^=)	20	-22.23237552642822	20	-22.19695520401001	20	-22.745125579833985	20	-22.04996175765991	20	-22.14608688354492	20	-23.596678256988525	0.19302440855711306	0.19998392184357122	0.11559198231663262	0.23165065024751763	0.21041994941910497	0.049329087616060675	HN-S	0.23165065024751763	7	False	6	LP	0	2	0	1	2	1	False
(=^-ω-^=)	20	-33.224637031555176	20	-33.181704711914065	20	-32.982856369018556	20	-32.28021869659424	20	-32.559277820587155	20	-34.148069095611575	0.12149129870778048	0.126820787048819	0.154720970944368	0.3123926779414162	0.2363235535297238	0.048250711827892596	HN-S	0.3123926779414162	9	False	22	NB	2	4	3	4	3	6	False
(=^-ω^-=)	20	-56.44564914703369	20	-55.83275184631348	20	-55.6642370223999	20	-54.18963813781738	20	-55.0909236907959	20	-56.862400436401366	0.05232822279653398	0.09658593778736897	0.11431387825412428	0.4994696660214056	0.20280832366345505	0.03449397147711223	HN-S	0.4994696660214056	9	False	1	LP	0	1	0	0	0	0	False
(=^_^=)	20	-21.901145458221436	20	-21.902035808563234	20	-22.457936668395995	20	-21.710764408111572	20	-21.93500108718872	20	-23.29030132293701	0.20008555178588094	0.19990748482921053	0.11465800451598784	0.2420455869214147	0.19342491578506923	0.04987845616243674	HN-S	0.2420455869214147	7	False	2	LP	0	1	0	0	1	0	False
(=^・^=)	20	-21.517483234405518	20	-21.55362253189087	20	-21.926721477508544	20	-21.436492824554442	20	-21.62513828277588	20	-23.61034564971924	0.21122476729615466	0.20372754080470099	0.14028619293424488	0.2290437937154119	0.1896665946924815	0.02605111055700596	HN-S	0.2290437937154119	7	False	1	LP	0	1	0	0	0	0	False
(=^・ω・^=)	20	-23.960405826568604	20	-24.307843017578126	20	-24.713095664978027	20	-23.79094066619873	20	-24.068911647796632	20	-26.17884531021118	0.22892632823869016	0.1617356237579611	0.10784665991582094	0.27120239886947284	0.20538667455754853	0.024902314660506412	HN-S	0.27120239886947284	9	False	19	LP	0	13	1	0	1	4	False
(=^・ｪ・^=)	20	-26.91624250411987	20	-26.5898588180542	20	-27.637590599060058	20	-26.652585220336913	20	-27.01452007293701	20	-29.101836681365967	0.19258420765490752	0.2669115116709159	0.09361451118556169	0.25068339895993813	0.17455780222297704	0.021648568305699594	LP	0.2669115116709159	9	False	0		0	0	0	0	0	0	
(=`ω´=)	20	-27.383207988739013	20	-27.02568874359131	20	-27.26818962097168	20	-26.311329460144044	20	-26.789686298370363	20	-27.474445056915282	0.1087466284493445	0.15548354589978008	0.12200219477017213	0.31763381538436425	0.19686975286140948	0.09926406263492941	HN-S	0.31763381538436425	8	False	0		0	0	0	0	0	0	
(=ↀωↀ=)	20	-77.64786643981934	20	-78.09308471679688	20	-77.82797737121582	20	-76.81044540405273	20	-78.23504676818848	20	-79.12472839355469	0.1795168257891211	0.11501363235378476	0.14992842433674847	0.4147558261246273	0.09979205911371808	0.040993232282000296	HN-S	0.4147558261246273	7	False	1	LP	0	1	0	0	0	0	False
(=⌒‿‿⌒=)	20	-49.50649223327637	20	-49.05038909912109	20	-49.11146411895752	20	-48.0841646194458	20	-49.44805908203125	20	-50.10063247680664	0.10181939692507735	0.1606621575039304	0.1511433523573538	0.4222207321846637	0.10794628872006796	0.05620807230890679	HN-S	0.4222207321846637	5	False	0		0	0	0	0	0	0	
(>^_^)	20	-34.60713901519775	20	-34.968505859375	20	-34.939351654052736	20	-34.38330268859863	20	-34.664222240448	20	-35.185519981384275	0.19341441483645855	0.13475634149404422	0.13874288543730118	0.24193556748368378	0.18268290472136536	0.10846788602714685	HN-S	0.24193556748368378	6	False	1	LP	0	1	0	0	0	0	False
(>_<)	20	-24.346685695648194	20	-25.43180093765259	20	-25.37589511871338	20	-24.563983821868895	20	-25.411915874481203	20	-25.950498580932617	0.32834049086554656	0.11093405324569285	0.11731254861958386	0.2642123208706472	0.11316206253977676	0.0660385238587528	HP	0.32834049086554656	5	False	44	HN-S	0	2	8	31	2	1	False
(>_<;)	20	-27.957297229766844	20	-29.092816829681396	20	-28.787582397460938	20	-28.09021873474121	20	-28.998090553283692	20	-29.771147060394288	0.3175698415815347	0.10202094830254183	0.1384366194979005	0.2780431347575816	0.11215753484272754	0.05177192101771385	HP	0.3175698415815347	6	False	13	HN-S	0	0	0	13	0	0	False
(>ω<)	20	-23.953626823425292	20	-24.33560667037964	20	-24.158279705047608	20	-23.739841079711915	20	-24.479588985443115	20	-25.154818630218507	0.2160938870225752	0.14748598118259368	0.17610142258786327	0.26760144259449115	0.1277085626143511	0.06500870399812567	HN-S	0.26760144259449115	5	False	0		0	0	0	0	0	0	
(>ω<*	20	-27.166126918792724	20	-28.260606384277345	20	-28.14577980041504	20	-27.652341175079346	20	-28.34208927154541	20	-29.3610689163208	0.36429976311779017	0.12193615502544819	0.1367732126637043	0.22402615254841715	0.11239446596067984	0.040570250683960106	HP	0.36429976311779017	5	False	1	HP	1	0	0	0	0	0	True
(>‿◠)	20	-52.312737464904785	20	-52.11251678466797	20	-51.52841167449951	20	-50.52919235229492	20	-52.439933967590335	20	-52.30810203552246	0.08164115592921106	0.0997387409718524	0.17887000037563924	0.4858396393710574	0.0718899871330295	0.0820204762192103	HN-S	0.4858396393710574	4	False	3	HN-S	0	0	0	2	1	0	True
(>‿◼︵◼<)	20	-92.5067253112793	20	-93.6338924407959	20	-92.17810935974121	20	-91.30974884033203	20	-93.19457130432129	20	-93.37135734558106	0.14394802796444447	0.046631915468216135	0.19995018670569745	0.47648144800960357	0.07235657484428325	0.060631847007755084	HN-S	0.47648144800960357	7	False	1	LP	0	1	0	0	0	0	False
(>∀<☆)	20	-40.21128635406494	20	-40.693771553039554	20	-40.871178436279294	20	-40.40741539001465	20	-40.77632446289063	20	-41.18212261199951	0.25620230976352115	0.15814023551412656	0.1324327967841624	0.2105742597756952	0.14560963325894868	0.097040764903546	HP	0.25620230976352115	6	True	1	HP	1	0	0	0	0	0	True
