first_word	n	median_within_consistency	dominant_quadrant	HP_n	LP_n	HN_n	LN_n	NB_n
(🔥💨)	5	1.0000001192092896	HN-S	0	0	0	0	0
(💪🔥)	4	1.0	HP	4	0	0	0	0
(🏃♂️💨🔥)	3	1.0	HP	3	0	0	0	0
(☕️)	6	0.9992533326148987	NB	0	0	0	0	6
(😅)	3	0.9967819452285767	NB	0	0	0	0	3
(🍞✨)	3	0.9953610897064209	LP	0	2	0	0	1
(😬✋)	3	0.9920148849487305	HN-S	0	0	0	0	0
(😔)	4	0.9917107224464417	HN-D	0	0	0	0	0
(😡✊)	5	0.9901545643806458	HN-D	0	0	0	0	0
(≧▽≦)	7	0.9836016297340393	HP	6	1	0	0	0
(＾ｖ＾)	3	0.9819779992103577	NB	0	0	0	1	2
(＾ｏ＾;)	4	0.9815984964370728	LN	0	0	0	4	0
(☠️_☠️)	3	0.9814213514328003	HN-D	0	0	0	0	0
(⊙_⊙;)	3	0.9802908301353455	LN	0	0	0	3	0
(Ｔ▽Ｔ)	6	0.979520857334137	HN-D	0	0	0	2	0
(｡♥‿♥｡)	15	0.9779916405677795	LP	3	7	0	2	3
(ﾉﾟ∀ﾟ)	4	0.9769431352615356	HN-S	0	0	0	0	0
(╥_╥;)	16	0.9768210649490356	LN	0	0	0	10	0
(＾ｖ＾;)	6	0.9765233993530273	LN	0	0	0	4	0
(╯°□°)	68	0.9758872985839844	HN-D	1	1	0	6	4
(´;ω;`)	5	0.9758177995681763	LN	0	0	0	4	0
(≧‿≦)	20	0.9754687547683716	LP	8	9	0	1	2
(✿◠‿◠)	14	0.975251317024231	HP	9	5	0	0	0
(✧‿✧)	7	0.9745059013366699	LP	1	4	0	0	1
(︿︿)	3	0.9737562537193298	LN	0	0	0	3	0
(╥﹏╥)	86	0.9725658893585205	HN-D	0	1	0	33	2
(＾▽＾)	9	0.9716849327087402	HP	4	2	0	0	2
(◕‿◕✿)	239	0.9707329869270325	LP	52	79	0	18	68
(｡・́︿・̀｡)	20	0.9679035544395447	LN	4	1	0	7	4
(⊙﹏⊙)	3	0.9677397608757019	HN-D	0	0	0	1	0
(╥_╥)	38	0.9672112464904785	HN-D	0	0	0	11	2
(ﾉ◕ヮ◕)	80	0.9656147360801697	NB	18	15	0	12	22
(￣▽￣)	6	0.9621433019638062	LN	0	0	0	4	2
(╯✧▽✧)	35	0.9610124230384827	HN-D	9	4	0	3	4
