first_word	source	n	taxonomy_label	happy.sad	angry.calm	confident.uncertain	warm.clinical	humorous.serious
( . . )	steered_sad	10	-1	-0.3228415265679355	0.2211248204112048	0.11648626103997191	-0.08967107636854031	0.2846169695258135
( . . . )	steered_sad	7	-1	-0.4149694272450035	0.29941651225089977	0.0905569115919723	-0.20421859089817287	0.3649135487420215
( . .)	steered_sad	20	-1	-0.34153115972876497	0.2291189648210999	0.10718607404269238	-0.11341309566050742	0.3007998442510138
( ´ ▽ ` )	v3_LP	9	0	-0.17479263659980535	0.10383049895366003	0.13839900079700657	0.014860674531923666	0.22049355129193904
( ☁️ )	steered_calm	3	0	-0.15995467205842304	-0.060642247456902006	0.15985788404941534	0.085951730919381	0.15519029895464534
( 🌿 )	steered_calm	9	0	-0.12630328122112447	-0.058606155009733124	0.11776858940720501	0.06580248826907702	0.11172020994126747
(._.)	steered_sad	64	-1	-0.2395274856826286	0.11680785575299492	0.10627292997378338	-0.02366132911993188	0.1949646711000237
(๑˃ gören)	steered_angry	3	0	-0.17433892438809004	0.26873979469140336	0.068758575866619	-0.063621800703307	0.23200836777687037
(๑˃stagram)	steered_angry	3	0	-0.15193760891755367	0.25136984884738905	0.053320116053024336	-0.06251499087860167	0.2168157249689097
(๑˃ᴗ˂)	steered_calm	5	0	-0.1040974713861936	-0.028535262495279	0.109881223738193	0.0432329410687084	0.11110518500208821
(๑˃ᴗ˂)	v3_HP	5	0	-0.1886490583419796	0.18940989375114384	0.11684615910053202	-0.0504269882105288	0.24192651510238602
(๑˃ᴗ˂)ﻭ	kaomoji_prompted	16	1	-0.2576421904377634	0.2517440887168043	0.13960288837552032	-0.11731346869055394	0.29814251046627704
(๑˃ᴗ˂)ﻭ	v3_HP	80	1	-0.20357516431249628	0.1716440333751959	0.12715469030663326	-0.05536997190793021	0.24729606695473144
(๑˃ᴗ˂)ﻭ	v3_LP	40	1	-0.2460324309766288	0.21875931574031665	0.11572237098589486	-0.10416630990803202	0.28738258145749523
(๑˃ᴗ˃)	steered_happy	15	1	-0.0026730710019668017	0.0193146544663854	0.11306919728716167	0.07613331995283555	0.10241032987832986
(๑˃😡)	steered_angry	3	0	-0.17603170126676468	0.311147361993789	0.06656801824768367	-0.08625517754505067	0.24340747048457403
(⊙_⊙)	v3_HN	30	0	-0.16855599302798477	0.07446487070992575	0.13432042002677871	0.024062911048531595	0.199326416253461
