first_word	n	median_within_consistency	dominant_quadrant	HP_n	LP_n	HN_n	LN_n	NB_n
(°ロ°)	3	0.9926121830940247	HN-S	0	0	0	0	0
(✧ω✧)	10	0.9910607933998108	HP	9	1	0	0	0
(ಠ_ಠ)	5	0.9908592700958252	HN-D	0	0	0	0	0
(;;)	6	0.9904913902282715	LN	0	0	0	6	0
(╯°□°)	85	0.9896066188812256	HN-D	5	0	0	0	0
(ﾉ>ω<)	34	0.9892278909683228	HP	32	1	0	0	1
(｡・ω・｡)	3	0.9889518618583679	LP	0	3	0	0	0
(´;ω;`)	5	0.9869946241378784	LN	0	0	0	4	0
(;ω;)	47	0.9866304993629456	LN	2	0	0	37	0
(>﹏<｡)	7	0.9863495826721191	HN-S	0	0	0	0	0
(^_^)	3	0.9862793684005737	NB	0	0	0	0	3
(ﾉ◕ヮ◕)	42	0.9859427213668823	HP	40	1	0	0	1
(T_T)	20	0.9859342575073242	LN	0	0	0	16	0
(>_<;)	13	0.985531210899353	HN-S	0	0	0	0	0
(;_;)	3	0.9853971004486084	LN	0	0	0	2	0
(;´д`)	38	0.9838796854019165	LN	0	0	0	27	0
(˃⌑˂)	5	0.983531653881073	LN	0	0	0	3	0
(⌐■_■)	4	0.9833962917327881	NB	0	0	0	0	4
(｡・́︿・̀｡)	29	0.9833741188049316	LN	1	0	0	20	1
(๑・̀ㅂ・́)	5	0.9825568199157715	LP	0	4	0	0	1
(๑><๑)	3	0.9821819067001343	LP	0	3	0	0	0
(╥﹏╥)	28	0.982160210609436	HN-D	1	0	0	0	0
(｡♥‿♥｡)	5	0.9818997383117676	LP	0	5	0	0	0
(・_・)	6	0.981235921382904	NB	0	0	0	0	6
(;′⌒`)	25	0.980530321598053	HN-S	0	0	0	5	0
(¬_¬)	14	0.9803634881973267	HN-D	0	0	0	1	3
(╥_╥)	27	0.9801900386810303	HN-D	0	0	0	8	0
(꒪ꇴ꒪)	3	0.9791914820671082	HN-S	0	0	0	0	0
(≧▽≦)	21	0.9789600968360901	HP	15	4	0	0	2
(>_<)	37	0.9789441823959351	HN-S	0	2	0	2	1
(´▽`ʃ♡ƪ)	7	0.9786007404327393	LP	0	6	0	0	1
(￣▽￣)	3	0.9782766103744507	NB	0	1	0	0	2
(・̀ω・́)	5	0.9782417416572571	NB	0	0	0	0	4
(>﹏<)	17	0.9780201315879822	HN-S	0	0	0	0	0
(・ω・)	6	0.9776251912117004	NB	0	1	0	0	5
(◕‿◕)	9	0.977526843547821	NB	0	0	0	0	9
(✿◠‿◠)	8	0.9772787094116211	LP	1	7	0	0	0
(⁄	7	0.9771407842636108	LP	3	4	0	0	0
(・∀・)	13	0.9769700169563293	NB	0	0	0	0	13
(=^・ω・^=)	13	0.9768333435058594	LP	0	11	0	0	2
(´｡・‿・｡`)	7	0.9762792587280273	LP	0	6	0	0	1
(๑>‿<๑)	5	0.9761714339256287	LP	0	5	0	0	0
(¬‿¬)	10	0.9757970571517944	NB	0	0	0	2	8
(・‿・)	3	0.9751520752906799	NB	0	1	0	0	2
(⊙_⊙;)	10	0.9745227098464966	HN-S	2	0	0	0	0
(;´༎ຶд༎ຶ`)	12	0.9740287065505981	LN	0	0	0	7	0
(^_−)	3	0.9736455678939819	NB	0	1	0	0	2
(・̀‿・́)	9	0.9727373123168945	NB	0	0	0	0	9
(˘³˘)	27	0.9676652550697327	LP	0	16	0	1	9
(・_・ヾ	3	0.9665106534957886	NB	0	0	0	0	2
(≧‿≦)	42	0.9645644426345825	LP	17	20	0	0	5
(◕‿◕✿)	23	0.964236855506897	LP	3	11	0	0	9
(・_・;)	19	0.9625989198684692	NB	0	0	0	1	10
(´・ω・`)	50	0.9610235691070557	NB	0	18	0	7	19
