model	rule	probe	aggregate	n_d	n_s	expected	diff	ci_lo	ci_hi	cohens_d	directional	ci_excludes_zero
gemma	rule3b	fearful.unflinching	t0	160	160	+ (S > D)	0.005896070599555936	0.005113837183453153	0.006729588084854176	1.6019462330974443	True	True
gemma	rule3b	fearful.unflinching	tlast	160	160	+ (S > D)	0.016285230964422248	-8.770170970820925e-05	0.031439727778779306	0.22483295886815244	True	False
gemma	rule3b	fearful.unflinching	mean	160	160	+ (S > D)	0.016285230964422248	-8.770170970820925e-05	0.031439727778779306	0.22483295886815244	True	False
gemma	rule3a	powerful.powerless	t0	160	160	+ (D > S)	0.005762673914432526	0.005087239556014559	0.006427688389085265	1.8492404158411646	True	True
gemma	rule3a	powerful.powerless	tlast	160	160	+ (D > S)	0.013724150831694718	-0.011321714700316085	0.04141832904031617	0.11301648917186359	True	False
gemma	rule3a	powerful.powerless	mean	160	160	+ (D > S)	-0.08073570756241683	-0.09058986923890189	-0.07052479619625955	-1.7597528714669135	False	True
qwen	rule3b	fearful.unflinching	t0	160	160	+ (S > D)	0.007307891547679898	0.006537381416419515	0.00803159807692281	2.1407141942837806	True	True
qwen	rule3b	fearful.unflinching	tlast	160	160	+ (S > D)	-0.006103106332011526	-0.009419838302419518	-0.0023147884273203097	-0.3632287907717819	False	True
qwen	rule3b	fearful.unflinching	mean	160	160	+ (S > D)	-0.006103106332011526	-0.009419838302419518	-0.0023147884273203097	-0.3632287907717819	False	True
qwen	rule3a	powerful.powerless	t0	160	160	+ (D > S)	-0.0014583699405193162	-0.0019498710776679272	-0.0010003640013746757	-0.6845220305188059	False	True
qwen	rule3a	powerful.powerless	tlast	160	160	+ (D > S)	0.014148055529221895	0.00992691697785631	0.018357167926151288	0.7646690831817579	True	True
qwen	rule3a	powerful.powerless	mean	160	160	+ (D > S)	-0.014654979854822142	-0.016541347777238105	-0.012747920661931839	-1.6641183231086683	False	True
ministral	rule3b	fearful.unflinching	t0	160	160	+ (S > D)	0.0039779264479875565	0.0028882976341992484	0.005118150339694693	0.7856903844928699	True	True
ministral	rule3b	fearful.unflinching	tlast	160	160	+ (S > D)	0.01507440207060426	0.00887600655783899	0.021283681316999727	0.5542323371753427	True	True
ministral	rule3b	fearful.unflinching	mean	160	160	+ (S > D)	0.01507440207060426	0.00887600655783899	0.021283681316999727	0.5542323371753427	True	True
ministral	rule3a	powerful.powerless	t0	160	160	+ (D > S)	-0.0016765061765909167	-0.003006841895403338	-0.00028115876251831405	-0.26775316215161876	False	True
ministral	rule3a	powerful.powerless	tlast	160	160	+ (D > S)	-0.01147850081906654	-0.01573949489829829	-0.0072732294902380125	-0.5895817784311308	False	True
ministral	rule3a	powerful.powerless	mean	160	160	+ (D > S)	-0.005036327289417386	-0.007603735812008386	-0.0023476790159475134	-0.4230265674947522	False	True
