first_word	gemma_emit_count	gemma_emit_HP	gemma_emit_LP	gemma_emit_HN-D	gemma_emit_HN-S	gemma_emit_LN	gemma_emit_NB	gemma_modal	gemma_modal_frac	qwen_emit_count	qwen_emit_HP	qwen_emit_LP	qwen_emit_HN-D	qwen_emit_HN-S	qwen_emit_LN	qwen_emit_NB	qwen_modal	qwen_modal_frac	ministral_emit_count	ministral_emit_HP	ministral_emit_LP	ministral_emit_HN-D	ministral_emit_HN-S	ministral_emit_LN	ministral_emit_NB	ministral_modal	ministral_modal_frac	present_in	n_models	all3_modal_agree	jsd_gemma_qwen	jsd_gemma_ministral	jsd_qwen_ministral
(-‸–)	1	0	0	0	0	1	0	LN	1.0	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	gemma	1				
(;;)	0	0	0	0	0	0	0		0.0	9	0	0	0	0	9	0	LN	1.0	0	0	0	0	0	0	0		0.0	qwen	1				
(;;_;;)	0	0	0	0	0	0	0		0.0	1	0	0	0	1	0	0	HN-S	1.0	0	0	0	0	0	0	0		0.0	qwen	1				
(;_;)	0	0	0	0	0	0	0		0.0	1	0	0	0	0	1	0	LN	1.0	0	0	0	0	0	0	0		0.0	qwen	1				
(;´д`)	0	0	0	0	0	0	0		0.0	58	0	0	4	15	39	0	LN	0.6724	0	0	0	0	0	0	0		0.0	qwen	1				
(;´༎ຶд༎ຶ`)	0	0	0	0	0	0	0		0.0	1	0	0	0	1	0	0	HN-S	1.0	0	0	0	0	0	0	0		0.0	qwen	1				
(;´∀`)	0	0	0	0	0	0	0		0.0	1	0	0	0	0	1	0	LN	1.0	0	0	0	0	0	0	0		0.0	qwen	1				
(;´⌒`)	0	0	0	0	0	0	0		0.0	1	0	0	0	0	1	0	LN	1.0	0	0	0	0	0	0	0		0.0	qwen	1				
(;ω;)	0	0	0	0	0	0	0		0.0	78	5	0	0	10	63	0	LN	0.8077	0	0	0	0	0	0	0		0.0	qwen	1				
(;′⌒`)	0	0	0	0	0	0	0		0.0	24	0	0	5	12	7	0	HN-S	0.5	0	0	0	0	0	0	0		0.0	qwen	1				
(;・ω・)	0	0	0	0	0	0	0		0.0	1	0	0	0	1	0	0	HN-S	1.0	0	0	0	0	0	0	0		0.0	qwen	1				
(;一_一)	0	0	0	0	0	0	0		0.0	4	0	0	0	2	2	0	HN-S	0.5	1	0	0	0	1	0	0	HN-S	1.0	qwen,ministral	2				
(;﹏;)	0	0	0	0	0	0	0		0.0	0	0	0	0	0	0	0		0.0	1	0	0	0	1	0	0	HN-S	1.0	ministral	1				
(=^・ω・^=)	0	0	0	0	0	0	0		0.0	12	0	11	0	0	0	1	LP	0.9167	0	0	0	0	0	0	0		0.0	qwen	1				
(>_<)	0	0	0	0	0	0	0		0.0	74	0	2	2	67	1	2	HN-S	0.9054	0	0	0	0	0	0	0		0.0	qwen	1				
