	L2	L3	L4	L5	L6	L7	L8	L9	L10	L11	L12	L13	L14	L15	L16	L17	L18	L19	L20	L21	L22	L23	L24	L25	L26	L27	L28	L29	L30	L31	L32	L33	L34	L35	L36	L37	L38	L39	L40	L41	L42	L43	L44	L45	L46	L47	L48	L49	L50	L51	L52	L53	L54	L55	L56	L57	L58	L59	L60	L61
L2	0.43133056	0.4370294	0.45373935	0.46558246	0.49311453	0.49944225	0.51114386	0.5272532	0.543989	0.5531006	0.5823754	0.59449214	0.60393053	0.6127665	0.62570363	0.6323811	0.6278224	0.6212298	0.622959	0.6145414	0.61968654	0.62066394	0.61574936	0.61799216	0.61852473	0.6246651	0.62352276	0.62463886	0.624519	0.62923187	0.63319886	0.63274026	0.6340429	0.6145892	0.610299	0.610864	0.6196196	0.6177484	0.6167995	0.62169784	0.62871015	0.6304257	0.6338896	0.6351614	0.63313025	0.6362785	0.6382127	0.63554674	0.63479626	0.6262379	0.6203937	0.617218	0.62266856	0.61973256	0.61661464	0.6165077	0.61990905	0.62582684	0.62730664	0.6277144
L3	0.42326775	0.42852473	0.445143	0.45780122	0.48677185	0.49366003	0.5064204	0.5227987	0.53973883	0.549154	0.57927567	0.59244174	0.6031415	0.61272347	0.6273701	0.6353549	0.63236487	0.6257292	0.62695146	0.6181293	0.6235301	0.62478507	0.6200392	0.62224686	0.62273014	0.62876576	0.62794656	0.6293543	0.6297061	0.63435054	0.63863057	0.6380894	0.63966227	0.62032825	0.6159229	0.61632645	0.6248547	0.62317437	0.62212443	0.62695694	0.63373	0.6356026	0.63954264	0.6410701	0.63971394	0.6427875	0.6444654	0.64162433	0.6406588	0.63155234	0.62545556	0.62194884	0.6272488	0.62404466	0.62093616	0.62079936	0.62407905	0.629223	0.63046676	0.6308235
L4	0.43118745	0.43618163	0.45263967	0.46556833	0.49641523	0.5040191	0.51819795	0.53501105	0.5530649	0.56323934	0.5947364	0.60905296	0.62094915	0.6314523	0.6479331	0.6577957	0.6550096	0.6495388	0.65024704	0.6413976	0.64740777	0.64915234	0.64486957	0.64696515	0.6471875	0.6530453	0.65247095	0.6539972	0.6543932	0.65901977	0.6633049	0.6627871	0.66406447	0.6459088	0.6417488	0.6420924	0.65049845	0.6488375	0.6478599	0.6526871	0.65916985	0.66106063	0.6651458	0.66660964	0.66525024	0.66832954	0.66999644	0.6672046	0.6661263	0.65732163	0.6513714	0.64786714	0.65322363	0.64996666	0.64694023	0.64670146	0.6498701	0.65416783	0.65516627	0.6553876
L5	0.44205952	0.44693828	0.46320155	0.47699523	0.5099761	0.518546	0.53451455	0.5519695	0.57112443	0.5821198	0.61495054	0.6302992	0.64324915	0.65453035	0.6727615	0.68436944	0.68238676	0.6775891	0.67769116	0.6685374	0.6748495	0.6766512	0.67262983	0.6749745	0.6754094	0.68118805	0.6808315	0.6824096	0.68308675	0.6877192	0.6922107	0.69162285	0.6929154	0.67466384	0.6701482	0.67035806	0.67850435	0.67670715	0.67584157	0.68073195	0.68707854	0.6890735	0.6934779	0.6950337	0.69365454	0.69667995	0.69835496	0.6954805	0.69416493	0.68521965	0.67898023	0.67538464	0.6806439	0.6770829	0.6739818	0.6734582	0.6764932	0.68034023	0.68109685	0.681127
L6	0.45134357	0.4568204	0.47242048	0.48695898	0.52389836	0.5332514	0.5516241	0.57083786	0.5929892	0.6057013	0.6421032	0.6601348	0.67560434	0.6885236	0.7100022	0.725723	0.72652316	0.72481114	0.72303855	0.71360976	0.71996236	0.7220273	0.7189182	0.7211334	0.7223331	0.7283564	0.7286417	0.7299094	0.72999835	0.73468065	0.7392186	0.73886883	0.73948526	0.7241708	0.7197818	0.7188847	0.7257336	0.72372526	0.7228079	0.72778004	0.73347473	0.73585486	0.7405485	0.74204373	0.74054825	0.74350774	0.74529827	0.7426639	0.7412946	0.7338027	0.72740436	0.7234881	0.72820807	0.72455865	0.7218862	0.7210568	0.723539	0.72618836	0.7263823	0.7260528
L7	0.44216347	0.44788742	0.4617719	0.4773595	0.52028036	0.5308288	0.5527695	0.5737078	0.6001228	0.6143936	0.65563965	0.6784765	0.69825953	0.71385133	0.74163043	0.7659031	0.77270937	0.7758961	0.77012783	0.76128983	0.7672124	0.76938003	0.76799417	0.76974213	0.7715341	0.77765983	0.77959174	0.78060347	0.7806903	0.7848222	0.78910184	0.7894994	0.789459	0.7795032	0.7757801	0.7738725	0.7778209	0.7757086	0.77479655	0.7798107	0.78377914	0.7865608	0.7919578	0.7934624	0.79242325	0.7949141	0.79699945	0.79476094	0.79372185	0.7882279	0.78205854	0.778441	0.7816973	0.7776324	0.7758765	0.7743636	0.7759092	0.77578807	0.7746588	0.77369356
L8	0.42911512	0.4328215	0.4461216	0.46256945	0.5075534	0.51888496	0.5427202	0.56273615	0.58898234	0.60283005	0.6441695	0.66838115	0.6894133	0.7062716	0.73677987	0.762829	0.77071863	0.77295846	0.76691496	0.7580897	0.7651028	0.76861084	0.7677665	0.769325	0.76973575	0.77572644	0.77839696	0.77958304	0.7799993	0.7840745	0.78852063	0.78860927	0.788594	0.7782588	0.77467036	0.7725676	0.77565837	0.7737966	0.77333295	0.7786529	0.7820923	0.78509897	0.79110694	0.7927689	0.7920925	0.79440486	0.7964008	0.7943163	0.79291624	0.78694504	0.7809682	0.7773728	0.78074545	0.77652204	0.77494645	0.77335274	0.7748555	0.77303344	0.7716738	0.77065504
L9	0.3891208	0.39245722	0.40513647	0.4216139	0.46718544	0.47939458	0.5048418	0.5238259	0.5493022	0.5631885	0.60497415	0.6305638	0.65297925	0.6709597	0.7047543	0.7344698	0.74484044	0.748209	0.74116606	0.7332891	0.74110645	0.7465577	0.7472128	0.7478745	0.7464016	0.75158507	0.75585103	0.75702924	0.7580621	0.7614583	0.7657503	0.7656032	0.76580167	0.758143	0.7545588	0.75291884	0.7545212	0.7531858	0.7534345	0.75851154	0.7602921	0.76354504	0.7702997	0.7720298	0.7722691	0.77395195	0.77554274	0.7735336	0.77137625	0.76545864	0.7606315	0.75752985	0.76064295	0.7559272	0.75492436	0.75344473	0.7548311	0.75006217	0.74820864	0.74727124
L10	0.37240776	0.37707308	0.38870355	0.4028156	0.44773796	0.4588399	0.48478484	0.5050281	0.5332628	0.54808974	0.5928601	0.6212019	0.64578295	0.66408896	0.6997372	0.73538136	0.74913466	0.7568538	0.74858534	0.74348444	0.74979264	0.7556791	0.75827134	0.75709677	0.75471944	0.75933176	0.76499975	0.7655867	0.7658499	0.76871747	0.77158326	0.77289027	0.7724648	0.7712602	0.7702232	0.7695796	0.76902115	0.7683288	0.7686668	0.7729915	0.7726787	0.77610296	0.78290886	0.78450257	0.7851881	0.78619313	0.7876253	0.7863213	0.78457254	0.7802836	0.7776341	0.77530766	0.77692443	0.7720593	0.7715234	0.77005106	0.7708044	0.7640267	0.7614476	0.76046383
L11	0.34654748	0.35160586	0.36221677	0.3756745	0.42116392	0.43295956	0.46013373	0.47992045	0.5083512	0.524034	0.56965196	0.5988567	0.62413734	0.6430877	0.6804041	0.719442	0.7344548	0.745898	0.7364603	0.7319575	0.73857063	0.74561346	0.74981886	0.7478007	0.74435085	0.74841696	0.7547344	0.75494725	0.7546835	0.75719005	0.7595404	0.7610353	0.7603022	0.7641224	0.7634514	0.76253766	0.76056945	0.7601632	0.760654	0.7646207	0.76300627	0.7665988	0.7734274	0.7746616	0.7755869	0.77603287	0.777322	0.7763227	0.7744324	0.7718062	0.7702635	0.7682948	0.76937747	0.7644727	0.76472396	0.7632407	0.7636188	0.754845	0.75185233	0.750862
