	L2	L3	L4	L5	L6	L7	L8	L9	L10	L11	L12	L13	L14	L15	L16	L17	L18	L19	L20	L21
L2	0.18020073	0.2341049	0.36630386	0.4086669	0.44403043	0.4393205	0.45698094	0.32414088	0.37099335	0.40556416	0.4343484	0.42419645	0.43046826	0.44975236	0.46005192	0.42922556	0.44171453	0.4004484	0.39281347	0.33497748
L3	0.19127406	0.24829845	0.3867175	0.4317449	0.47007447	0.4658053	0.4870382	0.35268092	0.40248892	0.4375482	0.46553826	0.45555103	0.4609987	0.47839284	0.48385006	0.45158178	0.46302173	0.41793963	0.4069682	0.34637398
L4	0.19173595	0.2491881	0.3892411	0.4364705	0.4764592	0.4723377	0.49485284	0.36226052	0.41310152	0.44774124	0.4754822	0.46531233	0.4713877	0.48785326	0.4925789	0.45972422	0.47152728	0.42624068	0.41571125	0.35389608
L5	0.20802432	0.27339852	0.43009582	0.49663824	0.5470265	0.5512959	0.5838581	0.4710817	0.52983665	0.5672395	0.5944912	0.57913584	0.5809255	0.5973937	0.58936125	0.5516345	0.5625636	0.5086941	0.49242592	0.42091814
L6	0.22788556	0.29647684	0.4513359	0.52510244	0.57859546	0.5864073	0.6292246	0.5412279	0.60448015	0.6384429	0.6600936	0.6519329	0.6531793	0.660397	0.6261723	0.59202737	0.6012976	0.54615766	0.5263178	0.46230987
L7	0.19441059	0.25478685	0.41434222	0.4932518	0.5591998	0.5539971	0.6134629	0.6115752	0.6746519	0.7065658	0.7139807	0.6883213	0.68694764	0.6910578	0.6521668	0.60529554	0.60905915	0.5398936	0.512649	0.44456717
L8	0.18620516	0.24341322	0.39436677	0.46736398	0.5314193	0.52818394	0.58630806	0.5951614	0.651716	0.68600374	0.6929227	0.66909766	0.6639616	0.6682916	0.6299967	0.5829547	0.5858822	0.5155077	0.48695257	0.4205528
L9	0.18785805	0.24567586	0.4036223	0.47606736	0.54056823	0.5344286	0.59372914	0.59841293	0.65877366	0.69147766	0.6960321	0.670805	0.66751015	0.6721023	0.6368087	0.5885699	0.591745	0.52003914	0.4908488	0.42156288
L10	0.19342336	0.252917	0.41578576	0.49454862	0.56257313	0.55566925	0.61844265	0.6340495	0.6972877	0.7256728	0.72283345	0.68706626	0.687689	0.6921195	0.65519863	0.6077696	0.61279607	0.5442329	0.51807123	0.45166025
L11	0.19125424	0.24926151	0.4162753	0.49446148	0.5671454	0.5537791	0.6194883	0.651527	0.7136026	0.7364375	0.72741324	0.68392944	0.6896406	0.692632	0.65442455	0.605689	0.610996	0.54652685	0.5241785	0.46283185
L12	0.18932691	0.24569248	0.41754514	0.4885118	0.55710983	0.5371109	0.5991553	0.63426185	0.69523644	0.7168663	0.70831954	0.6702561	0.67786723	0.67819685	0.6397285	0.58750296	0.5932563	0.52632624	0.5013881	0.43444148
L13	0.18933108	0.24566732	0.41772586	0.48821265	0.5570578	0.5368385	0.59869665	0.6341603	0.69477516	0.7169512	0.7085573	0.67058045	0.6778647	0.6783107	0.6397746	0.587244	0.59282625	0.5253023	0.49993604	0.43291423
L14	0.1877603	0.24430299	0.41573334	0.48661682	0.55612254	0.53535235	0.5971631	0.63366383	0.6939593	0.7157762	0.70687866	0.6678455	0.6751855	0.67562556	0.6375353	0.5840676	0.58985615	0.52243793	0.4971922	0.4303337
L15	0.18393986	0.23650964	0.4079632	0.47862595	0.5492185	0.5255878	0.59013873	0.6361369	0.6967996	0.72081214	0.7083275	0.66996026	0.6744	0.6743224	0.63325256	0.5783088	0.5832259	0.5127443	0.4858218	0.41588014
L16	0.18498911	0.23934844	0.4129041	0.48667827	0.55933666	0.537235	0.6020771	0.64037985	0.70289576	0.72715676	0.71555376	0.67791533	0.6834881	0.6830488	0.64428896	0.58789295	0.5940376	0.5241437	0.4981584	0.42582357
L17	0.18868387	0.24141458	0.4071842	0.486437	0.5568256	0.53720844	0.60498834	0.64604706	0.7091691	0.7318521	0.71754384	0.67711914	0.6824729	0.6832743	0.6385933	0.58747846	0.59295976	0.5268444	0.50128096	0.43762487
L18	0.18873748	0.24607165	0.41144717	0.49837935	0.5736696	0.5691731	0.6340486	0.667189	0.7312578	0.75284684	0.7430577	0.7039661	0.7103707	0.70930487	0.6650601	0.61143744	0.6180899	0.5511742	0.5265082	0.46048182
