	L2	L3	L4	L5	L6	L7	L8	L9	L10	L11	L12	L13	L14	L15	L16	L17	L18	L19	L20	L21	L22	L23	L24	L25	L26	L27	L28	L29	L30	L31	L32	L33	L34	L35	L36	L37	L38	L39	L40	L41	L42	L43	L44	L45	L46	L47	L48	L49	L50	L51	L52	L53	L54	L55	L56	L57	L58	L59	L60	L61
L2	0.22997768	0.23797086	0.23665453	0.23629789	0.23646784	0.23652363	0.23773007	0.25308847	0.25576797	0.255377	0.3827091	0.4006984	0.47933406	0.5304273	0.5681034	0.561442	0.5788436	0.6105063	0.6080733	0.63410974	0.6548857	0.67793614	0.6632327	0.6599054	0.6582243	0.659685	0.67162603	0.65529686	0.6424442	0.6359497	0.6101654	0.59711164	0.5813583	0.5741542	0.5657954	0.5710406	0.5663488	0.57654136	0.5965325	0.5921658	0.59611124	0.60468024	0.61041194	0.6292834	0.6128528	0.5923275	0.5850606	0.55811185	0.5362544	0.5124922	0.49387905	0.49998146	0.49341947	0.48979726	0.47433606	0.46764848	0.466409	0.4568124	0.45795783	0.44031048
L3	0.2364328	0.24431531	0.24354187	0.24304906	0.2432038	0.24324937	0.24408118	0.259523	0.2619241	0.26121947	0.39139703	0.40930173	0.4875577	0.54008394	0.5795751	0.5723363	0.5913071	0.6223797	0.6211834	0.6492591	0.6751704	0.70129603	0.6868315	0.6813835	0.6800235	0.6823418	0.69694096	0.68144476	0.66910005	0.66230243	0.6377215	0.6234436	0.6062922	0.5965299	0.58722204	0.5928074	0.5893059	0.6013644	0.6224407	0.616732	0.6198066	0.62643796	0.6327329	0.6521032	0.63360167	0.61054987	0.6021934	0.57422096	0.551952	0.52754366	0.5073267	0.5128624	0.50479126	0.49969774	0.48164853	0.4742917	0.4736122	0.46462435	0.46498367	0.4467297
L4	0.23663978	0.24451068	0.24362412	0.24312913	0.24328952	0.24332961	0.24424231	0.2600002	0.26278657	0.26256725	0.39413625	0.4126445	0.49243003	0.54625213	0.5866283	0.57939947	0.598518	0.62991047	0.62851083	0.6569804	0.68343776	0.7100031	0.69579333	0.6905877	0.68870646	0.690516	0.7041696	0.6891516	0.6768598	0.67072713	0.64592564	0.63188255	0.61395884	0.60428333	0.594709	0.5998146	0.5964022	0.60814154	0.62934405	0.62398887	0.6261184	0.6337393	0.63966006	0.6582477	0.640709	0.61859167	0.61039233	0.5828993	0.56067693	0.5366582	0.5166202	0.5218494	0.51373965	0.50907886	0.4915993	0.48430556	0.48351765	0.47454962	0.47471508	0.45695716
L5	0.2571601	0.26476377	0.26591355	0.26539075	0.2656139	0.2657247	0.26642087	0.28166398	0.28362668	0.28324875	0.43125102	0.45034334	0.53179264	0.59301823	0.64297944	0.63463193	0.65488696	0.68286455	0.68197405	0.71254027	0.74780375	0.7861853	0.7792957	0.7809195	0.77764755	0.77931017	0.79077995	0.77777576	0.76612353	0.7602338	0.7353562	0.7219817	0.7003663	0.6860605	0.6762062	0.6825631	0.67914796	0.6880478	0.7060349	0.6967109	0.69011563	0.6992827	0.70426697	0.7224393	0.7049187	0.6786318	0.66978014	0.64076746	0.61822224	0.59195274	0.57040036	0.57704633	0.5673237	0.5663555	0.5415189	0.5333684	0.5338274	0.52654517	0.52670944	0.5062199
L6	0.2750964	0.28150865	0.2871678	0.28643948	0.2867635	0.2868571	0.28898162	0.30357355	0.30564648	0.30593923	0.4587883	0.47683647	0.5520566	0.6161916	0.67085814	0.6652957	0.68399185	0.70088845	0.70112664	0.728738	0.77148765	0.8150677	0.8155801	0.8228735	0.8199364	0.8212453	0.83158886	0.82131475	0.8086365	0.80018234	0.77717733	0.7648694	0.7463063	0.72941166	0.72097266	0.7273685	0.7235579	0.7260745	0.7389793	0.7266859	0.7129485	0.7171513	0.7199665	0.7378541	0.72006553	0.6871714	0.67778677	0.6472071	0.6259292	0.5987637	0.5757371	0.5824065	0.57019037	0.5750234	0.54093385	0.53268206	0.5370613	0.5353834	0.53556925	0.5137656
L7	0.24665174	0.2520733	0.25959834	0.25890732	0.2590851	0.25907552	0.26083118	0.27222914	0.27284348	0.27134112	0.41440773	0.42821488	0.4914058	0.5532574	0.6114576	0.6050913	0.62335294	0.63220066	0.63399404	0.6612098	0.71163464	0.76882434	0.7823398	0.8065761	0.80738646	0.80878824	0.8277827	0.81884885	0.81170505	0.80311346	0.78599125	0.77043444	0.7560169	0.7405874	0.73429245	0.7436131	0.73884284	0.74123466	0.7541351	0.7400188	0.71706575	0.7182529	0.7180217	0.7306603	0.71324325	0.6801857	0.673691	0.6402854	0.62318844	0.5971066	0.5738131	0.5833244	0.5625998	0.5681468	0.5253857	0.51532	0.5217591	0.5217059	0.51727915	0.49406722
L8	0.24369532	0.2488157	0.25656238	0.25580534	0.25597647	0.25602713	0.2577816	0.26848295	0.26836562	0.2663699	0.4029445	0.41529667	0.47380915	0.53372014	0.59027565	0.5847315	0.60336244	0.60922164	0.612594	0.6385343	0.68802947	0.7453841	0.7571662	0.78003335	0.7807784	0.78272116	0.8039309	0.79608643	0.7907747	0.7830457	0.766248	0.7499642	0.7326969	0.7152263	0.7083688	0.7169177	0.7145814	0.71776456	0.73056215	0.7167958	0.6938414	0.69293714	0.69249225	0.703966	0.68499815	0.65188414	0.6449744	0.61128795	0.5953169	0.56988704	0.5470491	0.55596197	0.53428715	0.5408323	0.49694583	0.4866658	0.4941721	0.49560213	0.49012223	0.46804595
L9	0.25129154	0.2561802	0.26396325	0.26298448	0.26314256	0.26318368	0.26476464	0.27563065	0.27587348	0.27407083	0.4080742	0.42074245	0.47825792	0.537837	0.59509337	0.5901415	0.6096908	0.61508614	0.61926806	0.64582384	0.6964918	0.7520664	0.7631043	0.78395134	0.7841223	0.7860032	0.80718255	0.7986136	0.79400134	0.7864288	0.76811576	0.75098336	0.73252857	0.71432894	0.70714444	0.7148343	0.7128767	0.7164672	0.7301859	0.7161345	0.6921301	0.69170266	0.69073653	0.7016847	0.6829356	0.65114117	0.6436814	0.6111277	0.5949779	0.57037586	0.5479473	0.55602115	0.53441495	0.5420711	0.49842417	0.48844483	0.49652344	0.49885407	0.49334037	0.47264478
L10	0.2439415	0.24869472	0.2561168	0.2551863	0.25533116	0.2553269	0.256893	0.26859257	0.27036226	0.26973683	0.41235405	0.42563617	0.48712033	0.54976046	0.60747725	0.60309714	0.62225074	0.6293292	0.63228863	0.6603853	0.7152954	0.775327	0.7909888	0.81645757	0.817914	0.8195236	0.8378446	0.8305606	0.82828575	0.8200353	0.80219203	0.7868233	0.76902264	0.75155604	0.7447251	0.75135744	0.7492608	0.7548539	0.76890427	0.7558093	0.7294451	0.7316719	0.7280632	0.7362507	0.71949184	0.68946594	0.6826341	0.6483302	0.63207114	0.6082679	0.58577	0.5939945	0.5700521	0.5789822	0.53412527	0.52406454	0.5324822	0.53515667	0.52902365	0.5083336
L11	0.22870857	0.23352508	0.2415892	0.24112706	0.2412527	0.24120699	0.24259011	0.25376892	0.25525188	0.2548038	0.39909592	0.41147488	0.4730412	0.53628373	0.5975553	0.59346294	0.6140172	0.62172216	0.6229539	0.65208215	0.70576453	0.7664458	0.7815929	0.81093174	0.8117928	0.81428295	0.8318405	0.8272745	0.8271279	0.82026213	0.8049043	0.78962284	0.76754194	0.7504093	0.7431415	0.74886996	0.74777925	0.75430775	0.771667	0.76029706	0.7308665	0.7368029	0.7320071	0.7361351	0.72183055	0.6972765	0.69034064	0.659081	0.6437995	0.62331784	0.6026242	0.6096557	0.5839101	0.5972378	0.5526038	0.5425984	0.55224615	0.5558962	0.5487266	0.5295727
