	L2	L3	L4	L5	L6	L7	L8	L9	L10	L11	L12	L13	L14	L15	L16	L17	L18	L19	L20	L21	L22	L23	L24	L25	L26	L27	L28	L29	L30	L31	L32	L33	L34	L35	L36	L37
L2	0.40367705	0.4568207	0.5164028	0.514515	0.5045813	0.5058802	0.49222085	0.4674105	0.4438036	0.43518233	0.44257402	0.43522635	0.44576356	0.44576472	0.44916657	0.4414939	0.43610966	0.43333393	0.4559302	0.45052236	0.44417685	0.4378131	0.43133396	0.4268315	0.43087348	0.43407205	0.42983162	0.42977923	0.42427868	0.42143312	0.42098472	0.42075297	0.41526812	0.41610515	0.41668013	0.41111538
L3	0.4127885	0.4717794	0.53743	0.5425151	0.5327676	0.53924847	0.52696264	0.5026502	0.47967732	0.47100708	0.47579148	0.46786812	0.47783577	0.47702438	0.4792706	0.46904796	0.4619302	0.45803386	0.47707322	0.4714541	0.46466395	0.4563699	0.45014825	0.44640028	0.44948125	0.45238265	0.44782794	0.44726363	0.44190216	0.43888944	0.43863988	0.43841544	0.43275833	0.433017	0.4335939	0.42809495
L4	0.4202562	0.47990194	0.54612637	0.5525238	0.54256916	0.5483373	0.5354342	0.5112142	0.4881235	0.47898993	0.48362184	0.4755466	0.4855873	0.48461127	0.48686832	0.4769651	0.47062173	0.46692303	0.4856852	0.48000506	0.4728627	0.46497685	0.4585903	0.45460445	0.45766217	0.4606824	0.4560611	0.4556903	0.4503709	0.4473489	0.44701517	0.44684505	0.44127923	0.44160903	0.44212654	0.43651557
L5	0.45435348	0.5244344	0.5976317	0.63928276	0.6259442	0.64089423	0.6323826	0.6123704	0.5942429	0.5825569	0.58404213	0.57746774	0.5899263	0.58800316	0.5890352	0.5758038	0.5674091	0.5640521	0.5788507	0.57544804	0.5655008	0.5556205	0.5486271	0.5441375	0.5456515	0.5474694	0.5423927	0.5417071	0.5366996	0.53386134	0.5330281	0.53323054	0.527427	0.52568144	0.5259035	0.5178946
L6	0.44115698	0.5161747	0.58879125	0.6600487	0.64675516	0.6734527	0.6762247	0.6728561	0.6553661	0.6472072	0.6440978	0.638429	0.6513197	0.6476701	0.64892334	0.6354217	0.62523943	0.6204709	0.6196216	0.6177906	0.60539615	0.58977437	0.58285266	0.58171105	0.57954526	0.5803092	0.57599056	0.5747963	0.57208085	0.56878984	0.5684258	0.569407	0.56455815	0.5622278	0.56270355	0.5555935
L7	0.3525117	0.43183395	0.5051575	0.61909634	0.6068454	0.6422951	0.6602363	0.68453556	0.6785321	0.67198306	0.6674048	0.659867	0.6754343	0.6652895	0.6631066	0.6533581	0.64836466	0.6515009	0.63312745	0.6330323	0.6183327	0.6006098	0.595923	0.59565675	0.58881867	0.5873404	0.58136094	0.57985586	0.57911426	0.5759471	0.5748504	0.5761659	0.5716216	0.56532085	0.5644069	0.5554654
L8	0.32364774	0.40044072	0.47001868	0.5830416	0.57315373	0.6152932	0.6370239	0.65887934	0.6543763	0.6496462	0.64387375	0.63731664	0.6520871	0.6419328	0.6397582	0.6283627	0.6225122	0.62672853	0.6057047	0.6067295	0.5924762	0.5753082	0.5718814	0.57242024	0.5647886	0.56324846	0.5571948	0.5549605	0.5549201	0.552212	0.5513084	0.5527437	0.54875517	0.54201466	0.5413905	0.5323923
L9	0.32434556	0.40251324	0.4761669	0.59255964	0.5822465	0.62555	0.6470669	0.671488	0.66816247	0.66386014	0.6587676	0.65143216	0.6661709	0.655082	0.6504043	0.63947546	0.63375926	0.63711584	0.6110428	0.61104375	0.59645087	0.5791293	0.5751671	0.5758059	0.56797916	0.5664405	0.56029624	0.5582219	0.558494	0.5558572	0.5550086	0.55663043	0.55280185	0.5458067	0.54507816	0.53610134
L10	0.34408998	0.42797217	0.5031818	0.6330985	0.62181437	0.66169864	0.68242633	0.71264106	0.71152246	0.70665383	0.70189524	0.69398737	0.70825386	0.6957269	0.6906912	0.68077576	0.67556876	0.67854816	0.65034735	0.648682	0.6326376	0.61479723	0.61014444	0.60991454	0.60103995	0.5989295	0.5924958	0.590504	0.5903515	0.58767474	0.5863937	0.58743775	0.5831384	0.5756103	0.5739626	0.56477726
L11	0.34015593	0.42310628	0.50020736	0.6424536	0.6311609	0.6721901	0.6936759	0.7311494	0.7337827	0.72738624	0.7243613	0.7162217	0.72943354	0.71541435	0.7086442	0.7027068	0.70012087	0.7015302	0.6658951	0.6630603	0.6448718	0.62845427	0.62319493	0.6223426	0.61215025	0.60906154	0.6023969	0.6005463	0.60058004	0.59857786	0.5964163	0.5975953	0.593239	0.5842524	0.58129334	0.5708008
L12	0.33487773	0.41669315	0.49861977	0.6358708	0.62436205	0.66105384	0.6778614	0.7101341	0.71241546	0.7045343	0.7014302	0.69246167	0.7069823	0.69324476	0.685964	0.67976457	0.6796381	0.68117535	0.64074236	0.6381214	0.6214221	0.6062506	0.60174084	0.6019047	0.5914357	0.58913696	0.582524	0.58129114	0.58156765	0.57941085	0.57740384	0.57912743	0.5753848	0.56723785	0.5646783	0.5540153
L13	0.33348975	0.41517958	0.49696928	0.63390553	0.62248427	0.6594725	0.67668205	0.7087914	0.7110652	0.7032161	0.7001298	0.6912148	0.7058801	0.69224286	0.68516237	0.6787383	0.678492	0.6802512	0.63989747	0.6373501	0.6206827	0.60546434	0.6011238	0.60133266	0.5907412	0.5884199	0.5817594	0.5804725	0.5807451	0.5786071	0.5766257	0.5783266	0.5745705	0.5663408	0.5638085	0.5531543
L14	0.33482838	0.4161914	0.49883068	0.6368938	0.6256785	0.6618485	0.67885435	0.70989203	0.7129275	0.7041954	0.7007893	0.6916029	0.7062045	0.6924602	0.6854576	0.6787052	0.67869663	0.68037015	0.6389968	0.6363506	0.61978406	0.6051979	0.6009116	0.60111207	0.59034795	0.58814317	0.58147866	0.58020824	0.58042246	0.5784556	0.57644427	0.57808924	0.5745029	0.5662299	0.5637007	0.5529314
L15	0.31832865	0.39991543	0.48425055	0.62343436	0.6123928	0.6486051	0.6668259	0.6981758	0.7032282	0.6949085	0.6912091	0.6820838	0.698141	0.6845261	0.67621857	0.6701493	0.67094225	0.67406136	0.6302731	0.62795585	0.611982	0.5968115	0.59245986	0.59283483	0.58193517	0.5795836	0.5728546	0.57166624	0.5719946	0.5703069	0.5681698	0.56972396	0.5661824	0.55739236	0.5550307	0.54482365
L16	0.3385913	0.4207994	0.5092876	0.6484893	0.63804245	0.6717219	0.6870756	0.7158415	0.7207871	0.71033174	0.7065073	0.69685435	0.7118718	0.6987177	0.68965036	0.6832248	0.6839282	0.68554664	0.641928	0.63938135	0.6235784	0.60956866	0.60458255	0.6046143	0.5941631	0.59216976	0.5855621	0.5848361	0.5850048	0.5832801	0.5809465	0.58249515	0.5790407	0.57067186	0.5680897	0.5575406
L17	0.32459134	0.40720442	0.4908497	0.63851815	0.6272055	0.6637367	0.6845155	0.71743727	0.72337765	0.7157159	0.7129334	0.7059799	0.7220017	0.70949715	0.70247793	0.69756496	0.6971785	0.6987737	0.6544427	0.6518299	0.6341879	0.6175412	0.61241984	0.6118599	0.6000263	0.596855	0.5902428	0.58934623	0.58979774	0.5883258	0.586156	0.587388	0.58351606	0.57422394	0.57168907	0.56163734
L18	0.3550781	0.43922797	0.52849126	0.6775752	0.6663249	0.700574	0.7169531	0.74803364	0.7549427	0.74401736	0.7397398	0.7306827	0.7450886	0.7334142	0.72548264	0.7207968	0.7203873	0.72066146	0.67845935	0.6765478	0.65888137	0.6430924	0.63683045	0.63575435	0.62457156	0.6216519	0.61553234	0.6150454	0.61536545	0.61379075	0.6114996	0.61281097	0.60894924	0.60006434	0.5977314	0.5871926
L19	0.3319038	0.40750653	0.4965937	0.65214986	0.640438	0.6713341	0.68550545	0.7179149	0.72756785	0.7122108	0.70787895	0.6980071	0.710656	0.6997031	0.69264096	0.68866885	0.69291085	0.6945438	0.64914626	0.6494685	0.6333231	0.6202718	0.61491495	0.6146808	0.60286206	0.60097575	0.5952437	0.596189	0.59663403	0.59473443	0.59192294	0.5938075	0.59054613	0.5815285	0.5790147	0.5675455
L20	0.3053362	0.37651938	0.4575091	0.6133031	0.6042954	0.6397744	0.65842164	0.68926483	0.6981566	0.6862477	0.6806117	0.6719433	0.68505836	0.6752654	0.66948825	0.6663267	0.6708807	0.6735499	0.62721586	0.6286569	0.61212134	0.5971754	0.59270394	0.5926343	0.5797597	0.5773258	0.57166076	0.57231957	0.57339835	0.571655	0.5690767	0.5710941	0.5682752	0.55860674	0.555826	0.5443232
L21	0.27639005	0.34108824	0.4159536	0.5665368	0.5605696	0.5999828	0.62371814	0.656557	0.66611665	0.6574414	0.65251076	0.6471886	0.66183794	0.65468526	0.6520389	0.65111274	0.66062987	0.6648503	0.62353253	0.626719	0.61080253	0.5935191	0.58985025	0.5903173	0.57663727	0.57397276	0.5685844	0.5698077	0.571064	0.56916547	0.56713295	0.5694549	0.56703746	0.55627096	0.553947	0.5431403
L22	0.25772995	0.32576877	0.39149952	0.54214805	0.5370459	0.58431673	0.6221223	0.6626963	0.6748371	0.67654234	0.6759674	0.6781704	0.6984867	0.69247293	0.6911744	0.69894147	0.7149948	0.72692287	0.6938726	0.6968689	0.6803322	0.6586396	0.6550001	0.6545162	0.6405095	0.6365304	0.63026166	0.63029253	0.63254	0.6304549	0.6290784	0.63072205	0.62802595	0.61393726	0.6111979	0.60065776
L23	0.23778227	0.30490178	0.3694285	0.5223809	0.51838464	0.5675067	0.60948	0.6558097	0.6735947	0.67673767	0.67833364	0.6830693	0.70257723	0.69575214	0.6947073	0.70832354	0.7308573	0.74774754	0.711973	0.71359384	0.6970847	0.6784482	0.67430836	0.6737591	0.65943086	0.6553086	0.64843446	0.64894426	0.65248835	0.6514242	0.6502803	0.6516301	0.649447	0.63385767	0.6303068	0.61969435
L24	0.21343768	0.27770504	0.33962938	0.49040443	0.48719394	0.5377992	0.5804337	0.6258635	0.64371127	0.6479751	0.6487492	0.6543565	0.67308676	0.6661367	0.66532165	0.67781365	0.70002854	0.71762764	0.6774639	0.67870194	0.66240907	0.64388984	0.64067626	0.64130676	0.62612826	0.62222487	0.6151469	0.6156045	0.6197626	0.6187401	0.61789215	0.6194096	0.6176059	0.60202944	0.5985638	0.58868295
L25	0.21418752	0.2795642	0.34046203	0.4870817	0.4834935	0.535834	0.5777073	0.6217061	0.63751894	0.64376926	0.64495426	0.65154374	0.6713562	0.66570544	0.6660606	0.6759711	0.69627905	0.71421444	0.677375	0.67889285	0.66324645	0.642883	0.6401614	0.6412275	0.62622726	0.6221616	0.61502856	0.6148922	0.61870503	0.6174182	0.6166601	0.6178879	0.615821	0.60058665	0.5973018	0.5877124
L26	0.23984407	0.306963	0.37468967	0.51925915	0.51476634	0.56573826	0.6040057	0.6448928	0.6581922	0.66106486	0.66458	0.6702939	0.69164556	0.6876586	0.6917606	0.6985726	0.71692765	0.73305005	0.70258576	0.7056042	0.69055295	0.6712926	0.66957146	0.67077357	0.6560863	0.6522569	0.64523965	0.6447627	0.6474433	0.645828	0.6448534	0.6459252	0.6432647	0.62836754	0.62509423	0.6141127
L27	0.2657993	0.33681345	0.4074187	0.5482174	0.54238546	0.5923952	0.6279088	0.6672139	0.67899024	0.68215203	0.6869771	0.6936795	0.7164192	0.71401155	0.72041506	0.72497916	0.7409732	0.7553963	0.73021585	0.73303354	0.7182784	0.6982641	0.6960966	0.69619524	0.68225354	0.6783183	0.6717532	0.6709718	0.6730235	0.6713866	0.67061394	0.6713558	0.66825986	0.6543296	0.65112674	0.6403985
L28	0.27025887	0.3434403	0.4157198	0.55670214	0.55146104	0.6010823	0.63777214	0.6816909	0.69666964	0.6989879	0.70505905	0.71261144	0.73549217	0.73307896	0.7410859	0.748905	0.7687392	0.7860467	0.75771815	0.7594493	0.74312574	0.7249888	0.7233496	0.7240737	0.7092384	0.70491064	0.6981873	0.6978822	0.7009109	0.70019084	0.6996929	0.70035887	0.6976971	0.6829078	0.6792988	0.668526
L29	0.28132144	0.35569704	0.43825576	0.58015555	0.575308	0.6225834	0.654758	0.7002602	0.71847624	0.71659845	0.722782	0.72722214	0.7488018	0.7456696	0.7552019	0.7630884	0.7857428	0.803407	0.7742026	0.77628076	0.76130956	0.74879485	0.74771804	0.7490362	0.73422605	0.7311321	0.72454065	0.7252858	0.72800887	0.7278819	0.72692347	0.7278976	0.72539276	0.7103722	0.70669925	0.69439113
L30	0.28819633	0.36189577	0.44341147	0.58568764	0.58008325	0.6235108	0.65470576	0.70186096	0.72069496	0.7184717	0.72742325	0.73225266	0.75420916	0.7520468	0.76207536	0.7750148	0.8029063	0.8227522	0.7938376	0.79471403	0.779639	0.7690346	0.7669231	0.76800215	0.75373477	0.75158995	0.74478525	0.746278	0.7492636	0.7492736	0.7483756	0.7495112	0.7473079	0.7321167	0.72805375	0.7159961
L31	0.2812437	0.35109743	0.4295405	0.56718695	0.56166357	0.6025206	0.6322814	0.675177	0.69418186	0.6922749	0.70545214	0.711317	0.73448855	0.734668	0.74716544	0.76590097	0.80218995	0.8264549	0.8053112	0.8061189	0.7925289	0.7862703	0.78485197	0.7864063	0.77307177	0.7729	0.76679635	0.77010256	0.7731711	0.7740715	0.773586	0.7748903	0.7733609	0.7577531	0.7535469	0.7417139
L32	0.28846496	0.35593897	0.43034723	0.5586392	0.5533811	0.5902446	0.6178067	0.65880764	0.6770244	0.6752344	0.69021666	0.6964232	0.7180717	0.7186547	0.73146963	0.75582093	0.7975218	0.8238261	0.8126626	0.8131259	0.800963	0.7985976	0.7957857	0.7962214	0.78566414	0.78712344	0.7811353	0.7854437	0.7884499	0.78989494	0.78971875	0.7911597	0.7900275	0.77481157	0.7702399	0.758961
L33	0.2910665	0.35644668	0.4288655	0.5508366	0.54554075	0.579843	0.606197	0.64635605	0.6640024	0.6626536	0.678672	0.68461853	0.7054617	0.70558584	0.7184133	0.74500644	0.78823394	0.8149688	0.80690163	0.807233	0.79656744	0.795414	0.7920469	0.7929163	0.7835725	0.78588635	0.7802416	0.7849839	0.78787875	0.78917164	0.78903025	0.7906393	0.7896096	0.77483714	0.77005774	0.7589686
L34	0.29503748	0.3573096	0.42579326	0.5365595	0.53138036	0.5621099	0.58536917	0.62109	0.6376692	0.6351318	0.6526348	0.65920246	0.67860025	0.67973506	0.6947614	0.7232115	0.7677701	0.7945756	0.79619414	0.79742867	0.7881765	0.7897677	0.7858825	0.7858579	0.7788273	0.7818891	0.7768702	0.78248626	0.78490925	0.7863892	0.78644603	0.78778636	0.78681505	0.7731933	0.7684655	0.7576056
L35	0.30074432	0.3644101	0.43335846	0.54334676	0.5379482	0.57033783	0.5938773	0.6305657	0.6469798	0.6459485	0.6630012	0.6703771	0.68963087	0.6902272	0.70534426	0.73272985	0.77382594	0.79844594	0.79856855	0.799924	0.79104596	0.7902222	0.78587395	0.78608	0.77925587	0.78173906	0.77706045	0.78208786	0.7843471	0.78527695	0.7852776	0.78663445	0.7853889	0.77249223	0.7679799	0.75755733
L36	0.30081242	0.36536008	0.43522957	0.54378283	0.53839767	0.5709931	0.59392494	0.6305557	0.6469259	0.6460028	0.66189265	0.6695514	0.6891392	0.6903512	0.7053419	0.7330638	0.7744194	0.7992751	0.7962454	0.7973556	0.78871334	0.7860773	0.78142846	0.78205585	0.77553797	0.778172	0.77312773	0.77811646	0.78053147	0.7808867	0.781015	0.782558	0.78128904	0.7685043	0.7642399	0.75445384
L37	0.3106725	0.374753	0.44531828	0.5463168	0.5413357	0.57319915	0.59509045	0.63056916	0.64518064	0.6446545	0.6604385	0.66817546	0.68809664	0.689423	0.7044949	0.73128855	0.77213037	0.7965083	0.7980917	0.7994751	0.7918425	0.789507	0.7848473	0.7847819	0.77983665	0.78271896	0.77761024	0.78253955	0.78450274	0.78477657	0.7848792	0.78623945	0.7848393	0.7727119	0.7683036	0.758586
L38	0.30751422	0.36963102	0.44181982	0.5398254	0.5347947	0.5649957	0.58551687	0.6222326	0.63755065	0.63624686	0.6520395	0.65909183	0.6776762	0.67831624	0.69319123	0.72149366	0.76411086	0.7884144	0.7880608	0.7884117	0.78123415	0.780839	0.7756893	0.77583605	0.77153784	0.77508026	0.76987827	0.7757217	0.778227	0.7788073	0.779028	0.78056437	0.7797361	0.76783293	0.7633244	0.7541093
L39	0.3461129	0.40984282	0.47941294	0.5668879	0.5608944	0.58902806	0.60721153	0.64607286	0.66010267	0.66356665	0.6803364	0.686614	0.70160276	0.6997987	0.71525425	0.7425757	0.7768166	0.7956081	0.8036899	0.8026809	0.7962159	0.79419476	0.7866497	0.78443515	0.78411824	0.78707296	0.782923	0.78807145	0.78990984	0.7905244	0.790505	0.7914124	0.78977555	0.78008443	0.77501744	0.76655096
L40	0.33645868	0.39993104	0.47397837	0.56758994	0.56061	0.58595514	0.6029422	0.65101504	0.67141515	0.67284673	0.6894192	0.6926533	0.7036065	0.698524	0.7136953	0.7458219	0.77962697	0.7976019	0.7953416	0.7910813	0.7833357	0.7860339	0.7778822	0.7752758	0.7749704	0.77815855	0.77353	0.77990454	0.78342766	0.7850515	0.7845969	0.78587836	0.7851119	0.7749886	0.76840615	0.7595264
L41	0.34413025	0.4073271	0.47943458	0.5709062	0.5633558	0.58847505	0.6046964	0.65498084	0.6755503	0.6797066	0.69616973	0.6997743	0.70871156	0.7030752	0.7173468	0.74816936	0.7763275	0.7908526	0.785829	0.78075093	0.77289927	0.7732347	0.76384103	0.76083535	0.7609683	0.7635217	0.75915235	0.7646395	0.76806045	0.7692771	0.7686588	0.76974744	0.76880085	0.7597416	0.7529616	0.74498695
L42	0.34772918	0.4108671	0.48344147	0.5741488	0.5668385	0.589007	0.6039459	0.65544987	0.6772853	0.68055004	0.6962821	0.69992566	0.7073877	0.70143807	0.71544296	0.74806154	0.77598894	0.78972214	0.7831161	0.7768445	0.7684445	0.7687142	0.75743353	0.75411093	0.7557547	0.7587998	0.7542773	0.76020646	0.7640839	0.7648622	0.76401824	0.7653512	0.7645526	0.7562981	0.7493441	0.7420797
L43	0.34697077	0.40909597	0.48156968	0.57245684	0.5650431	0.58640814	0.6003783	0.65172625	0.6739495	0.67662144	0.69281876	0.69545084	0.7019128	0.6952654	0.7090346	0.7414431	0.76904756	0.78187317	0.776995	0.7709147	0.7626356	0.7650093	0.753986	0.7502466	0.75207067	0.755159	0.7510023	0.7570783	0.76093113	0.7622396	0.76127124	0.76255316	0.76184446	0.7536987	0.7467003	0.7388529
L44	0.35548928	0.41543496	0.484155	0.5713362	0.5650136	0.5834285	0.59547585	0.6437309	0.6632165	0.66492695	0.680943	0.6832989	0.688345	0.68213594	0.69568133	0.7289172	0.7558548	0.76678103	0.7695826	0.76350945	0.7554896	0.75986344	0.7474263	0.7418543	0.7453204	0.74851	0.74487734	0.7513314	0.7546074	0.7564515	0.7553508	0.7564011	0.7554755	0.74846554	0.7411681	0.7332842
L45	0.3458087	0.40587202	0.47329652	0.56146693	0.55488807	0.57232046	0.58462644	0.6359031	0.6555779	0.65811694	0.6727098	0.6743375	0.6795392	0.6725992	0.6849881	0.7192458	0.74592113	0.75764215	0.75760895	0.75105184	0.7426569	0.74630487	0.7341215	0.72887784	0.73217744	0.735608	0.7320887	0.73836195	0.7420184	0.743759	0.7427435	0.74387676	0.7430382	0.73623574	0.7290461	0.72162944
L46	0.34260485	0.40171674	0.46594325	0.5519476	0.5457323	0.5641562	0.57766145	0.6274495	0.64578533	0.6497668	0.6648935	0.6673049	0.67319006	0.6664759	0.67947406	0.7126161	0.7390075	0.75121224	0.75346863	0.74799687	0.73976344	0.7437059	0.7324039	0.7268641	0.72988904	0.7331341	0.72991705	0.7359326	0.73931766	0.74139744	0.7405536	0.7413973	0.7405809	0.7338311	0.7268253	0.7195932
L47	0.32794455	0.38581923	0.4516213	0.5365429	0.5309264	0.54849184	0.5617044	0.61419314	0.6362819	0.63800776	0.6530159	0.65592605	0.66094786	0.65436757	0.6681227	0.70451766	0.7349687	0.7488631	0.7454629	0.73836446	0.7299193	0.7346379	0.72238857	0.717903	0.72102815	0.7248727	0.7206887	0.7278716	0.73271364	0.73448825	0.7338579	0.7352637	0.73519206	0.72789395	0.7205737	0.71435255
L48	0.34768498	0.40502208	0.4707348	0.5485124	0.5439312	0.55822587	0.56832045	0.61590165	0.6359255	0.6367119	0.6519736	0.6551304	0.6597524	0.6536141	0.66735244	0.7017148	0.73136884	0.7435628	0.74802554	0.7412988	0.7331595	0.7391914	0.72583985	0.7197018	0.72488517	0.72894734	0.72512394	0.7325722	0.73639655	0.73804164	0.7371125	0.7383026	0.73791987	0.73179466	0.724583	0.7181197
L49	0.3584504	0.41537985	0.47981873	0.552609	0.5479428	0.56072176	0.56904596	0.6141824	0.63197845	0.6331244	0.6480514	0.6505325	0.6545305	0.6483205	0.66139257	0.69427645	0.72176826	0.7324201	0.74344856	0.7373202	0.72971696	0.73611134	0.7224652	0.71493375	0.7215236	0.7253793	0.72201777	0.72895324	0.73191166	0.7335575	0.7323339	0.73320824	0.7324095	0.7271981	0.7199403	0.71293545
L50	0.35764152	0.4147036	0.47935653	0.5535647	0.5485623	0.5614037	0.5697573	0.6164389	0.63439614	0.6353372	0.6497045	0.6514761	0.6547667	0.648234	0.6600593	0.69299495	0.7194562	0.7294057	0.73945504	0.7327945	0.72494364	0.73109984	0.71723616	0.70960265	0.71599233	0.7197568	0.7163279	0.7230713	0.7260777	0.72773194	0.72648454	0.72743165	0.7266039	0.7214631	0.71413046	0.70717484
L51	0.34426305	0.3998821	0.4659351	0.5406767	0.5362645	0.549583	0.55822784	0.60411626	0.62433726	0.62292	0.6379334	0.6399841	0.64405566	0.63787115	0.6530106	0.68779284	0.71993077	0.7330319	0.7397215	0.73231304	0.72457093	0.73364073	0.72084725	0.7145523	0.7201236	0.7247407	0.7208029	0.72912264	0.7331168	0.735287	0.7344698	0.7357527	0.73578674	0.72951454	0.7221369	0.71524864
L52	0.34586084	0.4021898	0.46751162	0.5407619	0.5369138	0.5516551	0.5610156	0.6049283	0.62503725	0.6238382	0.6390192	0.6418085	0.64654565	0.6407023	0.6567652	0.6913878	0.72426337	0.73852855	0.74760413	0.740593	0.7329223	0.7412442	0.7289385	0.7226572	0.7282717	0.7329032	0.72888404	0.7371893	0.74113315	0.74329376	0.7425322	0.74386024	0.7437976	0.73723036	0.7299351	0.7230439
