model	kind	factor	given	eta2	n_groups	n_rows
gemma	marginal	face		0.57375	69	960
gemma	marginal	prompt_id		1.00000	120	960
gemma	marginal	quadrant_split		0.58639	6	960
gemma	marginal	seed		0.00000	8	960
gemma	conditional	face	prompt_id		69	960
gemma	conditional	quadrant_split	prompt_id		6	960
gemma	conditional	face	quadrant_split	0.16381	69	960
qwen	marginal	face		0.57525	143	949
qwen	marginal	prompt_id		1.00000	120	949
qwen	marginal	quadrant_split		0.61156	6	949
qwen	marginal	seed		0.00011	8	949
qwen	conditional	face	prompt_id		143	949
qwen	conditional	quadrant_split	prompt_id		6	949
qwen	conditional	face	quadrant_split	0.20712	143	949
ministral	marginal	face		0.22354	102	915
ministral	marginal	prompt_id		1.00000	120	915
ministral	marginal	quadrant_split		0.38304	6	915
ministral	marginal	seed		0.00138	8	915
ministral	conditional	face	prompt_id		102	915
ministral	conditional	quadrant_split	prompt_id		6	915
ministral	conditional	face	quadrant_split	0.14249	102	915
gpt_oss_20b	marginal	face		0.24485	149	959
gpt_oss_20b	marginal	prompt_id		1.00000	120	959
gpt_oss_20b	marginal	quadrant_split		0.27826	6	959
gpt_oss_20b	marginal	seed		0.00001	8	959
gpt_oss_20b	conditional	face	prompt_id		149	959
gpt_oss_20b	conditional	quadrant_split	prompt_id		6	959
gpt_oss_20b	conditional	face	quadrant_split	0.18001	149	959
phi4_mini	marginal	face		0.56983	7	11
phi4_mini	marginal	prompt_id		1.00000	11	11
phi4_mini	marginal	quadrant_split		0.43344	4	11
phi4_mini	marginal	seed		0.00000	1	11
phi4_mini	conditional	face	prompt_id		7	11
phi4_mini	conditional	quadrant_split	prompt_id		4	11
phi4_mini	conditional	face	quadrant_split	0.42408	7	11
granite	marginal	face		0.47341	101	703
granite	marginal	prompt_id		1.00000	118	703
granite	marginal	quadrant_split		0.51588	6	703
granite	marginal	seed		0.00378	8	703
granite	conditional	face	prompt_id		101	703
granite	conditional	quadrant_split	prompt_id		6	703
granite	conditional	face	quadrant_split	0.21218	101	703
