first_word	n	mean_cos_to_other_face_means	distinctiveness	median_within_consistency	classifier_recall	dominant_quadrant
(｡・́︿・̀｡)	192	-0.12799909710884094	1.1279990673065186	0.9926134943962097	0.9427083333333334	LN
(╯°□°)	136	-0.3289276361465454	1.3289276361465454	0.9966149926185608	0.9411764705882353	HN
(๑˃‿˂)	123	0.028607623651623726	0.9713923931121826	0.9964277744293213	0.8292682926829268	HP
(｡◕‿◕｡)	99	0.16128383576869965	0.8387161493301392	0.9959227442741394	0.8888888888888888	NB
(⊙_⊙)	99	-0.22337225079536438	1.223372220993042	0.9903967976570129	0.7676767676767676	HN
(｡♥‿♥｡)	55	0.23099267482757568	0.7690073251724243	0.9952104687690735	0.8181818181818182	LP
(｡╯︵╰｡)	27	-0.042419109493494034	1.0424190759658813	0.9974294304847717	0.3333333333333333	LN
(✿◠‿◠)	23	0.198277086019516	0.8017228841781616	0.9968379139900208	0.0	LP
(｡‿‿‿｡)	17	0.223839670419693	0.7761603593826294	0.9969025254249573	0.11764705882352941	LP
(・_・)	17	0.06704027950763702	0.9329597353935242	0.9967967867851257	0.0	NB
(´▽`)	17	0.19698117673397064	0.8030188083648682	0.9977802634239197	0.35294117647058826	LP
(⊙﹏⊙)	16	-0.14439086616039276	1.1443908214569092	0.9986802935600281	0.0	HN
(ﾉ◕ヮ◕)	15	0.034225769340991974	0.9657742381095886	0.9985702633857727	0.0	HP
(╥﹏╥)	12	0.047149352729320526	0.9528506398200989	0.9968768954277039	0.0	HP
(｡˃‿˂)	10	0.062333445996046066	0.9376665353775024	0.9993553757667542	0.2	HP
(˘ω˘)	10	0.22905799746513367	0.770941972732544	0.9975404739379883	0.0	LP
(˘ڡ˘)	9	0.21542488038539886	0.7845751047134399	0.996494472026825	0.0	LP
(｡・̀‿-)	8	0.10180161148309708	0.8981983661651611	0.9981580376625061	0.0	NB
(˘̩╭╮˘̩)	8	-0.014769745990633965	1.0147697925567627	0.995962917804718	0.0	LN
(˙꒳˙)	7	0.12411679327487946	0.8758832216262817	0.9967796206474304	0.0	NB
(´ω`)	7	0.032911770045757294	0.9670882225036621	0.9952459335327148	0.0	LN
(˘▽˘)	6	0.07886532694101334	0.9211346507072449	0.9982444047927856	0.0	HP
