first_word	n	mean_cos_to_other_face_means	distinctiveness	median_within_consistency	classifier_recall	dominant_quadrant
(｡・́︿・̀｡)	173	-0.329943984746933	1.3299440145492554	0.9985098242759705	0.8728323699421965	LN
(╯°□°)	122	-0.32902079820632935	1.3290207386016846	0.999130368232727	1.0	HN
(⊙_⊙)	95	-0.3139623999595642	1.313962459564209	0.9974645376205444	0.6842105263157895	HN
(๑˃‿˂)	74	0.24165409803390503	0.758345901966095	0.999157726764679	0.9324324324324325	HP
(｡╯︵╰｡)	47	-0.25054866075515747	1.2505486011505127	0.9988123178482056	0.2765957446808511	LN
(˙꒳˙)	44	0.06677702814340591	0.9332229495048523	0.9987383484840393	0.5454545454545454	NB
(・_・)	44	0.012721190229058266	0.9872788190841675	0.9987754821777344	0.2727272727272727	NB
(｡◕‿◕｡)	29	0.2666085958480835	0.7333914041519165	0.9979665279388428	0.27586206896551724	NB
(‿‿‿)	26	0.20986828207969666	0.790131688117981	0.9975709915161133	0.19230769230769232	LP
(´▽`)	25	0.31194132566452026	0.6880586743354797	0.9985189437866211	0.32	LP
(｡♥‿♥｡)	20	0.3231358826160431	0.6768641471862793	0.9986832141876221	0.4	LP
(⊙﹏⊙)	18	-0.21088828146457672	1.2108882665634155	0.9988495707511902	0.0	HN
(｡・̀‿-)	16	0.16688938438892365	0.8331106305122375	0.9983447194099426	0.125	NB
(｡‿‿‿｡)	15	0.2622901201248169	0.7377098798751831	0.9993845820426941	0.0	LP
(˘ω˘)	14	0.26509469747543335	0.7349053025245667	0.9988808631896973	0.14285714285714285	LP
(˘▽˘)	13	0.27789202332496643	0.722108006477356	0.9985376000404358	0.0	HP
(｡˃‿˂)	13	0.24624408781528473	0.7537559270858765	0.9991896748542786	0.15384615384615385	HP
(˘‿˘)	11	0.2546011805534363	0.7453988194465637	0.9988883137702942	0.0	LP
(｡・ω・｡)	11	0.26825687289237976	0.7317430973052979	0.9990624785423279	0.09090909090909091	LP
(╥﹏╥)	8	-0.1736101657152176	1.1736102104187012	0.9970961809158325	0.0	HN
(✿◠‿◠)	8	0.3317870795726776	0.668212890625	0.998135507106781	0.0	HP
(🌿‿🌿)	7	0.21527673304080963	0.7847232818603516	0.9998732209205627	0.0	LP
(◕‿◕)	6	0.23920941352844238	0.7607905864715576	0.999152421951294	0.0	HP
(ﾟ▽ﾟ)	6	0.23152248561382294	0.7684774994850159	0.9993306398391724	0.0	HP
(´ω`)	6	0.2542218267917633	0.7457782030105591	0.9987620711326599	0.0	LP
(｡˃‿˂｡)	5	0.23226793110370636	0.7677320837974548	0.9992101788520813	0.0	HP
(・‿・)	5	0.1422937512397766	0.8577062487602234	0.998784065246582	0.0	NB
(つ≧▽≦)	5	0.22815527021884918	0.771844744682312	0.9987822771072388	0.0	HP
(˶ᵔ‿ᵔ˶)	5	0.3052133619785309	0.6947866678237915	0.9993299841880798	0.0	LP
(˃🚀˂)	5	0.2444252222776413	0.7555747628211975	0.9991916418075562	0.0	HP
(ﾉ◕ヮ◕)	5	0.22847355902194977	0.7715264558792114	0.9995797276496887	0.0	HP
