first_word	n	mean_cos_to_other_face_means	distinctiveness	median_within_consistency	classifier_recall	dominant_quadrant
ಥ_ಥ	215	-0.44396939873695374	1.4439693689346313	0.9795211553573608	0.813953488372093	HN
ಥ﹏ಥ	131	-0.4302544891834259	1.4302544593811035	0.9787046313285828	0.1984732824427481	HN
(^_^)	25	0.2862209975719452	0.7137789726257324	0.9779266119003296	0.24	NB
(o_o)	24	0.18247492611408234	0.8175250887870789	0.9817478060722351	0.375	NB
(ಥ﹏ಥ)	23	-0.05229742452502251	1.0522974729537964	0.9864404201507568	0.13043478260869565	LN
(⌒▽⌒)	21	0.28633230924606323	0.7136676907539368	0.9774594306945801	0.19047619047619047	NB
(^-^)	18	0.2833763062953949	0.7166236639022827	0.9718924760818481	0.3333333333333333	LP
(๑・̀ㅁ・́๑)	17	0.28683310747146606	0.7131668925285339	0.9656102061271667	0.0	LP
(´・ω・`)	11	-0.013656076975166798	1.0136560201644897	0.9778687953948975	0.0	LN
(o^^o)	11	0.24945136904716492	0.7505486011505127	0.9843460321426392	0.0	NB
(^‿^)	10	0.2828356623649597	0.7171643376350403	0.9732805490493774	0.0	LP
(T-T)	8	-0.07924782484769821	1.0792478322982788	0.993595540523529	0.0	LN
♥‿♥	7	0.1609102487564087	0.8390897512435913	0.9905263185501099	0.42857142857142855	HP
(>﹏<)	7	-0.0019433342386037111	1.0019433498382568	0.9846073985099792	0.0	LN
(°◇°)	7	0.27728280425071716	0.7227171659469604	0.9741388559341431	0.0	NB
(`⌒´)	7	0.1643773764371872	0.8356226086616516	0.9963995218276978	0.0	HP
(⌐■_■)	6	0.2508096694946289	0.7491903305053711	0.983694314956665	0.0	NB
(o^_^o)	6	0.23010726273059845	0.7698927521705627	0.995759129524231	0.0	NB
♥♥♥	6	0.1754930168390274	0.8245069980621338	0.9868069291114807	0.16666666666666666	HP
(⌯˃᷄	5	0.2067945897579193	0.7932053804397583	0.9755594730377197	0.0	LN
(╥﹏╥)	5	-0.026127789169549942	1.026127815246582	0.9797906279563904	0.0	LN
(◕‿◕)	5	0.1723392903804779	0.8276606798171997	0.979240894317627	0.0	HP
(`⌒´メ)	5	0.15976457297801971	0.8402354121208191	0.9850915670394897	0.0	HP
(^o^)	5	0.2519703507423401	0.7480296492576599	0.974031388759613	0.0	HP
