face	n_total	n_quadrants	quadrants	per_quadrant_n	classifier_acc	classifier_std	majority_acc	null_q95	separates	fig
ಥ_ಥ	215	6	HN-D,HN-S,HP,LN,LP,NB	HN-D:101; HN-S:74; HP:3; LN:19; LP:8; NB:10	0.9907407407407408	0.0065472850109865284	0.4697674418604651	0.4794600938967136	True	
ಥ﹏ಥ	129	4	HN-D,HN-S,LN,NB	HN-D:54; HN-S:55; LN:17; NB:3	0.9844961240310077	0.021925791664699136	0.4263565891472868	0.4976744186046511	True	
(^_^)	25	3	HP,LP,NB	HP:4; LP:4; NB:17	0.9583333333333334	0.0721687836487032	0.68	0.6785714285714285	True	
(o_o)	24	2	LN,NB	LN:4; NB:20	0.5833333333333334	0.27638539919628335	0.8333333333333334	0.6666666666666667	False	
(⌒▽⌒)	19	2	LP,NB	LP:7; NB:12	0.7333333333333333	0.1615893285805443	0.631578947368421	0.6425	True	
(^-^)	16	2	LP,NB	LP:13; NB:3	0.8111111111111112	0.01571348402636772	0.8125	0.8111111111111112	False	
(๑・̀ㅁ・́๑)	15	2	LN,LP	LN:3; LP:12	0.8000000000000002	1.1102230246251565e-16	0.8	0.8000000000000002	False	
(o^^o)	11	2	LP,NB	LP:3; NB:8	0.7222222222222222	0.039283710065919325	0.7272727272727273	0.7222222222222222	False	
(´・ω・`)	11	2	HN-S,LN	HN-S:3; LN:8	0.7222222222222222	0.039283710065919325	0.7272727272727273	0.7222222222222222	False	
(°◇°)	7	2	LP,NB	LP:3; NB:4	0.6666666666666666	0.23570226039551584	0.5714285714285714	0.5555555555555555	True	
