first_word	n	mean_cos_to_other_face_means	distinctiveness	median_within_consistency	classifier_recall	dominant_quadrant
(◕‿◕✿)	241	-0.14504943788051605	1.1450494527816772	0.9708601236343384	0.7842323651452282	LP
(╥﹏╥)	90	0.046424105763435364	0.9535759091377258	0.9723988771438599	0.3888888888888889	HN
(ﾉ◕ヮ◕)	80	-0.14122113585472107	1.1412211656570435	0.9656147360801697	0.025	NB
(╯°□°)	73	0.0005921179545111954	0.9994078874588013	0.9764673709869385	0.2876712328767123	HN
(╥_╥)	40	0.045738328248262405	0.9542616605758667	0.9663151502609253	0.075	HN
(╯✧▽✧)	36	-0.042385317385196686	1.0423853397369385	0.9604688882827759	0.0	HN
(｡・́︿・̀｡)	20	-0.025275366380810738	1.0252753496170044	0.9679035544395447	0.0	LN
(≧‿≦)	20	-0.08536433428525925	1.0853643417358398	0.9754687547683716	0.0	LP
(╥_╥;)	16	0.05516460910439491	0.944835364818573	0.9768210649490356	0.0	LN
(｡♥‿♥｡)	15	-0.12347979843616486	1.1234798431396484	0.9779916405677795	0.0	LP
(✿◠‿◠)	14	-0.07932096719741821	1.0793209075927734	0.975251317024231	0.0	HP
(＾▽＾)	9	-0.08542323112487793	1.085423231124878	0.9716849327087402	0.0	HP
(Ｔ▽Ｔ)	8	0.03284052759408951	0.9671594500541687	0.9790719747543335	0.0	HN
(✧‿✧)	7	-0.034158799797296524	1.0341588258743286	0.9745059013366699	0.0	LP
(≧▽≦)	7	-0.05409592390060425	1.054095983505249	0.9836016297340393	0.0	HP
(＾ｖ＾;)	6	0.056590497493743896	0.9434095025062561	0.9765233993530273	0.0	LN
(☕️)	6	-0.1348007619380951	1.1348007917404175	0.9992533326148987	0.3333333333333333	NB
(￣▽￣)	6	0.03267364203929901	0.9673263430595398	0.9621433019638062	0.0	LN
(🔥💨)	5	0.014043841511011124	0.9859561324119568	1.0000001192092896	1.0	HN
(😡✊)	5	-0.004083896055817604	1.0040838718414307	0.9901545643806458	0.0	HN
(´;ω;`)	5	0.04133373126387596	0.9586662650108337	0.9758177995681763	0.0	LN
(ﾉﾟ∀ﾟ)	5	0.019014842808246613	0.980985164642334	0.9800198078155518	0.0	HN
(😬✋)	5	0.03447168320417404	0.9655283093452454	0.9852175712585449	0.0	HN
