face	n_total	n_quadrants	quadrants	per_quadrant_n	classifier_acc	classifier_std	majority_acc	null_q95	separates	fig
(ﾉ◕ヮ◕)	337	6	HN-D,HN-S,HP,LN,LP,NB	HN-D:67; HN-S:50; HP:102; LN:41; LP:35; NB:42	1.0	0.0	0.3026706231454006	0.2882067603160667	True	
(◕‿◕✿)	96	5	HN-S,HP,LN,LP,NB	HN-S:10; HP:5; LN:7; LP:35; NB:39	0.958421052631579	0.02081444203503706	0.40625	0.43771052631578944	True	
(￣▽￣)	65	4	HP,LN,LP,NB	HP:16; LN:10; LP:19; NB:20	0.9692307692307693	0.03768445758127964	0.3076923076923077	0.39307692307692305	True	
(︿︿)	47	3	HN-D,HN-S,LN	HN-D:26; HN-S:6; LN:15	0.8733333333333334	0.03691832827963586	0.5531914893617021	0.563111111111111	True	
:(	33	3	HN-D,HN-S,LN	HN-D:14; HN-S:12; LN:7	0.9428571428571428	0.11428571428571428	0.42424242424242425	0.5342857142857143	True	
(ﾉ´・ω・`)	22	2	HN-D,HN-S	HN-D:14; HN-S:8	0.74	0.21540659228538014	0.6363636363636364	0.6855	True	
(￣∇￣)	18	2	LP,NB	LP:6; NB:12	0.7166666666666666	0.16329931618554522	0.6666666666666666	0.6666666666666666	True	
(≧▽≦)	16	2	LN,NB	LN:5; NB:11	0.6833333333333332	0.033333333333333354	0.6875	0.6833333333333332	False	
(╯°□°)	13	3	HP,LP,NB	HP:3; LP:4; NB:6	0.4666666666666666	0.04714045207910316	0.46153846153846156	0.6333333333333333	False	
(◕‿◕)	13	2	LP,NB	LP:9; NB:4	0.6874999999999999	0.03608439182435162	0.6923076923076923	0.6874999999999999	False	
(・̀‿・́)	13	3	HN-S,LP,NB	HN-S:5; LP:5; NB:3	0.6	0.248327740429189	0.38461538461538464	0.4591666666666666	True	
(｡・́︿・̀｡)	11	3	HP,LP,NB	HP:3; LP:4; NB:4	0.6388888888888888	0.10393492741038726	0.36363636363636365	0.4347222222222219	True	
(￣▽￣;)	8	2	HN-S,LN	HN-S:4; LN:4	0.75	0.25	0.5	0.75	False	
(￣ω￣;)	7	2	HN-S,LN	HN-S:4; LN:3	0.6666666666666666	0.23570226039551584	0.5714285714285714	0.6166666666666663	True	
(✨)	6	2	LP,NB	LP:3; NB:3	1.0	0.0	0.5	1.0	False	
